axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
DATASET,asvspoof_voice_wav_dev_v1,176,176,176,0,0.06821705426356589,0.06821705426356589,,,,,,
DATASET,codec_mixed_dev_v4,600,600,600,600,0.15333333333333332,0.14,0.21333333333333337,,,0.8313333333333334,,
DATASET,echoes_fma_paired_v3,111,111,0,111,0.09009740259740262,,0.09009740259740262,,,,,
DATASET,external_mixed_v1,400,400,400,400,0.15000000000000002,0.12,0.14,,,0.859,,
DATASET,external_mixed_v1_telephone_v1,400,400,400,400,0.14,0.14,0.15500000000000003,,,0.8554999999999999,,
DATASET,factorial_eval_1200_v2,400,400,350,350,0.19999999999999998,0.2457142857142857,0.18285714285714283,0.9983428571428571,0.9997714285714285,0.796,0.9990571428571429,0.8163057142857143
DATASET,mixfake_music_dev_v1,1600,1600,1600,1600,0.062083333333333324,0.03749999999999999,0.09624999999999997,,,0.9325833333333333,,
DATASET,multigen_voice_v2,90,90,90,0,0.09999999999999999,0.06666666666666665,,,,,,
DATASET,source_disjoint_mixed_v1,200,200,200,200,0.16000000000000003,0.15000000000000002,0.07999999999999999,,,0.866,,
DATASET,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.16000000000000003,0.14,0.15000000000000002,,,0.847,,
DATASET,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.03500000000000002,,,,,
VOICE_GENERATOR,A07,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A08,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,A09,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A10,25,25,25,25,,,0.2833333333333333,,,,,
VOICE_GENERATOR,A11,25,25,25,25,,,0.4,,,,,
VOICE_GENERATOR,A12,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A13,25,25,25,25,,,0.08333333333333331,,,,,
VOICE_GENERATOR,A14,25,25,25,25,,,0.4,,,,,
VOICE_GENERATOR,A15,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A16,20,20,20,20,,,0.03333333333333333,,,,,
VOICE_GENERATOR,A17,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A18,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A19,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,ASVspoof2019-LA,800,800,800,800,,,0.10250000000000001,,,,,
VOICE_GENERATOR,bonafide,1275,1275,1275,1250,0.14116923076923077,,0.13119999999999998,,0.999936,,,
VOICE_GENERATOR,cosyvoice3_0.5b,43,43,43,37,,,0.10882352941176472,,1.0,,,
VOICE_GENERATOR,f5tts_v1_base,42,42,42,39,,,0.15476190476190474,,1.0,,,
VOICE_GENERATOR,qwen3tts_custom_0.6b,47,47,47,38,,,0.21130952380952384,,1.0,,,
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.19375,,1.0,,,
VOICE_GENERATOR,nan,2027,2027,1466,1761,0.11986915911980946,0.1473376526660709,0.10675755855948818,0.9998759766836165,0.9974062071703962,0.8785706223390346,0.9986410919270063,0.8905776692978318
MUSIC_GENERATOR,FMA,1100,1100,1100,1100,0.09090909090909093,0.0618181818181818,,,,,,
MUSIC_GENERATOR,MusicGen_medium,192,192,192,192,,0.07291666666666666,,,,,,
MUSIC_GENERATOR,acestep,11,11,9,11,,0.0,,1.0,,,,
MUSIC_GENERATOR,audioldm,16,16,15,16,,0.19444444444444442,,1.0,,,,
MUSIC_GENERATOR,audioldm2,192,192,192,192,,0.0625,,,,,,
MUSIC_GENERATOR,brev,11,11,9,11,,0.22499999999999998,,1.0,,,,
MUSIC_GENERATOR,diffrhythm,19,19,17,19,,0.0,,1.0,,,,
MUSIC_GENERATOR,elevenlabs,12,12,10,12,,0.4,,1.0,,,,
MUSIC_GENERATOR,mubert,15,15,14,15,,0.21111111111111108,,1.0,,,,
MUSIC_GENERATOR,musicgen,14,14,13,14,,0.2361111111111111,,1.0,,,,
MUSIC_GENERATOR,musicldm,194,194,194,194,,0.09278350515463918,,,,,,
MUSIC_GENERATOR,mustango,192,192,192,192,,0.03125,,,,,,
MUSIC_GENERATOR,producer,17,17,14,17,,0.21111111111111108,,1.0,,,,
MUSIC_GENERATOR,real,175,175,150,175,0.29166666666666663,0.2533333333333333,,0.9954666666666667,,,,
MUSIC_GENERATOR,songgen,15,15,14,15,,0.5777777777777777,,1.0,,,,
MUSIC_GENERATOR,stable_audio_open,60,60,60,60,,0.2333333333333333,,,,,,
MUSIC_GENERATOR,stableaudio,17,17,15,17,,0.19444444444444442,,1.0,,,,
MUSIC_GENERATOR,suno,148,148,143,148,,0.027984344422700584,,1.0,,,,
MUSIC_GENERATOR,udio,150,150,147,150,,0.10194805194805194,,1.0,,,,
MUSIC_GENERATOR,nan,2027,2027,1516,1711,0.12242691436280427,0.14511616570478506,0.10520167240531234,0.9998618777398551,0.9974809312786215,0.8782028079560472,0.9986714045092383,0.8902496676113664
