FILE_WEIGHT,DATASET,GROUP,VALUE,N,FILE_EER
0.0,dev,ALL,ALL,400,0.2781818181818182
0.0,dev,AUDIO_TYPE,mixed,300,0.3044444444444444
0.0,dev,AUDIO_TYPE,music,50,0.24
0.0,dev,AUDIO_TYPE,voice,50,0.16000000000000003
0.0,dev,MIX_MODE,concurrent,100,0.32666666666666666
0.0,dev,MIX_MODE,music_only,50,0.24
0.0,dev,MIX_MODE,partial_overlap,100,0.28
0.0,dev,MIX_MODE,sequential,100,0.15333333333333332
0.0,dev,MIX_MODE,voice_only,50,0.16000000000000003
0.0,dev,CHANNEL,clean_flac,66,0.29130434782608694
0.0,dev,CHANNEL,mp3_64k,67,0.14751552795031056
0.0,dev,CHANNEL,noisy_flac,66,0.2873015873015873
0.0,dev,CHANNEL,ogg_48k,67,0.23861283643892336
0.0,dev,CHANNEL,stereo_wav,67,0.3257575757575758
0.0,dev,CHANNEL,telephone_flac,67,0.3452127659574468
0.3,dev,ALL,ALL,400,0.24763636363636365
0.3,dev,AUDIO_TYPE,mixed,300,0.2666666666666667
0.3,dev,AUDIO_TYPE,music,50,0.19999999999999998
0.3,dev,AUDIO_TYPE,voice,50,0.16000000000000003
0.3,dev,MIX_MODE,concurrent,100,0.35333333333333333
0.3,dev,MIX_MODE,music_only,50,0.19999999999999998
0.3,dev,MIX_MODE,partial_overlap,100,0.28
0.3,dev,MIX_MODE,sequential,100,0.12
0.3,dev,MIX_MODE,voice_only,50,0.16000000000000003
0.3,dev,CHANNEL,clean_flac,66,0.15108695652173915
0.3,dev,CHANNEL,mp3_64k,67,0.19306418219461696
0.3,dev,CHANNEL,noisy_flac,66,0.24126984126984127
0.3,dev,CHANNEL,ogg_48k,67,0.19306418219461696
0.3,dev,CHANNEL,stereo_wav,67,0.3146464646464646
0.3,dev,CHANNEL,telephone_flac,67,0.298936170212766
0.4,dev,ALL,ALL,400,0.23236363636363638
0.4,dev,AUDIO_TYPE,mixed,300,0.2533333333333333
0.4,dev,AUDIO_TYPE,music,50,0.19999999999999998
0.4,dev,AUDIO_TYPE,voice,50,0.16000000000000003
0.4,dev,MIX_MODE,concurrent,100,0.31999999999999995
0.4,dev,MIX_MODE,music_only,50,0.19999999999999998
0.4,dev,MIX_MODE,partial_overlap,100,0.28
0.4,dev,MIX_MODE,sequential,100,0.12
0.4,dev,MIX_MODE,voice_only,50,0.16000000000000003
0.4,dev,CHANNEL,clean_flac,66,0.14021739130434785
0.4,dev,CHANNEL,mp3_64k,67,0.19306418219461696
0.4,dev,CHANNEL,noisy_flac,66,0.24126984126984127
0.4,dev,CHANNEL,ogg_48k,67,0.19306418219461696
0.4,dev,CHANNEL,stereo_wav,67,0.3146464646464646
0.4,dev,CHANNEL,telephone_flac,67,0.298936170212766
0.5,dev,ALL,ALL,400,0.22472727272727272
0.5,dev,AUDIO_TYPE,mixed,300,0.24222222222222223
0.5,dev,AUDIO_TYPE,music,50,0.19999999999999998
0.5,dev,AUDIO_TYPE,voice,50,0.16000000000000003
0.5,dev,MIX_MODE,concurrent,100,0.36
0.5,dev,MIX_MODE,music_only,50,0.19999999999999998
0.5,dev,MIX_MODE,partial_overlap,100,0.28
0.5,dev,MIX_MODE,sequential,100,0.12
0.5,dev,MIX_MODE,voice_only,50,0.16000000000000003
0.5,dev,CHANNEL,clean_flac,66,0.14021739130434785
0.5,dev,CHANNEL,mp3_64k,67,0.18219461697722567
0.5,dev,CHANNEL,noisy_flac,66,0.24126984126984127
0.5,dev,CHANNEL,ogg_48k,67,0.19306418219461696
0.5,dev,CHANNEL,stereo_wav,67,0.2808080808080808
0.5,dev,CHANNEL,telephone_flac,67,0.298936170212766
0.6,dev,ALL,ALL,400,0.23054545454545455
0.6,dev,AUDIO_TYPE,mixed,300,0.24222222222222223
0.6,dev,AUDIO_TYPE,music,50,0.19999999999999998
0.6,dev,AUDIO_TYPE,voice,50,0.16000000000000003
0.6,dev,MIX_MODE,concurrent,100,0.36
0.6,dev,MIX_MODE,music_only,50,0.19999999999999998
0.6,dev,MIX_MODE,partial_overlap,100,0.31333333333333335
0.6,dev,MIX_MODE,sequential,100,0.12
0.6,dev,MIX_MODE,voice_only,50,0.16000000000000003
0.6,dev,CHANNEL,clean_flac,66,0.14021739130434785
0.6,dev,CHANNEL,mp3_64k,67,0.18219461697722567
0.6,dev,CHANNEL,noisy_flac,66,0.24126984126984127
0.6,dev,CHANNEL,ogg_48k,67,0.19306418219461696
0.6,dev,CHANNEL,stereo_wav,67,0.2696969696969697
0.6,dev,CHANNEL,telephone_flac,67,0.298936170212766
0.7,dev,ALL,ALL,400,0.22472727272727272
0.7,dev,AUDIO_TYPE,mixed,300,0.25555555555555554
0.7,dev,AUDIO_TYPE,music,50,0.16000000000000003
0.7,dev,AUDIO_TYPE,voice,50,0.16000000000000003
0.7,dev,MIX_MODE,concurrent,100,0.36
0.7,dev,MIX_MODE,music_only,50,0.16000000000000003
0.7,dev,MIX_MODE,partial_overlap,100,0.31999999999999995
0.7,dev,MIX_MODE,sequential,100,0.12
0.7,dev,MIX_MODE,voice_only,50,0.16000000000000003
0.7,dev,CHANNEL,clean_flac,66,0.14021739130434785
0.7,dev,CHANNEL,mp3_64k,67,0.18219461697722567
0.7,dev,CHANNEL,noisy_flac,66,0.24126984126984127
0.7,dev,CHANNEL,ogg_48k,67,0.19306418219461696
0.7,dev,CHANNEL,stereo_wav,67,0.2808080808080808
0.7,dev,CHANNEL,telephone_flac,67,0.298936170212766
0.0,factorial,ALL,ALL,400,0.25527272727272726
0.0,factorial,AUDIO_TYPE,mixed,300,0.34444444444444444
0.0,factorial,AUDIO_TYPE,music,50,0.19999999999999998
0.0,factorial,AUDIO_TYPE,voice,50,0.04000000000000002
0.0,factorial,MIX_MODE,concurrent,100,0.4
0.0,factorial,MIX_MODE,music_only,50,0.19999999999999998
0.0,factorial,MIX_MODE,partial_overlap,100,0.31999999999999995
0.0,factorial,MIX_MODE,sequential,100,0.24
0.0,factorial,MIX_MODE,voice_only,50,0.04000000000000002
0.0,factorial,CHANNEL,clean_flac,66,0.2873015873015873
0.0,factorial,CHANNEL,mp3_64k,67,0.22474747474747475
0.0,factorial,CHANNEL,noisy_flac,67,0.19574468085106386
0.0,factorial,CHANNEL,ogg_48k,67,0.2841614906832298
0.0,factorial,CHANNEL,stereo_wav,66,0.2554347826086957
0.0,factorial,CHANNEL,telephone_flac,67,0.2841614906832298
0.3,factorial,ALL,ALL,400,0.24945454545454543
0.3,factorial,AUDIO_TYPE,mixed,300,0.3222222222222222
0.3,factorial,AUDIO_TYPE,music,50,0.12
0.3,factorial,AUDIO_TYPE,voice,50,0.04000000000000002
0.3,factorial,MIX_MODE,concurrent,100,0.36666666666666664
0.3,factorial,MIX_MODE,music_only,50,0.12
0.3,factorial,MIX_MODE,partial_overlap,100,0.31333333333333335
0.3,factorial,MIX_MODE,sequential,100,0.19999999999999998
0.3,factorial,MIX_MODE,voice_only,50,0.04000000000000002
0.3,factorial,CHANNEL,clean_flac,66,0.2873015873015873
0.3,factorial,CHANNEL,mp3_64k,67,0.17979797979797982
0.3,factorial,CHANNEL,noisy_flac,67,0.19574468085106386
0.3,factorial,CHANNEL,ogg_48k,67,0.2841614906832298
0.3,factorial,CHANNEL,stereo_wav,66,0.24456521739130432
0.3,factorial,CHANNEL,telephone_flac,67,0.23861283643892336
0.4,factorial,ALL,ALL,400,0.24
0.4,factorial,AUDIO_TYPE,mixed,300,0.31999999999999995
0.4,factorial,AUDIO_TYPE,music,50,0.12
0.4,factorial,AUDIO_TYPE,voice,50,0.04000000000000002
0.4,factorial,MIX_MODE,concurrent,100,0.36
0.4,factorial,MIX_MODE,music_only,50,0.12
0.4,factorial,MIX_MODE,partial_overlap,100,0.2866666666666667
0.4,factorial,MIX_MODE,sequential,100,0.19999999999999998
0.4,factorial,MIX_MODE,voice_only,50,0.04000000000000002
0.4,factorial,CHANNEL,clean_flac,66,0.2873015873015873
0.4,factorial,CHANNEL,mp3_64k,67,0.14595959595959596
0.4,factorial,CHANNEL,noisy_flac,67,0.19574468085106386
0.4,factorial,CHANNEL,ogg_48k,67,0.2841614906832298
0.4,factorial,CHANNEL,stereo_wav,66,0.24456521739130432
0.4,factorial,CHANNEL,telephone_flac,67,0.23861283643892336
0.5,factorial,ALL,ALL,400,0.23818181818181816
0.5,factorial,AUDIO_TYPE,mixed,300,0.30666666666666664
0.5,factorial,AUDIO_TYPE,music,50,0.16000000000000003
0.5,factorial,AUDIO_TYPE,voice,50,0.04000000000000002
0.5,factorial,MIX_MODE,concurrent,100,0.36
0.5,factorial,MIX_MODE,music_only,50,0.16000000000000003
0.5,factorial,MIX_MODE,partial_overlap,100,0.28
0.5,factorial,MIX_MODE,sequential,100,0.2066666666666667
0.5,factorial,MIX_MODE,voice_only,50,0.04000000000000002
0.5,factorial,CHANNEL,clean_flac,66,0.24126984126984127
0.5,factorial,CHANNEL,mp3_64k,67,0.14595959595959596
0.5,factorial,CHANNEL,noisy_flac,67,0.19574468085106386
0.5,factorial,CHANNEL,ogg_48k,67,0.24948240165631472
0.5,factorial,CHANNEL,stereo_wav,66,0.24456521739130432
0.5,factorial,CHANNEL,telephone_flac,67,0.23861283643892336
0.6,factorial,ALL,ALL,400,0.23236363636363638
0.6,factorial,AUDIO_TYPE,mixed,300,0.30666666666666664
0.6,factorial,AUDIO_TYPE,music,50,0.16000000000000003
0.6,factorial,AUDIO_TYPE,voice,50,0.04000000000000002
0.6,factorial,MIX_MODE,concurrent,100,0.36
0.6,factorial,MIX_MODE,music_only,50,0.16000000000000003
0.6,factorial,MIX_MODE,partial_overlap,100,0.2733333333333334
0.6,factorial,MIX_MODE,sequential,100,0.2066666666666667
0.6,factorial,MIX_MODE,voice_only,50,0.04000000000000002
0.6,factorial,CHANNEL,clean_flac,66,0.24126984126984127
0.6,factorial,CHANNEL,mp3_64k,67,0.14595959595959596
0.6,factorial,CHANNEL,noisy_flac,67,0.20638297872340425
0.6,factorial,CHANNEL,ogg_48k,67,0.24948240165631472
0.6,factorial,CHANNEL,stereo_wav,66,0.20869565217391303
0.6,factorial,CHANNEL,telephone_flac,67,0.2841614906832298
0.7,factorial,ALL,ALL,400,0.23236363636363638
0.7,factorial,AUDIO_TYPE,mixed,300,0.29555555555555557
0.7,factorial,AUDIO_TYPE,music,50,0.16000000000000003
0.7,factorial,AUDIO_TYPE,voice,50,0.04000000000000002
0.7,factorial,MIX_MODE,concurrent,100,0.36
0.7,factorial,MIX_MODE,music_only,50,0.16000000000000003
0.7,factorial,MIX_MODE,partial_overlap,100,0.24
0.7,factorial,MIX_MODE,sequential,100,0.19999999999999998
0.7,factorial,MIX_MODE,voice_only,50,0.04000000000000002
0.7,factorial,CHANNEL,clean_flac,66,0.24126984126984127
0.7,factorial,CHANNEL,mp3_64k,67,0.14595959595959596
0.7,factorial,CHANNEL,noisy_flac,67,0.19574468085106386
0.7,factorial,CHANNEL,ogg_48k,67,0.24948240165631472
0.7,factorial,CHANNEL,stereo_wav,66,0.2554347826086957
0.7,factorial,CHANNEL,telephone_flac,67,0.2841614906832298
0.0,phone,ALL,ALL,1200,0.2017142857142857
0.0,phone,AUDIO_TYPE,mixed,400,0.27
0.0,phone,AUDIO_TYPE,music,400,0.15500000000000003
0.0,phone,AUDIO_TYPE,voice,400,0.050000000000000024
0.0,phone,CONDITION,simultaneous,400,0.27
0.0,phone,CONDITION,source_disjoint,400,0.15500000000000003
0.0,phone,CONDITION,speech_only,400,0.050000000000000024
0.0,phone,CHANNEL,g711_ulaw,300,0.1502857142857143
0.0,phone,CHANNEL,g726_24k,300,0.15314285714285714
0.0,phone,CHANNEL,opus_nb_8k,300,0.43999999999999995
0.0,phone,CHANNEL,resample8k,300,0.1502857142857143
0.3,phone,ALL,ALL,1200,0.1782857142857143
0.3,phone,AUDIO_TYPE,mixed,400,0.24
0.3,phone,AUDIO_TYPE,music,400,0.12
0.3,phone,AUDIO_TYPE,voice,400,0.050000000000000024
0.3,phone,CONDITION,simultaneous,400,0.24
0.3,phone,CONDITION,source_disjoint,400,0.12
0.3,phone,CONDITION,speech_only,400,0.050000000000000024
0.3,phone,CHANNEL,g711_ulaw,300,0.11028571428571426
0.3,phone,CHANNEL,g726_24k,300,0.11314285714285716
0.3,phone,CHANNEL,opus_nb_8k,300,0.43999999999999995
0.3,phone,CHANNEL,resample8k,300,0.08685714285714287
0.4,phone,ALL,ALL,1200,0.17171428571428568
0.4,phone,AUDIO_TYPE,mixed,400,0.23166666666666663
0.4,phone,AUDIO_TYPE,music,400,0.12
0.4,phone,AUDIO_TYPE,voice,400,0.050000000000000024
0.4,phone,CONDITION,simultaneous,400,0.23166666666666663
0.4,phone,CONDITION,source_disjoint,400,0.12
0.4,phone,CONDITION,speech_only,400,0.050000000000000024
0.4,phone,CHANNEL,g711_ulaw,300,0.11028571428571426
0.4,phone,CHANNEL,g726_24k,300,0.10342857142857143
0.4,phone,CHANNEL,opus_nb_8k,300,0.43314285714285716
0.4,phone,CHANNEL,resample8k,300,0.07999999999999999
0.5,phone,ALL,ALL,1200,0.17585714285714285
0.5,phone,AUDIO_TYPE,mixed,400,0.24
0.5,phone,AUDIO_TYPE,music,400,0.11499999999999999
0.5,phone,AUDIO_TYPE,voice,400,0.050000000000000024
0.5,phone,CONDITION,simultaneous,400,0.24
0.5,phone,CONDITION,source_disjoint,400,0.11499999999999999
0.5,phone,CONDITION,speech_only,400,0.050000000000000024
0.5,phone,CHANNEL,g711_ulaw,300,0.11314285714285716
0.5,phone,CHANNEL,g726_24k,300,0.11314285714285716
0.5,phone,CHANNEL,opus_nb_8k,300,0.4234285714285714
0.5,phone,CHANNEL,resample8k,300,0.07314285714285715
0.6,phone,ALL,ALL,1200,0.1782857142857143
0.6,phone,AUDIO_TYPE,mixed,400,0.25
0.6,phone,AUDIO_TYPE,music,400,0.11499999999999999
0.6,phone,AUDIO_TYPE,voice,400,0.05500000000000002
0.6,phone,CONDITION,simultaneous,400,0.25
0.6,phone,CONDITION,source_disjoint,400,0.11499999999999999
0.6,phone,CONDITION,speech_only,400,0.05500000000000002
0.6,phone,CHANNEL,g711_ulaw,300,0.12
0.6,phone,CHANNEL,g726_24k,300,0.11028571428571426
0.6,phone,CHANNEL,opus_nb_8k,300,0.4234285714285714
0.6,phone,CHANNEL,resample8k,300,0.07314285714285715
0.7,phone,ALL,ALL,1200,0.17585714285714285
0.7,phone,AUDIO_TYPE,mixed,400,0.26
0.7,phone,AUDIO_TYPE,music,400,0.13
0.7,phone,AUDIO_TYPE,voice,400,0.05500000000000002
0.7,phone,CONDITION,simultaneous,400,0.26
0.7,phone,CONDITION,source_disjoint,400,0.13
0.7,phone,CONDITION,speech_only,400,0.05500000000000002
0.7,phone,CHANNEL,g711_ulaw,300,0.12
0.7,phone,CHANNEL,g726_24k,300,0.11314285714285716
0.7,phone,CHANNEL,opus_nb_8k,300,0.4097142857142857
0.7,phone,CHANNEL,resample8k,300,0.07999999999999999
0.0,yue,ALL,ALL,124,0.12771739130434784
0.0,yue,AUDIO_TYPE,mixed,108,0.12797619047619047
0.0,yue,MIX_MODE,concurrent,32,0.25
0.0,yue,MIX_MODE,partial_overlap,32,0.020833333333333315
0.0,yue,MIX_MODE,sequential,32,0.0
0.0,yue,CONDITION,clean_separator_free,124,0.12771739130434784
0.3,yue,ALL,ALL,124,0.09578804347826086
0.3,yue,AUDIO_TYPE,mixed,108,0.11607142857142855
0.3,yue,MIX_MODE,concurrent,32,0.22916666666666669
0.3,yue,MIX_MODE,partial_overlap,32,0.10416666666666669
0.3,yue,MIX_MODE,sequential,32,0.0
0.3,yue,CONDITION,clean_separator_free,124,0.09578804347826086
0.4,yue,ALL,ALL,124,0.10122282608695654
0.4,yue,AUDIO_TYPE,mixed,108,0.12202380952380953
0.4,yue,MIX_MODE,concurrent,32,0.14583333333333331
0.4,yue,MIX_MODE,partial_overlap,32,0.10416666666666669
0.4,yue,MIX_MODE,sequential,32,0.0
0.4,yue,CONDITION,clean_separator_free,124,0.10122282608695654
0.5,yue,ALL,ALL,124,0.10122282608695654
0.5,yue,AUDIO_TYPE,mixed,108,0.12202380952380953
0.5,yue,MIX_MODE,concurrent,32,0.14583333333333331
0.5,yue,MIX_MODE,partial_overlap,32,0.10416666666666669
0.5,yue,MIX_MODE,sequential,32,0.0
0.5,yue,CONDITION,clean_separator_free,124,0.10122282608695654
0.6,yue,ALL,ALL,124,0.12771739130434784
0.6,yue,AUDIO_TYPE,mixed,108,0.12797619047619047
0.6,yue,MIX_MODE,concurrent,32,0.22916666666666669
0.6,yue,MIX_MODE,partial_overlap,32,0.125
0.6,yue,MIX_MODE,sequential,32,0.0
0.6,yue,CONDITION,clean_separator_free,124,0.12771739130434784
0.7,yue,ALL,ALL,124,0.14877717391304346
0.7,yue,AUDIO_TYPE,mixed,108,0.1607142857142857
0.7,yue,MIX_MODE,concurrent,32,0.22916666666666669
0.7,yue,MIX_MODE,partial_overlap,32,0.125
0.7,yue,MIX_MODE,sequential,32,0.0
0.7,yue,CONDITION,clean_separator_free,124,0.14877717391304346
