ID,FILE_FAKE_PROB,VOICE_FAKE_PROB,MUSIC_FAKE_PROB,VOICE_PRESENT_PROB,MUSIC_PRESENT_PROB
sdxeq_0000__telephone8k,0.42212397,0.04298377,0.39784276,0.9536173,0.9989483
sdxeq_0001__telephone8k,0.7321101,0.4377335,0.5306489,0.9812609,0.999539
sdxeq_0002__telephone8k,0.2808913,0.1234463,0.18082957,0.9912769,0.99886763
sdxeq_0003__telephone8k,0.14793414,0.054573204,0.10047235,0.9711987,0.9977461
sdxeq_0004__telephone8k,0.5364491,0.50447553,0.090057425,0.9725357,0.9990225
sdxeq_0005__telephone8k,0.4230585,0.38093588,0.08758507,0.9657202,0.9966858
sdxeq_0006__telephone8k,0.5106527,0.5706912,0.013836766,0.88278276,0.998609
sdxeq_0007__telephone8k,0.67588186,0.28497002,0.5537335,0.96656054,0.9980766
sdxeq_0008__telephone8k,0.3871894,0.15886031,0.27593645,0.9688444,0.999193
sdxeq_0009__telephone8k,0.6344522,0.61979026,0.10280933,0.9561483,0.99898416
sdxeq_0010__telephone8k,0.46627486,0.41044512,0.09994264,0.99362797,0.9875305
sdxeq_0011__telephone8k,0.4337198,0.005280018,0.435845,0.96250075,0.9884874
sdxeq_0012__telephone8k,0.15747422,0.037234068,0.12558165,0.9850977,0.9985089
sdxeq_0013__telephone8k,0.50091547,0.010786223,0.6368887,0.9885189,0.7780586
sdxeq_0014__telephone8k,0.21191996,0.13243075,0.096637204,0.99410456,0.9565634
sdxeq_0015__telephone8k,0.88592994,0.61631745,0.74154156,0.9092722,0.99861413
sdxeq_0016__telephone8k,0.40109104,0.23259662,0.229778,0.9845726,0.97135776
sdxeq_0017__telephone8k,0.19565952,0.20128071,0.009182239,0.9350584,0.9994959
sdxeq_0018__telephone8k,0.87565184,0.5029382,0.7674548,0.9279688,0.9991831
sdxeq_0019__telephone8k,0.79044354,0.4320398,0.63577694,0.986623,0.99839
sdxeq_0020__telephone8k,0.31174046,0.23167367,0.150804,0.8198252,0.99711055
sdxeq_0021__telephone8k,0.62468565,0.5322113,0.2506446,0.93818724,0.9990244
sdxeq_0022__telephone8k,0.7096596,0.07936897,0.68664736,0.9519922,0.99895346
sdxeq_0023__telephone8k,0.17575991,0.10514467,0.08441573,0.94966835,0.9989573
sdxeq_0024__telephone8k,0.5117725,0.27861723,0.3413945,0.93165725,0.99770546
sdxeq_0025__telephone8k,0.7699679,0.24540488,0.7125791,0.8166931,0.9996206
sdxeq_0026__telephone8k,0.8069155,0.3570613,0.70303315,0.9831503,0.999197
sdxeq_0027__telephone8k,0.6683167,0.6489879,0.08466115,0.9828043,0.99434966
sdxeq_0028__telephone8k,0.966755,0.3416601,0.95189106,0.9586933,0.9986033
sdxeq_0029__telephone8k,0.882494,0.13529105,0.86508256,0.98485833,0.99924606
sdxeq_0030__telephone8k,0.69722044,0.20615302,0.6342555,0.9934145,0.97633076
sdxeq_0031__telephone8k,0.9767871,0.2631774,0.97006077,0.91846484,0.9993059
sdxeq_0032__telephone8k,0.93008995,0.5821352,0.83904916,0.97622186,0.9988226
sdxeq_0033__telephone8k,0.9005148,0.77614367,0.5686324,0.9919066,0.9983864
sdxeq_0034__telephone8k,0.8682984,0.30048037,0.8151393,0.9650782,0.9992258
sdxeq_0035__telephone8k,0.9738605,0.45187482,0.95474017,0.9468748,0.9995516
sdxeq_0036__telephone8k,0.80154,0.44977114,0.6456243,0.9827709,0.99798435
sdxeq_0037__telephone8k,0.8981152,0.552792,0.7796015,0.97770065,0.9983141
sdxeq_0038__telephone8k,0.9289224,0.4818329,0.8651622,0.98663217,0.99924964
sdxeq_0039__telephone8k,0.8418044,0.20331852,0.802802,0.9833531,0.9993395
sdxeq_0040__telephone8k,0.97625566,0.5921126,0.9446848,0.9747198,0.99911386
sdxeq_0041__telephone8k,0.4784025,0.08685046,0.43222362,0.9672915,0.9961611
sdxeq_0042__telephone8k,0.78733104,0.10647309,0.7673629,0.9549322,0.9946541
sdxeq_0043__telephone8k,0.8519154,0.12255585,0.8324774,0.9547321,0.9997776
sdxeq_0044__telephone8k,0.9522268,0.5912567,0.8885034,0.9700886,0.99939865
sdxeq_0045__telephone8k,0.9376482,0.5608181,0.86124724,0.9920786,0.99791205
sdxeq_0046__telephone8k,0.9348753,0.34591526,0.9039049,0.96403617,0.99821585
sdxeq_0047__telephone8k,0.92152214,0.13050409,0.91165364,0.8902554,0.99950886
sdxeq_0048__telephone8k,0.81882334,0.7418873,0.36204094,0.96626776,0.9946726
sdxeq_0049__telephone8k,0.98584926,0.14452302,0.98412323,0.89091414,0.99962884
sdxeq_0050__telephone8k,0.14268452,0.10233738,0.06491983,0.81340235,0.9987778
sdxeq_0051__telephone8k,0.82416433,0.6484941,0.51985776,0.9796696,0.9961359
sdxeq_0052__telephone8k,0.91586435,0.9003992,0.2391297,0.9879994,0.99504167
sdxeq_0053__telephone8k,0.9371772,0.92250985,0.3067492,0.9858381,0.9983532
sdxeq_0054__telephone8k,0.82115406,0.7429654,0.33381566,0.9852955,0.9962494
sdxeq_0055__telephone8k,0.77096117,0.77337605,0.010127998,0.99385166,0.9985716
sdxeq_0056__telephone8k,0.5834935,0.5272815,0.1376485,0.987459,0.95218813
sdxeq_0057__telephone8k,0.7356516,0.7580247,0.00180645,0.9698548,0.998538
sdxeq_0058__telephone8k,0.97351134,0.9096939,0.7391591,0.9879362,0.99905723
sdxeq_0059__telephone8k,0.70887554,0.67659205,0.12382155,0.98705924,0.9978138
sdxeq_0060__telephone8k,0.4382748,0.10878754,0.37928572,0.9883755,0.97709924
sdxeq_0061__telephone8k,0.9655609,0.8516923,0.79346055,0.98130625,0.9960144
sdxeq_0062__telephone8k,0.434103,0.45455867,0.009211588,0.94343054,0.99946254
sdxeq_0063__telephone8k,0.6983292,0.73202103,0.087145664,0.9148283,0.9954535
sdxeq_0064__telephone8k,0.814379,0.7993417,0.16000314,0.97471964,0.9973324
sdxeq_0065__telephone8k,0.3143084,0.29109284,0.04923296,0.95818484,0.99681014
sdxeq_0066__telephone8k,0.7112559,0.6498808,0.19057329,0.98999214,0.99876636
sdxeq_0067__telephone8k,0.7958863,0.8046541,0.014193201,0.9854576,0.99832535
sdxeq_0068__telephone8k,0.07332146,0.054325726,0.02474301,0.91733724,0.9990019
sdxeq_0069__telephone8k,0.605667,0.12073951,0.5540938,0.99439794,0.99597245
