ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,CHANNEL,SPLIT,VOICE_SOURCE_ID,VOICE_GENERATOR,VOICE_SPEAKER,MUSIC_SOURCE_ID,MUSIC_GENERATOR,MUSIC_GROUP_ID,SNR_DB,OVERLAP_FRACTION,ORDER,DURATION,FILE_EXTENSION
factorial_0400,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,mp3_64k,holdout,voice_real_minji_extra_02,bonafide,minji,,,,,,,11.559,.mp3
factorial_0401,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,ogg_48k,holdout,voice_real_jian_target_02,bonafide,jian,,,,,,,7.808,.ogg
factorial_0402,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,telephone_flac,holdout,voice_real_hayoon_extra_02,bonafide,hayoon,,,,,,,4.796,.flac
factorial_0403,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,noisy_flac,holdout,voice_real_hayoon_extra_01,bonafide,hayoon,,,,,,,11.584,.flac
factorial_0404,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,clean_flac,holdout,voice_real_minji_extra_01,bonafide,minji,,,,,,,10.064,.flac
factorial_0405,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,stereo_wav,holdout,voice_real_jian_extra_00,bonafide,jian,,,,,,,9.77,.wav
factorial_0406,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,mp3_64k,holdout,voice_real_byungchul_extra_02,bonafide,byungchul,,,,,,,6.999,.mp3
factorial_0407,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,ogg_48k,holdout,voice_real_hayoon_extra_01,bonafide,hayoon,,,,,,,11.584,.ogg
factorial_0408,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,telephone_flac,holdout,voice_real_minji_extra_02,bonafide,minji,,,,,,,11.559,.flac
factorial_0409,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,noisy_flac,holdout,voice_real_hayoon_extra_00,bonafide,hayoon,,,,,,,4.572,.flac
factorial_0410,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,clean_flac,holdout,voice_real_jihye_extra_00,bonafide,jihye,,,,,,,5.807,.flac
factorial_0411,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,stereo_wav,holdout,voice_real_jian_extra_01,bonafide,jian,,,,,,,5.714,.wav
factorial_0412,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,mp3_64k,holdout,voice_real_jian_extra_00,bonafide,jian,,,,,,,9.77,.mp3
factorial_0413,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,ogg_48k,holdout,voice_real_byungchul_target_02,bonafide,byungchul,,,,,,,7.979,.ogg
factorial_0414,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,telephone_flac,holdout,voice_real_byungchul_extra_02,bonafide,byungchul,,,,,,,6.999,.flac
factorial_0415,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,noisy_flac,holdout,voice_real_byungchul_target_02,bonafide,byungchul,,,,,,,7.979,.flac
factorial_0416,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,clean_flac,holdout,voice_real_jihye_target_02,bonafide,jihye,,,,,,,10.087,.flac
factorial_0417,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,stereo_wav,holdout,voice_real_byungchul_extra_02,bonafide,byungchul,,,,,,,6.999,.wav
factorial_0418,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,mp3_64k,holdout,voice_real_jian_target_02,bonafide,jian,,,,,,,7.808,.mp3
factorial_0419,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,ogg_48k,holdout,voice_real_hayoon_target_01,bonafide,hayoon,,,,,,,6.268,.ogg
factorial_0420,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,telephone_flac,holdout,voice_real_jian_target_00,bonafide,jian,,,,,,,6.186,.flac
factorial_0421,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,noisy_flac,holdout,voice_real_minji_target_02,bonafide,minji,,,,,,,9.747,.flac
factorial_0422,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,clean_flac,holdout,voice_real_minji_target_01,bonafide,minji,,,,,,,9.176,.flac
factorial_0423,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,stereo_wav,holdout,voice_real_jian_target_01,bonafide,jian,,,,,,,6.144,.wav
factorial_0424,0,0.0,,1,0,voice,voice_only,voice_real,voice_only__voice_real,mp3_64k,holdout,voice_real_byungchul_target_01,bonafide,byungchul,,,,,,,5.41,.mp3
factorial_0425,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,ogg_48k,holdout,,,,efp_extra_real_126219,real,fma_126219,,,,9.0,.ogg
factorial_0426,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,telephone_flac,holdout,,,,efp_extra_real_090527,real,fma_090527,,,,10.0,.flac
factorial_0427,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,noisy_flac,holdout,,,,efp_real_145918,real,fma_145918,,,,10.0,.flac
factorial_0428,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,clean_flac,holdout,,,,efp_extra_real_126773,real,fma_126773,,,,14.0,.flac
factorial_0429,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,stereo_wav,holdout,,,,efp_extra_real_072927,real,fma_072927,,,,8.0,.wav
factorial_0430,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,mp3_64k,holdout,,,,efp_extra_real_142096,real,fma_142096,,,,12.0,.mp3
factorial_0431,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,ogg_48k,holdout,,,,efp_extra_real_141141,real,fma_141141,,,,14.0,.ogg
factorial_0432,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,telephone_flac,holdout,,,,efp_extra_real_032326,real,fma_032326,,,,14.0,.flac
factorial_0433,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,noisy_flac,holdout,,,,efp_extra_real_129375,real,fma_129375,,,,12.0,.flac
factorial_0434,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,clean_flac,holdout,,,,efp_real_061491,real,fma_061491,,,,10.0,.flac
factorial_0435,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,stereo_wav,holdout,,,,efp_extra_real_061159,real,fma_061159,,,,10.0,.wav
factorial_0436,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,mp3_64k,holdout,,,,efp_extra_real_131941,real,fma_131941,,,,8.0,.mp3
factorial_0437,0,,0.0,0,1,music,music_only,music_real,music_only__music_real,ogg_48k,holdout,,,,efp_extra_real_061159,real,fma_061159,,,,13.0,.ogg
