DATASET,STRATEGY,N,MUSIC_EER,EER_DELTA_VS_FIXED
mixfake_music_dev_v1,hierarchical_only,1600,0.125,0.016249999999999987
external_mixed_v1,hierarchical_only,400,0.14500000000000002,0.010000000000000009
source_disjoint_mixed_v1,hierarchical_only,200,0.13,0.010000000000000009
source_disjoint_mixed_equal_v1,hierarchical_only,200,0.12,0.010000000000000009
source_disjoint_music_v1,hierarchical_only,400,0.05500000000000002,0.0
factorial_eval_1200_v2_dev,hierarchical_only,350,0.23428571428571432,0.017142857142857154
telephone_mixed_dev_v1,hierarchical_only,600,0.22333333333333336,0.0033333333333333826
external_mixed_v1_telephone_v1,hierarchical_only,400,0.16000000000000003,0.0
source_disjoint_mixed_v1_telephone_v1,hierarchical_only,200,0.36,0.020000000000000018
source_disjoint_mixed_equal_v1_telephone_v1,hierarchical_only,200,0.21999999999999997,0.03999999999999995
mixfake_music_dev_v1,segmental_only,1600,0.12,0.011249999999999982
external_mixed_v1,segmental_only,400,0.14500000000000002,0.010000000000000009
source_disjoint_mixed_v1,segmental_only,200,0.12,0.0
source_disjoint_mixed_equal_v1,segmental_only,200,0.13,0.020000000000000018
source_disjoint_music_v1,segmental_only,400,0.05500000000000002,0.0
factorial_eval_1200_v2_dev,segmental_only,350,0.24,0.022857142857142826
telephone_mixed_dev_v1,segmental_only,600,0.21333333333333337,-0.006666666666666599
external_mixed_v1_telephone_v1,segmental_only,400,0.18000000000000002,0.01999999999999999
source_disjoint_mixed_v1_telephone_v1,segmental_only,200,0.31000000000000005,-0.029999999999999916
source_disjoint_mixed_equal_v1_telephone_v1,segmental_only,200,0.24,0.05999999999999997
mixfake_music_dev_v1,phone_hard_expert,1600,0.125,0.016249999999999987
external_mixed_v1,phone_hard_expert,400,0.14500000000000002,0.010000000000000009
source_disjoint_mixed_v1,phone_hard_expert,200,0.13,0.010000000000000009
source_disjoint_mixed_equal_v1,phone_hard_expert,200,0.12,0.010000000000000009
source_disjoint_music_v1,phone_hard_expert,400,0.05500000000000002,0.0
factorial_eval_1200_v2_dev,phone_hard_expert,350,0.23428571428571432,0.017142857142857154
telephone_mixed_dev_v1,phone_hard_expert,600,0.21333333333333337,-0.006666666666666599
external_mixed_v1_telephone_v1,phone_hard_expert,400,0.18000000000000002,0.01999999999999999
source_disjoint_mixed_v1_telephone_v1,phone_hard_expert,200,0.31000000000000005,-0.029999999999999916
source_disjoint_mixed_equal_v1_telephone_v1,phone_hard_expert,200,0.24,0.05999999999999997
mixfake_music_dev_v1,confidence_hard_expert,1600,0.11375000000000002,0.0050000000000000044
external_mixed_v1,confidence_hard_expert,400,0.14500000000000002,0.010000000000000009
source_disjoint_mixed_v1,confidence_hard_expert,200,0.09999999999999999,-0.020000000000000004
source_disjoint_mixed_equal_v1,confidence_hard_expert,200,0.10999999999999999,0.0
source_disjoint_music_v1,confidence_hard_expert,400,0.05500000000000002,0.0
factorial_eval_1200_v2_dev,confidence_hard_expert,350,0.23428571428571432,0.017142857142857154
telephone_mixed_dev_v1,confidence_hard_expert,600,0.21333333333333337,-0.006666666666666599
external_mixed_v1_telephone_v1,confidence_hard_expert,400,0.17500000000000002,0.014999999999999986
source_disjoint_mixed_v1_telephone_v1,confidence_hard_expert,200,0.31000000000000005,-0.029999999999999916
source_disjoint_mixed_equal_v1_telephone_v1,confidence_hard_expert,200,0.22999999999999998,0.04999999999999996
mixfake_music_dev_v1,fixed_soft_moe_025,1600,0.10875000000000001,0.0
external_mixed_v1,fixed_soft_moe_025,400,0.135,0.0
source_disjoint_mixed_v1,fixed_soft_moe_025,200,0.12,0.0
source_disjoint_mixed_equal_v1,fixed_soft_moe_025,200,0.10999999999999999,0.0
source_disjoint_music_v1,fixed_soft_moe_025,400,0.05500000000000002,0.0
factorial_eval_1200_v2_dev,fixed_soft_moe_025,350,0.21714285714285717,0.0
telephone_mixed_dev_v1,fixed_soft_moe_025,600,0.21999999999999997,0.0
external_mixed_v1_telephone_v1,fixed_soft_moe_025,400,0.16000000000000003,0.0
source_disjoint_mixed_v1_telephone_v1,fixed_soft_moe_025,200,0.33999999999999997,0.0
source_disjoint_mixed_equal_v1_telephone_v1,fixed_soft_moe_025,200,0.18000000000000002,0.0
mixfake_music_dev_v1,phone_soft_router_025_040,1600,0.10875000000000001,0.0
external_mixed_v1,phone_soft_router_025_040,400,0.135,0.0
source_disjoint_mixed_v1,phone_soft_router_025_040,200,0.12,0.0
source_disjoint_mixed_equal_v1,phone_soft_router_025_040,200,0.10999999999999999,0.0
source_disjoint_music_v1,phone_soft_router_025_040,400,0.05500000000000002,0.0
factorial_eval_1200_v2_dev,phone_soft_router_025_040,350,0.21714285714285717,0.0
telephone_mixed_dev_v1,phone_soft_router_025_040,600,0.21999999999999997,0.0
external_mixed_v1_telephone_v1,phone_soft_router_025_040,400,0.15500000000000003,-0.0050000000000000044
source_disjoint_mixed_v1_telephone_v1,phone_soft_router_025_040,200,0.32999999999999996,-0.010000000000000009
source_disjoint_mixed_equal_v1_telephone_v1,phone_soft_router_025_040,200,0.19999999999999998,0.019999999999999962
mixfake_music_dev_v1,confidence_soft_router,1600,0.10624999999999998,-0.00250000000000003
external_mixed_v1,confidence_soft_router,400,0.135,0.0
source_disjoint_mixed_v1,confidence_soft_router,200,0.12,0.0
source_disjoint_mixed_equal_v1,confidence_soft_router,200,0.10999999999999999,0.0
source_disjoint_music_v1,confidence_soft_router,400,0.05500000000000002,0.0
factorial_eval_1200_v2_dev,confidence_soft_router,350,0.21714285714285717,0.0
telephone_mixed_dev_v1,confidence_soft_router,600,0.21999999999999997,0.0
external_mixed_v1_telephone_v1,confidence_soft_router,400,0.15500000000000003,-0.0050000000000000044
source_disjoint_mixed_v1_telephone_v1,confidence_soft_router,200,0.33999999999999997,0.0
source_disjoint_mixed_equal_v1_telephone_v1,confidence_soft_router,200,0.18000000000000002,0.0
