GROUP,VALUE,COMPONENT,EXPERT,WEIGHT,N,AUC
ALL,ALL,voice,voice_energy,0.0,1200,0.956603125
ALL,ALL,voice,voice_energy,0.01,1200,0.9566437499999999
ALL,ALL,voice,voice_energy,0.025,1200,0.956671875
ALL,ALL,voice,voice_energy,0.05,1200,0.9567281249999999
ALL,ALL,voice,voice_energy,0.075,1200,0.956703125
ALL,ALL,voice,voice_energy,0.1,1200,0.95660625
ALL,ALL,voice,voice_energy,0.15,1200,0.956690625
ALL,ALL,voice,voice_energy,0.2,1200,0.9564999999999999
ALL,ALL,voice,voice_q90,0.0,1200,0.956603125
ALL,ALL,voice,voice_q90,0.01,1200,0.956596875
ALL,ALL,voice,voice_q90,0.025,1200,0.9566125000000001
ALL,ALL,voice,voice_q90,0.05,1200,0.95663125
ALL,ALL,voice,voice_q90,0.075,1200,0.956609375
ALL,ALL,voice,voice_q90,0.1,1200,0.956609375
ALL,ALL,voice,voice_q90,0.15,1200,0.9565375
ALL,ALL,voice,voice_q90,0.2,1200,0.956478125
ALL,ALL,voice,voice_max,0.0,1200,0.956603125
ALL,ALL,voice,voice_max,0.01,1200,0.9566000000000001
ALL,ALL,voice,voice_max,0.025,1200,0.956590625
ALL,ALL,voice,voice_max,0.05,1200,0.95658125
ALL,ALL,voice,voice_max,0.075,1200,0.956565625
ALL,ALL,voice,voice_max,0.1,1200,0.9565593750000001
ALL,ALL,voice,voice_max,0.15,1200,0.956490625
ALL,ALL,voice,voice_max,0.2,1200,0.9563937499999999
ALL,ALL,voice,voice_share,0.0,1200,0.956603125
ALL,ALL,voice,voice_share,0.01,1200,0.9571875
ALL,ALL,voice,voice_share,0.025,1200,0.9577562499999999
ALL,ALL,voice,voice_share,0.05,1200,0.9582968749999999
ALL,ALL,voice,voice_share,0.075,1200,0.9581437500000001
ALL,ALL,voice,voice_share,0.1,1200,0.9577281249999999
ALL,ALL,voice,voice_share,0.15,1200,0.9559249999999999
ALL,ALL,voice,voice_share,0.2,1200,0.95365625
ALL,ALL,voice,voice_composite,0.0,1200,0.956603125
ALL,ALL,voice,voice_composite,0.01,1200,0.9567062500000001
ALL,ALL,voice,voice_composite,0.025,1200,0.956775
ALL,ALL,voice,voice_composite,0.05,1200,0.956903125
ALL,ALL,voice,voice_composite,0.075,1200,0.9570187499999999
ALL,ALL,voice,voice_composite,0.1,1200,0.957125
ALL,ALL,voice,voice_composite,0.15,1200,0.956928125
ALL,ALL,voice,voice_composite,0.2,1200,0.9566375
ALL,ALL,music,music_energy,0.0,1200,0.9840593750000001
ALL,ALL,music,music_energy,0.01,1200,0.985003125
ALL,ALL,music,music_energy,0.025,1200,0.986621875
ALL,ALL,music,music_energy,0.05,1200,0.9898781249999999
ALL,ALL,music,music_energy,0.075,1200,0.994009375
ALL,ALL,music,music_energy,0.1,1200,0.99665
