ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,SPLIT,VOICE_SOURCE_ID,MUSIC_SOURCE_ID,VOICE_GENERATOR,MUSIC_GENERATOR,CONDITION,SOFIA_MERT_FAKE_PROB
yue_000_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_000690,,real,clean_separator_free,0.10836070775985718
yue_000_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260832,,YuE,clean_separator_free,0.7920376062393188
yue_000_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_extra_00,efp_extra_real_000690,bonafide,real,clean_separator_free,0.04848174750804901
yue_000_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,efp_extra_real_000690,cosyvoice3_0.5b,real,clean_separator_free,0.037034329026937485
yue_000_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_00,seed_20260832,bonafide,YuE,clean_separator_free,0.1034943088889122
yue_000_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,seed_20260832,cosyvoice3_0.5b,YuE,clean_separator_free,0.2890258729457855
yue_000_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_extra_00,efp_extra_real_000690,bonafide,real,clean_separator_free,0.19407372176647186
yue_000_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,efp_extra_real_000690,cosyvoice3_0.5b,real,clean_separator_free,0.16581173241138458
yue_000_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_00,seed_20260832,bonafide,YuE,clean_separator_free,0.4103267788887024
yue_000_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,seed_20260832,cosyvoice3_0.5b,YuE,clean_separator_free,0.8112945556640625
