DATASET,SLICE,WEIGHT,N,FILE_EER,VOICE_EER,MUSIC_EER,ADS
factorial_eval_1200_v2_holdout,ALL,0.0,400,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,ALL,0.01,400,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,AUDIO_TYPE=mixed,0.0,300,0.34444444444444444,0.26,0.29333333333333333,0.6877777777777777
factorial_eval_1200_v2_holdout,AUDIO_TYPE=mixed,0.01,300,0.3355555555555555,0.26,0.30000000000000004,0.6902222222222222
factorial_eval_1200_v2_holdout,CHANNEL=clean_flac,0.0,66,0.2873015873015873,0.2068965517241379,0.32738095238095233,0.7167556102900932
factorial_eval_1200_v2_holdout,CHANNEL=clean_flac,0.01,66,0.2873015873015873,0.2068965517241379,0.32738095238095233,0.7167556102900932
factorial_eval_1200_v2_holdout,CHANNEL=mp3_64k,0.0,67,0.22474747474747475,0.20344827586206896,0.2928571428571428,0.759079464596706
factorial_eval_1200_v2_holdout,CHANNEL=mp3_64k,0.01,67,0.22474747474747475,0.20344827586206896,0.2928571428571428,0.759079464596706
factorial_eval_1200_v2_holdout,CHANNEL=noisy_flac,0.0,67,0.19574468085106386,0.1724137931034483,0.18605990783410142,0.811826928603548
factorial_eval_1200_v2_holdout,CHANNEL=noisy_flac,0.01,67,0.19574468085106386,0.1724137931034483,0.18605990783410142,0.811826928603548
factorial_eval_1200_v2_holdout,CHANNEL=ogg_48k,0.0,67,0.23861283643892336,0.24137931034482762,0.20344827586206893,0.7713832369529521
factorial_eval_1200_v2_holdout,CHANNEL=ogg_48k,0.01,67,0.23861283643892336,0.24137931034482762,0.20344827586206893,0.7713832369529521
factorial_eval_1200_v2_holdout,CHANNEL=stereo_wav,0.0,66,0.2554347826086957,0.31034482758620685,0.29285714285714287,0.7223565003212679
factorial_eval_1200_v2_holdout,CHANNEL=stereo_wav,0.01,66,0.2554347826086957,0.31034482758620685,0.29285714285714287,0.7223565003212679
factorial_eval_1200_v2_holdout,CHANNEL=telephone_flac,0.0,67,0.2950310559006211,0.271264367816092,0.2928571428571428,0.7103744556293282
factorial_eval_1200_v2_holdout,CHANNEL=telephone_flac,0.01,67,0.2950310559006211,0.271264367816092,0.2928571428571428,0.7103744556293282
factorial_eval_1200_v2_holdout,MIX_MODE=concurrent,0.0,100,0.36666666666666664,0.31999999999999995,0.26,0.6746666666666666
factorial_eval_1200_v2_holdout,MIX_MODE=concurrent,0.01,100,0.36666666666666664,0.31999999999999995,0.26,0.6746666666666666
factorial_eval_1200_v2_holdout,MIX_MODE=partial_overlap,0.0,100,0.31999999999999995,0.30000000000000004,0.31999999999999995,0.6839999999999999
factorial_eval_1200_v2_holdout,MIX_MODE=partial_overlap,0.01,100,0.31999999999999995,0.30000000000000004,0.31999999999999995,0.6839999999999999
factorial_eval_1200_v2_holdout,MIX_MODE=sequential,0.0,100,0.24,0.16000000000000003,0.30000000000000004,0.758
factorial_eval_1200_v2_holdout,MIX_MODE=sequential,0.01,100,0.24,0.16000000000000003,0.30000000000000004,0.758
phone_factorial_1200_v1,ALL,0.0,1200,0.2582857142857143,0.15500000000000003,0.36,0.731857142857143
phone_factorial_1200_v1,ALL,0.01,1200,0.25757142857142856,0.15500000000000003,0.36,0.7322142857142857
phone_factorial_1200_v1,AUDIO_TYPE=mixed,0.0,400,0.3383333333333334,0.20999999999999996,0.43000000000000005,0.6598333333333333
phone_factorial_1200_v1,AUDIO_TYPE=mixed,0.01,400,0.3383333333333334,0.20999999999999996,0.43000000000000005,0.6598333333333333
phone_factorial_1200_v1,CHANNEL=g711_ulaw,0.0,300,0.23028571428571426,0.08999999999999998,0.33999999999999997,0.7648571428571429
phone_factorial_1200_v1,CHANNEL=g711_ulaw,0.01,300,0.23028571428571426,0.08999999999999998,0.33999999999999997,0.7648571428571429
phone_factorial_1200_v1,CHANNEL=g726_24k,0.0,300,0.17657142857142857,0.06999999999999998,0.28,0.8137142857142857
phone_factorial_1200_v1,CHANNEL=g726_24k,0.01,300,0.17657142857142857,0.06999999999999998,0.27,0.8167142857142857
phone_factorial_1200_v1,CHANNEL=opus_nb_8k,0.0,300,0.44971428571428573,0.21999999999999997,0.38,0.6171428571428572
phone_factorial_1200_v1,CHANNEL=opus_nb_8k,0.01,300,0.44971428571428573,0.21999999999999997,0.38,0.6171428571428572
phone_factorial_1200_v1,CHANNEL=resample8k,0.0,300,0.21657142857142858,0.050000000000000024,0.37,0.7707142857142857
phone_factorial_1200_v1,CHANNEL=resample8k,0.01,300,0.21657142857142858,0.050000000000000024,0.37,0.7707142857142857
