MODEL,MIX_MODE,COMPONENT_CASE,PARENTS,N,FILE_REFERENCE_CASE,FILE_EER,FILE_NEG_N,FILE_POS_N,VOICE_REFERENCE_CASE,VOICE_EER,VOICE_NEG_N,VOICE_POS_N,MUSIC_REFERENCE_CASE,MUSIC_EER,MUSIC_NEG_N,MUSIC_POS_N
v47,concurrent,RR,6,30,,,0,0,,,0,0,,,0,0
v47,concurrent,RF,6,30,RR,0.1333333333333333,30,30,,,0,0,RR,0.3666666666666667,30,30
v47,concurrent,FR,6,30,RR,0.09999999999999999,30,30,RR,0.16666666666666663,30,30,,,0,0
v47,concurrent,FF,6,30,RR,0.1333333333333333,30,30,RF,0.30000000000000004,30,30,FR,0.33333333333333337,30,30
v47,partial_overlap,RR,6,30,,,0,0,,,0,0,,,0,0
v47,partial_overlap,RF,6,30,RR,0.4,30,30,,,0,0,RR,0.33333333333333337,30,30
v47,partial_overlap,FR,6,30,RR,0.16666666666666663,30,30,RR,0.2333333333333333,30,30,,,0,0
v47,partial_overlap,FF,6,30,RR,0.06666666666666665,30,30,RF,0.19999999999999998,30,30,FR,0.30000000000000004,30,30
v47,sequential,RR,6,30,,,0,0,,,0,0,,,0,0
v47,sequential,RF,6,30,RR,0.30000000000000004,30,30,,,0,0,RR,0.30000000000000004,30,30
v47,sequential,FR,6,30,RR,0.033333333333333326,30,30,RR,0.1333333333333333,30,30,,,0,0
v47,sequential,FF,6,30,RR,0.0,30,30,RF,0.09999999999999999,30,30,FR,0.2333333333333333,30,30
v48,concurrent,RR,6,30,,,0,0,,,0,0,,,0,0
v48,concurrent,RF,6,30,RR,0.19999999999999998,30,30,,,0,0,RR,0.2666666666666667,30,30
v48,concurrent,FR,6,30,RR,0.1333333333333333,30,30,RR,0.16666666666666663,30,30,,,0,0
v48,concurrent,FF,6,30,RR,0.1333333333333333,30,30,RF,0.30000000000000004,30,30,FR,0.33333333333333337,30,30
v48,partial_overlap,RR,6,30,,,0,0,,,0,0,,,0,0
v48,partial_overlap,RF,6,30,RR,0.43333333333333335,30,30,,,0,0,RR,0.33333333333333337,30,30
v48,partial_overlap,FR,6,30,RR,0.1333333333333333,30,30,RR,0.2333333333333333,30,30,,,0,0
v48,partial_overlap,FF,6,30,RR,0.06666666666666665,30,30,RF,0.19999999999999998,30,30,FR,0.30000000000000004,30,30
v48,sequential,RR,6,30,,,0,0,,,0,0,,,0,0
v48,sequential,RF,6,30,RR,0.30000000000000004,30,30,,,0,0,RR,0.30000000000000004,30,30
v48,sequential,FR,6,30,RR,0.06666666666666665,30,30,RR,0.1333333333333333,30,30,,,0,0
v48,sequential,FF,6,30,RR,0.033333333333333326,30,30,RF,0.09999999999999999,30,30,FR,0.2333333333333333,30,30
