MODEL,CHANNEL,TASK,PARENTS,POSITIVE_PARENTS,NEGATIVE_PARENTS,PAIRS,CLEAN_EER,CHANNEL_EER,CLEAN_PAIR_ERROR,CHANNEL_PAIR_ERROR,CORRECT_TO_INCORRECT,INCORRECT_TO_CORRECT,CLEAN_TIES,CHANNEL_TIES,RANK_STATE_FLIPS,MEAN_SCORE_DELTA,MEAN_SIGNED_DELTA,MEAN_PAIR_MARGIN_DELTA
v47,g711_ulaw,FILE,72,54,18,972,0.2222222222222222,0.16666666666666663,0.09156378600823045,0.06069958847736623,18,48,0,0,66,-0.06097188275972222,-0.016543118415277776,0.03718086123888889
v47,g711_ulaw,VOICE,72,36,36,1296,0.055555555555555566,0.16666666666666663,0.04012345679012341,0.1157407407407407,121,23,0,0,144,-0.040782167581944445,-0.08568486177638888,-0.17136972355277777
v47,g711_ulaw,MUSIC,72,36,36,1296,0.13888888888888887,0.3055555555555556,0.07330246913580252,0.22839506172839508,217,16,0,0,233,-0.2058028186736111,-0.1203044414513889,-0.24060888290277782
v47,g722_wb,FILE,72,54,18,972,0.2222222222222222,0.16666666666666663,0.09156378600823045,0.07818930041152261,8,21,0,0,29,-0.0032593819722222172,0.00555293823333334,0.01915367791851853
v47,g722_wb,VOICE,72,36,36,1296,0.055555555555555566,0.055555555555555566,0.04012345679012341,0.03780864197530864,4,7,0,0,11,0.001509900427777781,0.008166654580555556,0.016333309161111118
v47,g722_wb,MUSIC,72,36,36,1296,0.13888888888888887,0.13888888888888887,0.07330246913580252,0.10570987654320985,50,8,0,0,58,-0.01124900891805556,-0.009629597826388886,-0.019259195652777773
v47,opus_nb_8k,FILE,72,54,18,972,0.2222222222222222,0.26851851851851855,0.09156378600823045,0.16049382716049387,122,55,0,0,177,-0.002019592940277776,-0.056160313273611116,-0.14706804480925928
v47,opus_nb_8k,VOICE,72,36,36,1296,0.055555555555555566,0.3055555555555556,0.04012345679012341,0.246141975308642,281,14,0,0,295,0.11067693493194446,-0.16532764620138893,-0.3306552924027778
v47,opus_nb_8k,MUSIC,72,36,36,1296,0.13888888888888887,0.4444444444444444,0.07330246913580252,0.4228395061728395,478,25,0,0,503,-0.15817932128055556,-0.21267200255,-0.42534400510000003
v47,transcode_g711_opus,FILE,72,54,18,972,0.2222222222222222,0.32407407407407407,0.09156378600823045,0.17901234567901236,122,37,0,0,159,-0.00915596659027778,-0.07751401585972223,-0.1944960868388889
v47,transcode_g711_opus,VOICE,72,36,36,1296,0.055555555555555566,0.33333333333333337,0.04012345679012341,0.25617283950617287,299,19,0,0,318,0.10801188095972224,-0.18248914752361112,-0.3649782950472222
v47,transcode_g711_opus,MUSIC,72,36,36,1296,0.13888888888888887,0.4444444444444444,0.07330246913580252,0.43827160493827155,488,15,0,0,503,-0.16892146670555552,-0.21982574777222225,-0.43965149554444444
v48,g711_ulaw,FILE,72,54,18,972,0.16666666666666663,0.21296296296296297,0.08024691358024694,0.0761316872427984,30,34,0,0,64,-0.06721621384583333,-0.03399864913194444,-0.0010414458907407446
v48,g711_ulaw,VOICE,72,36,36,1296,0.055555555555555566,0.16666666666666663,0.04012345679012341,0.1157407407407407,121,23,0,0,144,-0.040782167581944445,-0.08568486177638888,-0.17136972355277777
v48,g711_ulaw,MUSIC,72,36,36,1296,0.11111111111111113,0.2222222222222222,0.058641975308642014,0.21064814814814814,212,15,0,0,227,-0.21171516612083333,-0.14103082771805553,-0.28206165543611106
v48,g722_wb,FILE,72,54,18,972,0.16666666666666663,0.16666666666666663,0.08024691358024694,0.0761316872427984,9,13,0,0,22,-0.005598950169444446,0.00429839330277778,0.018927649033333344
v48,g722_wb,VOICE,72,36,36,1296,0.055555555555555566,0.055555555555555566,0.04012345679012341,0.03780864197530864,4,7,0,0,11,0.001509900427777781,0.008166654580555556,0.016333309161111118
v48,g722_wb,MUSIC,72,36,36,1296,0.11111111111111113,0.13888888888888887,0.058641975308642014,0.08333333333333337,39,7,0,0,46,-0.011136657909722228,-0.013021661570833336,-0.026043323141666665
v48,opus_nb_8k,FILE,72,54,18,972,0.16666666666666663,0.2777777777777778,0.08024691358024694,0.17592592592592593,140,47,0,0,187,-0.000672053352777785,-0.06790699617777778,-0.1801892520037037
v48,opus_nb_8k,VOICE,72,36,36,1296,0.055555555555555566,0.3055555555555556,0.04012345679012341,0.246141975308642,281,14,0,0,295,0.11067693493194446,-0.16532764620138893,-0.3306552924027778
v48,opus_nb_8k,MUSIC,72,36,36,1296,0.11111111111111113,0.4722222222222222,0.058641975308642014,0.4205246913580247,491,22,0,0,513,-0.19059580984444444,-0.23724592463611108,-0.47449184927222227
v48,transcode_g711_opus,FILE,72,54,18,972,0.16666666666666663,0.32407407407407407,0.08024691358024694,0.191358024691358,142,34,0,0,176,-0.006484446930555551,-0.09003595152499999,-0.23144994149259257
v48,transcode_g711_opus,VOICE,72,36,36,1296,0.055555555555555566,0.33333333333333337,0.04012345679012341,0.25617283950617287,299,19,0,0,318,0.10801188095972224,-0.18248914752361112,-0.3649782950472222
v48,transcode_g711_opus,MUSIC,72,36,36,1296,0.11111111111111113,0.38888888888888884,0.058641975308642014,0.42206790123456794,486,15,0,0,501,-0.20119930997916666,-0.24388730206805553,-0.4877746041361111
