DATASET,WPT_WEIGHT,N,MUSIC_EER,DELTA_VS_QUERY
mixfake_music_dev_v1,0.0,1600,0.08625000000000002,0.0
mixfake_music_dev_v1,0.1,1600,0.08125000000000002,-0.0050000000000000044
mixfake_music_dev_v1,0.2,1600,0.07625000000000001,-0.010000000000000009
mixfake_music_dev_v1,0.3,1600,0.07499999999999998,-0.011250000000000038
mixfake_music_dev_v1,0.4,1600,0.07499999999999998,-0.011250000000000038
mixfake_music_dev_v1,0.5,1600,0.07499999999999998,-0.011250000000000038
external_mixed_v1,0.0,400,0.10999999999999999,0.0
external_mixed_v1,0.1,400,0.10499999999999998,-0.0050000000000000044
external_mixed_v1,0.2,400,0.10499999999999998,-0.0050000000000000044
external_mixed_v1,0.3,400,0.10499999999999998,-0.0050000000000000044
external_mixed_v1,0.4,400,0.09999999999999999,-0.009999999999999995
external_mixed_v1,0.5,400,0.09999999999999999,-0.009999999999999995
source_disjoint_mixed_v1,0.0,200,0.13,0.0
source_disjoint_mixed_v1,0.1,200,0.13,0.0
source_disjoint_mixed_v1,0.2,200,0.12,-0.010000000000000009
source_disjoint_mixed_v1,0.3,200,0.10999999999999999,-0.020000000000000018
source_disjoint_mixed_v1,0.4,200,0.10999999999999999,-0.020000000000000018
source_disjoint_mixed_v1,0.5,200,0.12,-0.010000000000000009
source_disjoint_mixed_equal_v1,0.0,200,0.06999999999999998,0.0
source_disjoint_mixed_equal_v1,0.1,200,0.06999999999999998,0.0
source_disjoint_mixed_equal_v1,0.2,200,0.06999999999999998,0.0
source_disjoint_mixed_equal_v1,0.3,200,0.06999999999999998,0.0
source_disjoint_mixed_equal_v1,0.4,200,0.060000000000000026,-0.009999999999999953
source_disjoint_mixed_equal_v1,0.5,200,0.060000000000000026,-0.009999999999999953
source_disjoint_music_v1,0.0,400,0.04000000000000002,0.0
source_disjoint_music_v1,0.1,400,0.04000000000000002,0.0
source_disjoint_music_v1,0.2,400,0.04000000000000002,0.0
source_disjoint_music_v1,0.3,400,0.04000000000000002,0.0
source_disjoint_music_v1,0.4,400,0.03500000000000002,-0.0050000000000000044
source_disjoint_music_v1,0.5,400,0.03500000000000002,-0.0050000000000000044
factorial_eval_1200_v2_dev,0.0,350,0.18285714285714283,0.0
factorial_eval_1200_v2_dev,0.1,350,0.17714285714285716,-0.005714285714285672
factorial_eval_1200_v2_dev,0.2,350,0.17714285714285716,-0.005714285714285672
factorial_eval_1200_v2_dev,0.3,350,0.1714285714285714,-0.011428571428571427
factorial_eval_1200_v2_dev,0.4,350,0.17714285714285716,-0.005714285714285672
factorial_eval_1200_v2_dev,0.5,350,0.1714285714285714,-0.011428571428571427
telephone_mixed_dev_v1,0.0,600,0.18000000000000002,0.0
telephone_mixed_dev_v1,0.1,600,0.18000000000000002,0.0
telephone_mixed_dev_v1,0.2,600,0.17666666666666664,-0.0033333333333333826
telephone_mixed_dev_v1,0.3,600,0.17333333333333334,-0.006666666666666682
telephone_mixed_dev_v1,0.4,600,0.17333333333333334,-0.006666666666666682
telephone_mixed_dev_v1,0.5,600,0.17333333333333334,-0.006666666666666682
