ROUTE,NONPHONE_W,PHONE_W,dev_FILE_EER,dev_ADS,factorial_FILE_EER,factorial_ADS,phone_FILE_EER,phone_ADS,yue_FILE_EER,yue_ADS,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,AUDIT_MIN_DELTA,AUDIT_MEAN_DELTA
soft,0.125,0.2,0.19999999999999998,0.7914285714285714,0.20763636363636362,0.7944675324675325,0.10242857142857142,0.8780357142857143,0.09578804347826086,0.8881409244974288,0.0038181818181817206,0.0,0.0237857142857143,0.0,0.0,0.007928571428571432
hard,0.125,0.2,0.19999999999999998,0.7914285714285714,0.20763636363636362,0.7944675324675325,0.10242857142857142,0.8780357142857143,0.09578804347826086,0.8881409244974288,0.0038181818181817206,0.0,0.0237857142857143,0.0,0.0,0.007928571428571432
soft,0.0,0.05,0.19999999999999998,0.7914285714285714,0.20763636363636362,0.7944675324675325,0.13414285714285712,0.8621785714285715,0.09578804347826086,0.8881409244974288,0.0038181818181817206,0.0,0.007928571428571507,0.0,0.0,0.002642857142857169
hard,0.0,0.05,0.19999999999999998,0.7914285714285714,0.20763636363636362,0.7944675324675325,0.13414285714285712,0.8621785714285715,0.09578804347826086,0.8881409244974288,0.0038181818181817206,0.0,0.007928571428571507,0.0,0.0,0.002642857142857169
soft,0.0,0.075,0.19999999999999998,0.7914285714285714,0.20945454545454545,0.7935584415584416,0.12585714285714283,0.8663214285714285,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0009090909090909705,0.01207142857142851,0.0,-0.0009090909090909705,0.00372077922077918
hard,0.0,0.075,0.19999999999999998,0.7914285714285714,0.20945454545454545,0.7935584415584416,0.12585714285714283,0.8663214285714285,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0009090909090909705,0.01207142857142851,0.0,-0.0009090909090909705,0.00372077922077918
soft,0.0,0.15,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.11585714285714288,0.8713214285714286,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.017071428571428626,0.0,-0.0038181818181819427,0.004417748917748894
hard,0.0,0.15,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.11585714285714288,0.8713214285714286,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.017071428571428626,0.0,-0.0038181818181819427,0.004417748917748894
soft,0.0,0.125,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.11828571428571427,0.8701071428571427,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.015857142857142792,0.0,-0.0038181818181819427,0.00401298701298695
hard,0.0,0.125,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.11828571428571427,0.8701071428571427,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.015857142857142792,0.0,-0.0038181818181819427,0.00401298701298695
