BANK,GROUP,VALUE,N,ANCHOR_EER,CANDIDATE_EER,EER_IMPROVEMENT
dev,MIX_MODE,concurrent,100,0.31333333333333335,0.31999999999999995,-0.006666666666666599
dev,MIX_MODE,music_only,50,0.16000000000000003,0.16000000000000003,0.0
dev,MIX_MODE,partial_overlap,100,0.2733333333333334,0.24,0.03333333333333338
dev,MIX_MODE,sequential,100,0.15333333333333332,0.12,0.033333333333333326
dev,MIX_MODE,voice_only,50,0.12,0.12,0.0
dev,CHANNEL,clean_flac,66,0.09347826086956525,0.16195652173913044,-0.0684782608695652
dev,CHANNEL,mp3_64k,67,0.13664596273291926,0.14751552795031056,-0.010869565217391297
dev,CHANNEL,noisy_flac,66,0.1952380952380952,0.1492063492063492,0.04603174603174601
dev,CHANNEL,ogg_48k,67,0.19306418219461696,0.24948240165631472,-0.056418219461697755
dev,CHANNEL,stereo_wav,67,0.2696969696969697,0.23585858585858588,0.033838383838383834
dev,CHANNEL,telephone_flac,67,0.298936170212766,0.2526595744680851,0.04627659574468085
dev,AUDIO_TYPE,mixed,300,0.24,0.24,0.0
dev,AUDIO_TYPE,music,50,0.16000000000000003,0.16000000000000003,0.0
dev,AUDIO_TYPE,voice,50,0.12,0.12,0.0
factorial,MIX_MODE,concurrent,100,0.32666666666666666,0.31999999999999995,0.00666666666666671
factorial,MIX_MODE,music_only,50,0.16000000000000003,0.12,0.040000000000000036
factorial,MIX_MODE,partial_overlap,100,0.28,0.2066666666666667,0.07333333333333333
factorial,MIX_MODE,sequential,100,0.16666666666666669,0.19999999999999998,-0.0333333333333333
factorial,MIX_MODE,voice_only,50,0.04000000000000002,0.04000000000000002,0.0
factorial,CHANNEL,clean_flac,66,0.1952380952380952,0.1952380952380952,0.0
factorial,CHANNEL,mp3_64k,67,0.13484848484848483,0.17979797979797982,-0.04494949494949499
factorial,CHANNEL,noisy_flac,67,0.16010638297872343,0.19574468085106386,-0.035638297872340435
factorial,CHANNEL,ogg_48k,67,0.23861283643892336,0.23861283643892336,0.0
factorial,CHANNEL,stereo_wav,66,0.19782608695652174,0.19782608695652174,0.0
factorial,CHANNEL,telephone_flac,67,0.19306418219461696,0.19306418219461696,0.0
factorial,AUDIO_TYPE,mixed,300,0.28,0.25555555555555554,0.02444444444444449
factorial,AUDIO_TYPE,music,50,0.16000000000000003,0.12,0.040000000000000036
factorial,AUDIO_TYPE,voice,50,0.04000000000000002,0.04000000000000002,0.0
phone,CHANNEL,g711_ulaw,300,0.08685714285714287,0.07999999999999999,0.006857142857142881
phone,CHANNEL,g726_24k,300,0.07314285714285715,0.07028571428571431,0.002857142857142836
phone,CHANNEL,opus_nb_8k,300,0.37657142857142856,0.19314285714285714,0.1834285714285714
phone,CHANNEL,resample8k,300,0.046857142857142854,0.07028571428571431,-0.02342857142857146
phone,AUDIO_TYPE,mixed,400,0.20999999999999996,0.17000000000000004,0.039999999999999925
phone,AUDIO_TYPE,music,400,0.08499999999999999,0.05500000000000002,0.02999999999999997
phone,AUDIO_TYPE,voice,400,0.03500000000000002,0.03500000000000002,0.0
phone,CONDITION,simultaneous,400,0.20999999999999996,0.17000000000000004,0.039999999999999925
phone,CONDITION,source_disjoint,400,0.08499999999999999,0.05500000000000002,0.02999999999999997
phone,CONDITION,speech_only,400,0.03500000000000002,0.03500000000000002,0.0
yue,MIX_MODE,concurrent,32,0.125,0.22916666666666669,-0.10416666666666669
yue,MIX_MODE,music_only,16,0.0,0.0,0.0
yue,MIX_MODE,partial_overlap,32,0.10416666666666669,0.0,0.10416666666666669
yue,MIX_MODE,sequential,32,0.0,0.0,0.0
yue,AUDIO_TYPE,mixed,108,0.11607142857142855,0.11607142857142855,0.0
yue,AUDIO_TYPE,music,16,0.0,0.0,0.0
yue,CONDITION,clean_separator_free,124,0.09578804347826086,0.09578804347826086,0.0
