DATASET,MUSIC_WEIGHT,FILE_RATIO,FILE_UPDATE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,0.0,0.0,0.0,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.0,0.0,0.5,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.0,0.0,0.75,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.0,0.0,1.0,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.4,0.0,0.0,400,400,350,350,0.22472727272727272,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7756363636363637,0.9947428571428572,0.797547012987013
dev,0.4,0.0,0.5,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,0.4,0.0,0.75,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,0.4,0.0,1.0,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
factorial,0.0,0.0,0.0,400,400,350,350,0.23818181818181816,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7694805194805194,0.9958571428571428,0.7921181818181818
factorial,0.0,0.0,0.5,400,400,350,350,0.23818181818181816,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7694805194805194,0.9958571428571428,0.7921181818181818
factorial,0.0,0.0,0.75,400,400,350,350,0.23818181818181816,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7694805194805194,0.9958571428571428,0.7921181818181818
factorial,0.0,0.0,1.0,400,400,350,350,0.23818181818181816,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7694805194805194,0.9958571428571428,0.7921181818181818
factorial,0.4,0.0,0.0,400,400,350,350,0.23818181818181816,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7746233766233765,0.9958571428571428,0.7967467532467531
factorial,0.4,0.0,0.5,400,400,350,350,0.23054545454545455,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7784415584415585,0.9958571428571428,0.8001831168831169
factorial,0.4,0.0,0.75,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
factorial,0.4,0.0,1.0,400,400,350,350,0.21527272727272728,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7860779220779222,0.9958571428571428,0.8070558441558442
phone,0.0,0.0,0.0,1200,1200,800,800,0.17585714285714285,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8260714285714286,0.9703312500000001,0.8404974107142857
phone,0.0,0.0,0.5,1200,1200,800,800,0.17585714285714285,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8260714285714286,0.9703312500000001,0.8404974107142857
phone,0.0,0.0,0.75,1200,1200,800,800,0.17585714285714285,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8260714285714286,0.9703312500000001,0.8404974107142857
phone,0.0,0.0,1.0,1200,1200,800,800,0.17585714285714285,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8260714285714286,0.9703312500000001,0.8404974107142857
