ROUTE,FILE_NONPHONE_W,FILE_PHONE_W,VOICE_NONPHONE_W,VOICE_PHONE_W,dev,factorial,phone,yue,factorial_plus_phone,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,factorial_plus_phone_DELTA,MIN_AUDIT_DELTA,MEAN_AUDIT_DELTA
hard,0.225,0.4,0.3,0.25,0.7925714285714286,0.7944675324675325,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.0038181818181818317,0.0011428571428573342,0.008785714285714175,0.0,0.006533333333333391,0.0,0.003436688311688335
hard,0.225,0.4,0.3,0.275,0.7925714285714286,0.7944675324675325,0.8620357142857142,0.8881409244974288,0.8398773690078039,0.0038181818181818317,0.0011428571428573342,0.008785714285714175,0.0,0.006881159420289884,0.0,0.003436688311688335
soft,0.225,0.4,0.3,0.25,0.7925714285714286,0.7944675324675325,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.0038181818181818317,0.0011428571428573342,0.008785714285714175,0.0,0.006533333333333391,0.0,0.003436688311688335
soft,0.225,0.4,0.3,0.275,0.7925714285714286,0.7944675324675325,0.8620357142857142,0.8881409244974288,0.8398773690078039,0.0038181818181818317,0.0011428571428573342,0.008785714285714175,0.0,0.006881159420289884,0.0,0.003436688311688335
hard,0.225,0.4,0.3,0.3,0.7914285714285714,0.7944675324675325,0.8630357142857144,0.8881409244974288,0.8398773690078039,0.0026753246753246085,0.0011428571428573342,0.009785714285714286,0.0,0.006881159420289884,0.0,0.0034009740259740573
hard,0.225,0.4,0.3,0.35,0.7914285714285714,0.7944675324675325,0.8630357142857144,0.8881409244974288,0.8412686733556299,0.0026753246753246085,0.0011428571428573342,0.009785714285714286,0.0,0.008272463768115967,0.0,0.0034009740259740573
soft,0.225,0.4,0.3,0.3,0.7914285714285714,0.7944675324675325,0.8630357142857144,0.8881409244974288,0.8398773690078039,0.0026753246753246085,0.0011428571428573342,0.009785714285714286,0.0,0.006881159420289884,0.0,0.0034009740259740573
soft,0.225,0.4,0.3,0.35,0.7914285714285714,0.7944675324675325,0.8630357142857144,0.8881409244974288,0.8412686733556299,0.0026753246753246085,0.0011428571428573342,0.009785714285714286,0.0,0.008272463768115967,0.0,0.0034009740259740573
hard,0.25,0.4,0.3,0.25,0.7916623376623376,0.7944675324675325,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.002909090909090861,0.0011428571428573342,0.008785714285714175,0.0,0.006533333333333391,0.0,0.0032094155844155925
hard,0.25,0.4,0.3,0.275,0.7916623376623376,0.7944675324675325,0.8620357142857142,0.8881409244974288,0.8398773690078039,0.002909090909090861,0.0011428571428573342,0.008785714285714175,0.0,0.006881159420289884,0.0,0.0032094155844155925
soft,0.25,0.4,0.3,0.25,0.7916623376623376,0.7944675324675325,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.002909090909090861,0.0011428571428573342,0.008785714285714175,0.0,0.006533333333333391,0.0,0.0032094155844155925
soft,0.25,0.4,0.3,0.275,0.7916623376623376,0.7944675324675325,0.8620357142857142,0.8881409244974288,0.8398773690078039,0.002909090909090861,0.0011428571428573342,0.008785714285714175,0.0,0.006881159420289884,0.0,0.0032094155844155925
hard,0.25,0.4,0.3,0.3,0.7905194805194805,0.7944675324675325,0.8630357142857144,0.8881409244974288,0.8398773690078039,0.001766233766233749,0.0011428571428573342,0.009785714285714286,0.0,0.006881159420289884,0.0,0.0031737012987013424
hard,0.25,0.4,0.3,0.35,0.7905194805194805,0.7944675324675325,0.8630357142857144,0.8881409244974288,0.8412686733556299,0.001766233766233749,0.0011428571428573342,0.009785714285714286,0.0,0.008272463768115967,0.0,0.0031737012987013424
soft,0.25,0.4,0.3,0.3,0.7905194805194805,0.7944675324675325,0.8630357142857144,0.8881409244974288,0.8398773690078039,0.001766233766233749,0.0011428571428573342,0.009785714285714286,0.0,0.006881159420289884,0.0,0.0031737012987013424
soft,0.25,0.4,0.3,0.35,0.7905194805194805,0.7944675324675325,0.8630357142857144,0.8881409244974288,0.8412686733556299,0.001766233766233749,0.0011428571428573342,0.009785714285714286,0.0,0.008272463768115967,0.0,0.0031737012987013424
hard,0.225,0.4,0.225,0.225,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8391817168338908,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006185507246376787,0.0,0.0031509740259740016
hard,0.225,0.4,0.225,0.25,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006533333333333391,0.0,0.0031509740259740016
hard,0.225,0.4,0.25,0.225,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006533333333333391,0.0,0.0031509740259740016
hard,0.225,0.4,0.25,0.25,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006533333333333391,0.0,0.0031509740259740016
hard,0.225,0.4,0.25,0.275,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8398773690078039,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006881159420289884,0.0,0.0031509740259740016
hard,0.225,0.4,0.275,0.225,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8391817168338908,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006185507246376787,0.0,0.0031509740259740016
hard,0.225,0.4,0.275,0.25,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8398773690078039,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006881159420289884,0.0,0.0031509740259740016
hard,0.225,0.4,0.275,0.275,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8398773690078039,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006881159420289884,0.0,0.0031509740259740016
soft,0.225,0.4,0.225,0.225,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8391817168338908,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006185507246376787,0.0,0.0031509740259740016
soft,0.225,0.4,0.225,0.25,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006533333333333391,0.0,0.0031509740259740016
soft,0.225,0.4,0.25,0.225,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006533333333333391,0.0,0.0031509740259740016
soft,0.225,0.4,0.25,0.25,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006533333333333391,0.0,0.0031509740259740016
soft,0.225,0.4,0.25,0.275,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8398773690078039,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006881159420289884,0.0,0.0031509740259740016
soft,0.225,0.4,0.275,0.225,0.7925714285714286,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8391817168338908,0.0038181818181818317,0.0,0.008785714285714175,0.0,0.006185507246376787,0.0,0.0031509740259740016
