DATASET,METHOD,GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,v29,ALL,ALL,400,400.0,350.0,350.0,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,v29,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.23777777777777775,0.31333333333333335,0.18666666666666665,,,0.7624444444444445,,
dev,v29,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.16000000000000003,,0.16000000000000003,,,,,
dev,v29,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.16000000000000003,0.16000000000000003,,,,,,
dev,v29,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.36,0.4,0.24,,,0.6679999999999999,,
dev,v29,MIX_MODE,music_only,50,50.0,0.0,50.0,0.16000000000000003,,0.16000000000000003,,,,,
dev,v29,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.28,0.33999999999999997,0.19999999999999998,,,0.732,,
dev,v29,MIX_MODE,sequential,100,100.0,100.0,100.0,0.12,0.18000000000000002,0.07999999999999999,,,0.88,,
dev,v29,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.16000000000000003,0.16000000000000003,,,,,,
dev,v29,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.14021739130434785,0.2068965517241379,0.17261904761904762,1.0,0.9935344827586207,0.8367262797172842,0.9967672413793103,0.8527303758834869
dev,v29,CHANNEL,mp3_64k,67,67.0,58.0,59.0,0.18219461697722567,0.27586206896551724,0.16954022988505746,0.9942528735632183,0.9957627118644068,0.8028682087527665,0.9950077927138126,0.8220821671488712
dev,v29,CHANNEL,noisy_flac,66,66.0,58.0,58.0,0.1952380952380952,0.31034482758620685,0.17261904761904762,0.9913793103448276,0.9935344827586207,0.7885262725779968,0.9924568965517242,0.8089193349753696
dev,v29,CHANNEL,ogg_48k,67,67.0,59.0,58.0,0.19306418219461696,0.271264367816092,0.1380952380952381,0.9978813559322034,1.0,0.8077864639109017,0.9989406779661016,0.8269018853164217
dev,v29,CHANNEL,stereo_wav,67,67.0,59.0,58.0,0.2808080808080808,0.271264367816092,0.1380952380952381,1.0,0.9942528735632185,0.7639145146041698,0.9971264367816093,0.7872357068219138
dev,v29,CHANNEL,telephone_flac,67,67.0,58.0,59.0,0.298936170212766,0.27586206896551724,0.22004608294930877,0.9885057471264367,0.9639830508474576,0.7293456762157209,0.9762443989869471,0.7540355484928436
dev,v29,VOICE_FAKE_EER_GIVEN_MUSIC_FAKE,0,200,,,,,0.24,,,,,,
dev,v29,VOICE_FAKE_EER_GIVEN_MUSIC_FAKE,1,150,,,,,0.3466666666666667,,,,,,
dev,v29,MUSIC_FAKE_EER_GIVEN_VOICE_FAKE,0,200,,,,,,0.18999999999999997,,,,,
dev,v29,MUSIC_FAKE_EER_GIVEN_VOICE_FAKE,1,150,,,,,,0.16000000000000003,,,,,
dev,joint_moe,ALL,ALL,400,400.0,350.0,350.0,0.20763636363636362,0.26857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7876103896103896,0.9947428571428572,0.8083236363636365
dev,joint_moe,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.24,0.29333333333333333,0.18666666666666665,,,0.7653333333333333,,
dev,joint_moe,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.16000000000000003,,0.16000000000000003,,,,,
dev,joint_moe,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,joint_moe,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.31333333333333335,0.4,0.24,,,0.6913333333333334,,
dev,joint_moe,MIX_MODE,music_only,50,50.0,0.0,50.0,0.16000000000000003,,0.16000000000000003,,,,,
dev,joint_moe,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.2733333333333334,0.30000000000000004,0.19999999999999998,,,0.7433333333333333,,
dev,joint_moe,MIX_MODE,sequential,100,100.0,100.0,100.0,0.15333333333333332,0.19999999999999998,0.07999999999999999,,,0.8593333333333334,,
dev,joint_moe,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,joint_moe,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.09347826086956525,0.13793103448275865,0.17261904761904762,1.0,0.9935344827586207,0.8738889483829514,0.9967672413793103,0.8861767776825873
dev,joint_moe,CHANNEL,mp3_64k,67,67.0,58.0,59.0,0.13664596273291926,0.31034482758620685,0.16954022988505746,0.9942528735632183,0.9957627118644068,0.8187459841507818,0.9950077927138126,0.8363721650070849
dev,joint_moe,CHANNEL,noisy_flac,66,66.0,58.0,58.0,0.1952380952380952,0.27586206896551724,0.17261904761904762,0.9913793103448276,0.9935344827586207,0.7954228243021346,0.9924568965517242,0.8151262315270936
dev,joint_moe,CHANNEL,ogg_48k,67,67.0,59.0,58.0,0.19306418219461696,0.271264367816092,0.1380952380952381,0.9978813559322034,1.0,0.8077864639109017,0.9989406779661016,0.8269018853164217
dev,joint_moe,CHANNEL,stereo_wav,67,67.0,59.0,58.0,0.2696969696969697,0.3729885057471264,0.1380952380952381,1.0,0.9942528735632185,0.7491252425735184,0.9971264367816093,0.7739253619943275
