DATASET,GENERATOR,REAL_N,FAKE_N,ANCHOR_VOICE_EER,FROZEN_VOICE_EER
mixfake_music_dev_v1,ASVspoof2019-LA,800,800,0.10250000000000001,0.09125000000000003
external_mixed_v1,echofake_direct_fake,200,101,0.20896039603960392,0.15920792079207924
external_mixed_v1,echofake_replay_fake,200,99,0.37436868686868685,0.27386363636363636
external_mixed_v1_telephone_v1,echofake_direct_fake,200,101,0.22886138613861384,0.15920792079207924
external_mixed_v1_telephone_v1,echofake_replay_fake,200,99,0.38191919191919194,0.2914646464646464
source_disjoint_mixed_v1,fake_other,100,100,0.15000000000000002,0.13
source_disjoint_mixed_v1_telephone_v1,fake_other,100,100,0.14,0.13
source_disjoint_mixed_equal_v1,fake_other,100,100,0.08999999999999998,0.07999999999999999
telephone_mixed_dev_v1,echofake_direct_fake,300,101,0.257046204620462,0.18739273927392736
telephone_mixed_dev_v1,echofake_replay_fake,300,99,0.3936363636363636,0.30318181818181816
telephone_mixed_dev_v1,fake_other,300,100,0.09999999999999999,0.07999999999999999
factorial_eval_1200_v2:truth_dev.csv,cosyvoice3_0.5b,175,43,0.23627906976744184,0.27953488372093027
factorial_eval_1200_v2:truth_dev.csv,f5tts_v1_base,175,42,0.21571428571428572,0.21571428571428572
factorial_eval_1200_v2:truth_dev.csv,qwen3tts_custom_0.6b,175,47,0.33592705167173253,0.31957446808510637
factorial_eval_1200_v2:truth_dev.csv,qwen3tts_finetuned_1.7b,175,43,0.3976744186046512,0.3717607973421927
multigen_voice_v2:truth_dev.csv,cosyvoice3_0.5b,30,15,0.0,0.0
multigen_voice_v2:truth_dev.csv,f5tts_v1_base,30,15,0.0,0.0
multigen_voice_v2:truth_dev.csv,qwen3tts_custom_0.6b,30,15,0.0,0.0
multigen_voice_v2:truth_dev.csv,qwen3tts_finetuned_1.7b,30,15,0.25,0.19999999999999998
