MODEL,CHANNEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
anchor,clean,120,120,0.09999999999999999,120,0.11666666666666668,120,0.06666666666666665,,,0.9066666666666667,,False,
anchor,g711_ulaw,120,120,0.19999999999999998,120,0.09999999999999999,120,0.2333333333333333,,,0.81,,False,
anchor,g722_wb,120,120,0.16666666666666663,120,0.09999999999999999,120,0.09999999999999999,,,0.8666666666666667,,False,
anchor,opus_nb_8k,120,120,0.33333333333333337,120,0.35,120,0.3666666666666667,,,0.6533333333333333,,False,
anchor,transcode_g711_opus,120,120,0.30000000000000004,120,0.31666666666666665,120,0.3833333333333333,,,0.6716666666666666,,False,
voice_mil_v53,clean,120,120,0.09999999999999999,120,0.09999999999999999,120,0.06666666666666665,,,0.9099999999999999,,False,
voice_mil_v53,g711_ulaw,120,120,0.19999999999999998,120,0.11666666666666668,120,0.2333333333333333,,,0.8066666666666666,,False,
voice_mil_v53,g722_wb,120,120,0.16666666666666663,120,0.08333333333333334,120,0.09999999999999999,,,0.8700000000000001,,False,
voice_mil_v53,opus_nb_8k,120,120,0.33333333333333337,120,0.3666666666666667,120,0.3666666666666667,,,0.6499999999999999,,False,
voice_mil_v53,transcode_g711_opus,120,120,0.30000000000000004,120,0.35,120,0.3833333333333333,,,0.665,,False,
