MODEL,PARENT_ID,CHANNEL,TASK,LABEL,CLEAN_PROB,CHANNEL_PROB,SCORE_DELTA,SIGNED_DELTA
anchor,pmv3_0000,g711_ulaw,FILE,0,0.2099301478,0.4694510084,0.2595208606,-0.2595208606
anchor,pmv3_0001,g711_ulaw,FILE,0,0.3761178962,0.4084965511,0.03237865489999997,-0.03237865489999997
anchor,pmv3_0002,g711_ulaw,FILE,0,0.4476761536,0.7079228225,0.26024666890000003,-0.26024666890000003
anchor,pmv3_0003,g711_ulaw,FILE,0,0.5608547335,0.2959442821,-0.2649104514,0.2649104514
anchor,pmv3_0004,g711_ulaw,FILE,0,0.5718654405,0.9605712831,0.38870584259999996,-0.38870584259999996
anchor,pmv3_0005,g711_ulaw,FILE,0,0.4549487068,0.3556682178,-0.09928048899999997,0.09928048899999997
anchor,pmv3_0006,g711_ulaw,FILE,0,0.1839240667,0.278449356,0.09452528929999998,-0.09452528929999998
anchor,pmv3_0007,g711_ulaw,FILE,0,0.6461336511,0.8402106991,0.19407704800000003,-0.19407704800000003
anchor,pmv3_0008,g711_ulaw,FILE,0,0.5936927269,0.633984432,0.04029170510000002,-0.04029170510000002
anchor,pmv3_0009,g711_ulaw,FILE,0,0.3119857263,0.0953560132,-0.21662971309999998,0.21662971309999998
anchor,pmv3_0010,g711_ulaw,FILE,1,0.9057331603,0.3430908088,-0.5626423515,-0.5626423515
anchor,pmv3_0011,g711_ulaw,FILE,1,0.8725853338,0.6077742628,-0.264811071,-0.264811071
anchor,pmv3_0012,g711_ulaw,FILE,1,0.9419612905,0.9259445762,-0.016016714299999957,-0.016016714299999957
anchor,pmv3_0013,g711_ulaw,FILE,1,0.5893625714,0.4719242862,-0.11743828520000005,-0.11743828520000005
anchor,pmv3_0014,g711_ulaw,FILE,1,0.961577026,0.9371574498,-0.024419576199999904,-0.024419576199999904
anchor,pmv3_0015,g711_ulaw,FILE,1,0.9770043785,0.7989303082,-0.1780740703,-0.1780740703
anchor,pmv3_0016,g711_ulaw,FILE,1,0.8677193917,0.830314947,-0.03740444470000004,-0.03740444470000004
anchor,pmv3_0017,g711_ulaw,FILE,1,0.894714904,0.6819310987,-0.21278380529999996,-0.21278380529999996
anchor,pmv3_0018,g711_ulaw,FILE,1,0.9145977902,0.5716756488,-0.3429221414,-0.3429221414
anchor,pmv3_0019,g711_ulaw,FILE,1,0.9021902837,0.8033548693,-0.09883541439999999,-0.09883541439999999
anchor,pmv3_0020,g711_ulaw,FILE,1,0.9232905403,0.9015617792,-0.021728761099999994,-0.021728761099999994
anchor,pmv3_0021,g711_ulaw,FILE,1,0.2692962471,0.3126706858,0.04337443870000002,0.04337443870000002
