ID,FAKE_LOGIT_MEAN,FAKE_LOGIT_MAX,FAKE_LOGIT_LME5,WINDOWS
voice_0000__wav,-20.78125,-20.78125,-20.78125,3
voice_0002__wav,-20.59375,-20.15625,-20.360791006799207,3
voice_0004__wav,-19.51041603088379,-19.5,-19.509883899520116,3
voice_0005__wav,-20.98958396911621,-20.9375,-20.985710625036592,3
voice_0006__wav,-14.447916984558105,-6.15625,-6.3759724577336225,3
voice_0007__wav,-20.95833396911621,-20.9375,-20.956243809808818,3
voice_0008__wav,-19.53125,-19.15625,-19.28935648370177,3
voice_0009__wav,4.505208492279053,8.59375,8.374027542266772,3
voice_0011__wav,-20.54166603088379,-20.4375,-20.516789138539238,3
voice_0012__wav,-20.78125,-20.59375,-20.73289794980446,3
voice_0013__wav,-19.95833396911621,-19.4375,-19.644291139607503,3
voice_0014__wav,-14.583333015441895,-12.40625,-12.597437446212494,3
voice_0015__wav,-20.28125,-20.28125,-20.28125,3
voice_0016__wav,-21.09375,-21.03125,-21.0872918299983,3
voice_0017__wav,-20.76041603088379,-20.5625,-20.702693803670112,3
voice_0018__wav,-20.70833396911621,-20.28125,-20.48529930165133,3
voice_0019__wav,-19.4375,-19.125,-19.266591373482306,3
voice_0020__wav,-20.17708396911621,-19.71875,-19.924663672626007,3
voice_0021__wav,-19.8125,-19.40625,-19.60734071727811,3
voice_0022__wav,-18.59375,-17.75,-17.958048347747503,3
voice_0023__wav,-20.90625,-20.875,-20.901646553378413,3
voice_0024__wav,-20.14583396911621,-19.96875,-20.093078057923897,3
voice_0025__wav,-20.84375,-20.75,-20.824544056755784,3
voice_0026__wav,-19.36458396911621,-17.875,-18.094716676897328,3
voice_0027__wav,-20.19791603088379,-19.90625,-20.078221674311415,3
voice_0028__wav,-20.01041603088379,-18.71875,-18.93843125284639,3
voice_0029__wav,-20.57291603088379,-20.34375,-20.496363569694736,3
voice_0030__wav,-20.375,-20.125,-20.291219962312862,3
voice_0031__wav,-20.16666603088379,-19.5,-19.71704527738933,3
voice_0032__wav,-19.33333396911621,-18.875,-19.05584921640785,3
voice_0033__wav,-20.03125,-19.96875,-20.02074793083066,3
voice_0034__wav,-20.85416603088379,-20.75,-20.838543378434657,3
voice_0035__wav,-2.96875,-1.328125,-1.5472314347034497,3
voice_0036__wav,-20.875,-20.75,-20.852967687904158,3
voice_0037__wav,-20.64583396911621,-20.3125,-20.496210006356186,3
voice_0040__wav,-20.82291603088379,-20.6875,-20.79799583473072,3
voice_0041__wav,-19.59375,-19.5625,-19.59212569557298,3
voice_0042__wav,-19.47916603088379,-18.53125,-18.75059572706178,3
voice_0043__wav,-4.325520992279053,0.0,-0.2197224563499159,3
voice_0045__wav,-20.90625,-20.8125,-20.887044056755784,3
voice_0046__wav,-20.48958396911621,-19.40625,-19.625840833417563,3
voice_0047__wav,-12.768229484558105,1.6015625,1.381840042266378,3
voice_0048__wav,-20.90625,-20.875,-20.90462569557298,3
voice_0049__wav,-20.96875,-20.875,-20.949544056755784,3
voice_0050__wav,-18.19791603088379,-16.9375,-17.15697997657369,3
voice_0051__wav,-20.66666603088379,-20.5,-20.629124313122954,3
voice_0052__wav,-20.95833396911621,-20.9375,-20.956243809808818,3
voice_0053__wav,-20.38541603088379,-19.875,-20.069435047241086,3
voice_0054__wav,-20.70833396911621,-20.34375,-20.538981912307243,3
voice_0055__wav,-8.450520515441895,-2.5859375,-2.805659957733618,3
voice_0056__wav,-10.395833015441895,-7.15625,-7.375972457717995,3
voice_0058__wav,-20.27083396911621,-20.0,-20.172620802147346,3
voice_0059__wav,-19.80208396911621,-19.5,-19.663577968506313,3
voice_0060__wav,4.796875,4.796875,4.796875,3
voice_0061__wav,-20.78125,-20.78125,-20.78125,3
voice_0062__wav,-20.10416603088379,-19.9375,-20.058634312207964,3
voice_0063__wav,-20.98958396911621,-20.96875,-20.987493809808818,3
voice_0064__wav,-20.71875,-20.5625,-20.683690188296723,3
voice_0066__wav,-20.8125,-20.75,-20.795329467592644,3
voice_0067__wav,4.220052242279053,6.671875,6.452157402374455,3
voice_0068__wav,-19.72916603088379,-19.03125,-19.24852854283405,3
voice_0069__wav,-14.604166984558105,-4.3125,-4.5322224577336225,3
voice_0070__wav,-20.53125,-20.40625,-20.483909125384635,3
voice_0071__wav,-16.64583396911621,-15.53125,-15.750516731270457,3
voice_0073__wav,-17.78125,-17.78125,-17.78125,3
voice_0074__wav,-20.22916603088379,-20.03125,-20.16686531876569,3
voice_0075__wav,-19.64583396911621,-19.34375,-19.507327968506313,3
voice_0076__wav,-19.42708396911621,-19.125,-19.306060852132298,3
voice_0077__wav,-21.125,-21.0,-21.099761160931987,3
voice_0078__wav,-20.19791603088379,-20.0,-20.14476637872178,3
voice_0079__wav,-19.6875,-19.0625,-19.27619812947128,3
voice_0080__wav,-20.46875,-20.21875,-20.37044093272531,3
voice_0081__wav,-18.96875,-17.40625,-17.625968156675647,3
voice_0082__wav,-20.8125,-20.59375,-20.747769827238493,3
voice_0083__wav,-20.85416603088379,-20.8125,-20.851927656233407,3
voice_0084__wav,-20.32291603088379,-20.28125,-20.319229690871424,3
