ID,FAKE_LOGIT_MEAN,FAKE_LOGIT_MAX,FAKE_LOGIT_LME5,WINDOWS
voice_0000__wav,-7.0625,-6.8125,-6.978576679527341,3
voice_0002__wav,-7.041666507720947,-6.875,-6.998572634412376,3
voice_0004__wav,-3.3125,-1.890625,-2.0349571906265904,3
voice_0005__wav,-7.270833492279053,-6.75,-6.951879736757218,3
voice_0006__wav,-6.739583492279053,-6.203125,-6.4101802437836595,3
voice_0007__wav,-7.442708492279053,-7.09375,-7.286194730495238,3
voice_0008__wav,-7.734375,-6.953125,-7.171345552595393,3
voice_0009__wav,-2.771484375,0.544921875,0.32519947904722507,3
voice_0011__wav,-6.791666507720947,-6.765625,-6.790706623708587,3
voice_0012__wav,-7.515625,-7.15625,-7.348420104772984,3
voice_0013__wav,-6.984375,-6.484375,-6.678702577324616,3
voice_0014__wav,-5.4375,-4.5625,-4.781614789281349,3
voice_0015__wav,-4.578125,-4.578125,-4.578125,3
voice_0016__wav,-7.036458492279053,-7.0,-7.034658033386012,3
voice_0017__wav,-8.140625,-7.8125,-7.988496845382933,3
voice_0018__wav,-6.151041507720947,-5.484375,-5.637989155177754,3
voice_0019__wav,-3.14453125,-2.27734375,-2.4959000325123926,3
voice_0020__wav,-7.645833492279053,-7.59375,-7.642311483800095,3
voice_0021__wav,-5.247395992279053,-4.4765625,-4.6365118109384,3
voice_0022__wav,-6.854166507720947,-6.375,-6.519105790357818,3
voice_0023__wav,-6.239583492279053,-5.640625,-5.841781801490617,3
voice_0024__wav,-6.447916507720947,-5.65625,-5.874508063285072,3
voice_0025__wav,-7.630208492279053,-7.296875,-7.4790608135752565,3
voice_0026__wav,-6.567708492279053,-6.421875,-6.5302611241345545,3
voice_0027__wav,-4.580729007720947,-2.9140625,-3.1337779697464554,3
voice_0028__wav,-7.604166507720947,-6.609375,-6.82874902025832,3
voice_0029__wav,-5.963541507720947,-5.359375,-5.567891572179272,3
voice_0030__wav,-6.848958492279053,-6.390625,-6.597292055653783,3
voice_0031__wav,-6.40625,-4.96875,-5.188463213428104,3
voice_0032__wav,-6.421875,-5.984375,-6.180579070651771,3
