ID,FAKE_LOGIT_MEAN,FAKE_LOGIT_MAX,FAKE_LOGIT_LME5,WINDOWS
voice_0000__telephone8k,-5.515625,-5.03125,-5.233626387249442,3
voice_0002__telephone8k,-6.125,-5.84375,-5.988034145146456,3
voice_0004__telephone8k,2.3177082538604736,5.53125,5.311608454930888,3
voice_0005__telephone8k,-6.036458492279053,-5.0625,-5.2767944910309685,3
voice_0006__telephone8k,-6.34375,-5.921875,-6.124786876858591,3
voice_0007__telephone8k,-7.473958492279053,-7.296875,-7.4212030579239,3
voice_0008__telephone8k,-5.372395992279053,-3.5390625,-3.7587831024738287,3
voice_0009__telephone8k,2.0,4.8125,4.606348711065733,3
voice_0011__telephone8k,-6.5625,-6.203125,-6.336000797490641,3
voice_0012__telephone8k,-5.895833492279053,-5.328125,-5.541540881617577,3
voice_0013__telephone8k,-3.4427082538604736,-3.3203125,-3.4224742812260187,3
voice_0014__telephone8k,0.1798909455537796,1.859375,1.6396650274978435,3
voice_0015__telephone8k,2.8984375,2.8984375,2.8984375,3
voice_0016__telephone8k,-6.859375,-6.765625,-6.847409737391506,3
voice_0017__telephone8k,-7.4375,-7.046875,-7.244496450455368,3
voice_0018__telephone8k,-2.3624675273895264,0.00634765625,-0.21336277868888148,3
voice_0019__telephone8k,-2.1393229961395264,-1.51953125,-1.6310689610607425,3
voice_0020__telephone8k,-5.109375,-4.953125,-5.076181711869976,3
voice_0021__telephone8k,-4.763020992279053,-3.6015625,-3.820775959261693,3
voice_0022__telephone8k,-5.229166507720947,-4.1953125,-4.390383953395681,3
voice_0023__telephone8k,-4.041666507720947,-3.4921875,-3.6981128149510902,3
voice_0024__telephone8k,-5.9375,-5.671875,-5.835923172292331,3
voice_0025__telephone8k,-6.817708492279053,-6.625,-6.75647904717349,3
voice_0026__telephone8k,-4.8203125,-4.5078125,-4.678984826205963,3
voice_0027__telephone8k,-3.0859375,-2.75,-2.9142463879712524,3
voice_0028__telephone8k,-6.125,-5.203125,-5.422309291383304,3
voice_0029__telephone8k,-2.9140625,-2.3125,-2.494067561096873,3
voice_0030__telephone8k,-5.859375,-5.703125,-5.807621552498136,3
voice_0031__telephone8k,-4.731770992279053,-3.0859375,-3.3056496747188278,3
voice_0032__telephone8k,-2.7994792461395264,-2.5625,-2.723180008837079,3
voice_0033__telephone8k,-5.494791507720947,-4.75,-4.9679651476210385,3
voice_0034__telephone8k,-4.364583492279053,-3.7109375,-3.925552807543631,3
voice_0035__telephone8k,-4.223958492279053,-4.0078125,-4.154129159479695,3
voice_0036__telephone8k,-4.528645992279053,-3.5234375,-3.742591398389699,3
voice_0037__telephone8k,-4.809895992279053,-4.25,-4.427244783662135,3
voice_0040__telephone8k,-3.8541667461395264,-3.3046875,-3.515202235362947,3
voice_0041__telephone8k,0.33984375,3.59375,3.3740303006903707,3
voice_0042__telephone8k,-0.5558268427848816,0.4931640625,0.308642756816076,3
voice_0043__telephone8k,-4.140625,-2.390625,-2.610346598189541,3
voice_0045__telephone8k,-7.036458492279053,-6.6875,-6.865001764475622,3
voice_0046__telephone8k,-1.9939779043197632,-0.38427734375,-0.6039768405651428,3
voice_0047__telephone8k,-0.012369791977107525,2.234375,2.015184735950835,3
voice_0048__telephone8k,-5.442708492279053,-4.921875,-5.133111989934942,3
voice_0049__telephone8k,-6.359375,-5.953125,-6.133015230727862,3
voice_0050__telephone8k,1.673828125,2.390625,2.173963317811519,3
voice_0051__telephone8k,-6.40625,-6.28125,-6.384217687904158,3
voice_0052__telephone8k,-5.869791507720947,-5.671875,-5.804626283000826,3
voice_0053__telephone8k,-5.044270992279053,-4.1796875,-4.394916826799032,3
voice_0054__telephone8k,-4.994791507720947,-4.390625,-4.594308638667912,3
voice_0055__telephone8k,2.1783854961395264,4.546875,4.351803298459872,3
voice_0056__telephone8k,-5.1796875,-4.2578125,-4.477133014856296,3
voice_0058__telephone8k,-2.1985676288604736,-0.978515625,-1.1978158984355003,3
voice_0059__telephone8k,-0.5926513671875,0.3544921875,0.1489562593195938,3
voice_0060__telephone8k,3.90625,3.90625,3.90625,3
voice_0061__telephone8k,-6.546875,-6.546875,-6.546875,3
voice_0062__telephone8k,-5.65625,-4.3125,-4.532194576183592,3
voice_0063__telephone8k,-7.46875,-7.234375,-7.35636635372286,3
voice_0064__telephone8k,-5.471354007720947,-4.6484375,-4.865288457216674,3
voice_0066__telephone8k,-4.348958492279053,-3.609375,-3.827231632836683,3
voice_0067__telephone8k,-1.703125,-1.47265625,-1.6181743890228788,3
voice_0068__telephone8k,-5.755208492279053,-5.03125,-5.217971741750633,3
voice_0069__telephone8k,-3.125,-2.4296875,-2.6437761592793074,3
voice_0070__telephone8k,-5.1015625,-4.3984375,-4.616095188713766,3
voice_0071__telephone8k,5.510416507720947,6.296875,6.157584620173288,3
voice_0073__telephone8k,-4.765625,-4.765625,-4.765625,3
voice_0074__telephone8k,-6.328125,-5.796875,-6.006494124723437,3
voice_0075__telephone8k,-3.0520832538604736,-2.5859375,-2.759687101711207,3
voice_0076__telephone8k,-3.2760417461395264,-2.5625,-2.7762165072181304,3
voice_0077__telephone8k,-4.328125,-3.71875,-3.8678234634263573,3
voice_0078__telephone8k,-2.7591145038604736,-2.36328125,-2.5626412738849473,3
voice_0079__telephone8k,-4.263020992279053,-2.4609375,-2.6806591849029417,3
voice_0080__telephone8k,-6.625,-6.203125,-6.406515165443817,3
voice_0081__telephone8k,-3.8828125,-3.7734375,-3.8388355886695704,3
voice_0082__telephone8k,-4.330729007720947,-3.7734375,-3.9152165001003447,3
voice_0083__telephone8k,-4.770833492279053,-2.90625,-3.1259719602181084,3
voice_0084__telephone8k,-3.7109375,-2.609375,-2.8288992394271952,3
voice_0085__telephone8k,-4.903645992279053,-4.6015625,-4.756982094902922,3
voice_0086__telephone8k,-5.859375,-5.171875,-5.384048710607649,3
voice_0087__telephone8k,-5.322916507720947,-4.78125,-4.991610916947029,3
voice_0088__telephone8k,-5.78125,-5.0,-5.216464257660065,3
voice_0090__telephone8k,1.6632486581802368,3.640625,3.420904448286996,3
voice_0091__telephone8k,-4.890625,-4.4375,-4.590721202223275,3
voice_0092__telephone8k,-5.364583492279053,-4.171875,-4.390980337893401,3
voice_0093__telephone8k,-3.0481770038604736,-1.76953125,-1.989221508285408,3
voice_0094__telephone8k,-3.314453125,-1.193359375,-1.4130815732894138,3
voice_0095__telephone8k,-3.6302082538604736,-2.5625,-2.7819444452820377,3
voice_0096__telephone8k,-4.158854007720947,-3.6953125,-3.893627663964261,3
voice_0097__telephone8k,-4.080729007720947,-3.6328125,-3.812191209316764,3
voice_0098__telephone8k,-3.953125,-3.578125,-3.680776912919268,3
voice_0099__telephone8k,-0.98046875,3.421875,3.2021525422723274,3
voice_0100__telephone8k,9.75,10.25,10.040472864348303,3
voice_0101__telephone8k,7.234375,8.3125,8.093053104240802,3
voice_0102__telephone8k,9.322916984558105,9.375,9.335133585188622,3
voice_0104__telephone8k,9.864583015441895,10.1875,10.005027383363139,3
