ID,FAKE_LOGIT_MEAN,FAKE_LOGIT_MAX,FAKE_LOGIT_LME5,WINDOWS
voice_fake_cosyvoice3_0.5b_byungchul_target_00,10.21875,10.21875,10.21875,1
voice_fake_cosyvoice3_0.5b_byungchul_target_01,10.59375,10.59375,10.59375,1
voice_fake_cosyvoice3_0.5b_byungchul_target_02,9.5,9.5,9.5,1
voice_fake_cosyvoice3_0.5b_dohyun_target_00,11.0,11.0,11.0,1
voice_fake_cosyvoice3_0.5b_dohyun_target_01,11.03125,11.03125,11.03125,1
voice_fake_cosyvoice3_0.5b_dohyun_target_02,10.78125,10.78125,10.78125,1
voice_fake_cosyvoice3_0.5b_eunju_target_00,10.15625,10.15625,10.15625,1
voice_fake_cosyvoice3_0.5b_eunju_target_01,9.84375,9.84375,9.84375,1
voice_fake_cosyvoice3_0.5b_eunju_target_02,3.59375,3.59375,3.59375,1
voice_fake_cosyvoice3_0.5b_hajun_target_00,-3.1484375,-3.1484375,-3.1484375,1
voice_fake_cosyvoice3_0.5b_hajun_target_01,5.328125,5.328125,5.328125,1
voice_fake_cosyvoice3_0.5b_hajun_target_02,-5.296875,-5.296875,-5.296875,1
voice_fake_cosyvoice3_0.5b_hayoon_target_00,5.640625,5.640625,5.640625,1
voice_fake_cosyvoice3_0.5b_hayoon_target_01,10.15625,10.15625,10.15625,1
voice_fake_cosyvoice3_0.5b_hayoon_target_02,9.875,9.875,9.875,1
voice_fake_cosyvoice3_0.5b_jian_target_00,9.53125,9.53125,9.53125,1
voice_fake_cosyvoice3_0.5b_jian_target_01,9.46875,9.46875,9.46875,1
voice_fake_cosyvoice3_0.5b_jian_target_02,-3.921875,-3.921875,-3.921875,1
voice_fake_cosyvoice3_0.5b_jihye_target_00,10.96875,10.96875,10.96875,1
voice_fake_cosyvoice3_0.5b_jihye_target_01,10.0625,10.0625,10.0625,1
voice_fake_cosyvoice3_0.5b_jihye_target_02,10.8125,10.8125,10.8125,1
voice_fake_cosyvoice3_0.5b_jungwoo_target_00,10.71875,10.71875,10.71875,1
voice_fake_cosyvoice3_0.5b_jungwoo_target_01,10.84375,10.84375,10.84375,1
voice_fake_cosyvoice3_0.5b_jungwoo_target_02,11.25,11.25,11.25,1
voice_fake_cosyvoice3_0.5b_junseo_target_00,9.03125,9.03125,9.03125,1
voice_fake_cosyvoice3_0.5b_junseo_target_01,-3.6015625,-3.6015625,-3.6015625,1
voice_fake_cosyvoice3_0.5b_junseo_target_02,-1.29296875,-1.29296875,-1.29296875,1
voice_fake_cosyvoice3_0.5b_mansu_target_00,10.65625,10.65625,10.65625,1
voice_fake_cosyvoice3_0.5b_mansu_target_01,9.96875,9.96875,9.96875,1
voice_fake_cosyvoice3_0.5b_mansu_target_02,10.9375,10.9375,10.9375,1
voice_fake_cosyvoice3_0.5b_minji_target_00,11.3125,11.3125,11.3125,1
voice_fake_cosyvoice3_0.5b_minji_target_01,10.4375,10.4375,10.4375,1
voice_fake_cosyvoice3_0.5b_minji_target_02,10.5625,10.5625,10.5625,1
voice_fake_cosyvoice3_0.5b_seoa_target_00,8.75,8.75,8.75,1
voice_fake_cosyvoice3_0.5b_seoa_target_01,7.96875,7.96875,7.96875,1
voice_fake_cosyvoice3_0.5b_seoa_target_02,8.453125,8.453125,8.453125,1
voice_fake_cosyvoice3_0.5b_seoyeon_target_00,10.96875,10.96875,10.96875,1
voice_fake_cosyvoice3_0.5b_seoyeon_target_01,10.78125,10.78125,10.78125,1
voice_fake_cosyvoice3_0.5b_seoyeon_target_02,10.625,10.625,10.625,1
voice_fake_cosyvoice3_0.5b_siwoo_target_00,8.265625,8.265625,8.265625,1
voice_fake_cosyvoice3_0.5b_siwoo_target_01,10.0625,10.0625,10.0625,1
voice_fake_cosyvoice3_0.5b_siwoo_target_02,9.46875,9.46875,9.46875,1
voice_fake_cosyvoice3_0.5b_sunja_target_00,10.84375,10.84375,10.84375,1
voice_fake_cosyvoice3_0.5b_sunja_target_01,10.53125,10.53125,10.53125,1
voice_fake_cosyvoice3_0.5b_sunja_target_02,10.4375,10.4375,10.4375,1
voice_fake_cosyvoice3_0.5b_youngsoon_target_00,10.59375,10.59375,10.59375,1
voice_fake_cosyvoice3_0.5b_youngsoon_target_01,10.21875,10.21875,10.21875,1
voice_fake_cosyvoice3_0.5b_youngsoon_target_02,10.21875,10.21875,10.21875,1
voice_fake_f5tts_v1_base_byungchul_target_00,10.34375,10.34375,10.34375,1
voice_fake_f5tts_v1_base_byungchul_target_01,11.0,11.0,11.0,1
voice_fake_f5tts_v1_base_byungchul_target_02,10.3125,10.3125,10.3125,1
voice_fake_f5tts_v1_base_dohyun_target_00,10.25,10.25,10.25,1
voice_fake_f5tts_v1_base_dohyun_target_01,10.375,10.375,10.375,1
