ID,FAKE_LOGIT_MEAN,FAKE_LOGIT_MAX,FAKE_LOGIT_LME5,WINDOWS
sdm_fake_0000__phonefact_g711_ulaw,1.064453125,1.064453125,1.064453125,1
sdm_fake_0000__phonefact_g726_24k,0.751953125,0.751953125,0.751953125,1
sdm_fake_0000__phonefact_opus_nb_8k,2.9921875,2.9921875,2.9921875,1
sdm_fake_0000__phonefact_resample8k,1.6875,1.6875,1.6875,1
sdm_fake_0001__phonefact_g711_ulaw,4.765625,4.765625,4.765625,1
sdm_fake_0001__phonefact_g726_24k,4.71875,4.71875,4.71875,1
sdm_fake_0001__phonefact_opus_nb_8k,4.046875,4.046875,4.046875,1
sdm_fake_0001__phonefact_resample8k,3.328125,3.328125,3.328125,1
sdm_fake_0002__phonefact_g711_ulaw,3.453125,3.453125,3.453125,1
sdm_fake_0002__phonefact_g726_24k,2.9453125,2.9453125,2.9453125,1
sdm_fake_0002__phonefact_opus_nb_8k,2.8984375,2.8984375,2.8984375,1
sdm_fake_0002__phonefact_resample8k,3.8671875,3.8671875,3.8671875,1
sdm_fake_0003__phonefact_g711_ulaw,-0.4853515625,-0.4853515625,-0.4853515625,1
sdm_fake_0003__phonefact_g726_24k,3.1640625,3.1640625,3.1640625,1
sdm_fake_0003__phonefact_opus_nb_8k,3.0546875,3.0546875,3.0546875,1
sdm_fake_0003__phonefact_resample8k,-1.72265625,-1.72265625,-1.72265625,1
sdm_fake_0004__phonefact_g711_ulaw,0.20703125,0.20703125,0.20703125,1
sdm_fake_0004__phonefact_g726_24k,-0.5517578125,-0.5517578125,-0.5517578125,1
sdm_fake_0004__phonefact_opus_nb_8k,2.01953125,2.01953125,2.01953125,1
sdm_fake_0004__phonefact_resample8k,0.0126953125,0.0126953125,0.0126953125,1
sdm_fake_0005__phonefact_g711_ulaw,1.59765625,1.59765625,1.59765625,1
sdm_fake_0005__phonefact_g726_24k,0.5048828125,0.5048828125,0.5048828125,1
sdm_fake_0005__phonefact_opus_nb_8k,1.77734375,1.77734375,1.77734375,1
sdm_fake_0005__phonefact_resample8k,6.046875,6.046875,6.046875,1
sdm_fake_0006__phonefact_g711_ulaw,1.83203125,1.83203125,1.83203125,1
sdm_fake_0006__phonefact_g726_24k,4.1796875,4.1796875,4.1796875,1
