GROUP,VALUE,N,AUC,EER,THRESHOLD,TPR,FPR
ALL,ALL,2400,0.9983944444444444,0.006666666666666689,0.5157916856121989,0.985,0.0
VARIANT,clean,300,,,0.5157916856121989,,0.0
VARIANT,double_g726_g711,300,,,0.5157916856121989,0.94,
VARIANT,fft_narrowband,300,,,0.5157916856121989,1.0,
VARIANT,g722_wb,300,,,0.5157916856121989,,0.0
VARIANT,g726_postnoise_25,300,,,0.5157916856121989,1.0,
VARIANT,lowpass_5k,300,,,0.5157916856121989,,0.0
VARIANT,opus_audio_32k,300,,,0.5157916856121989,,0.0
VARIANT,opus_nb_clipped,300,,,0.5157916856121989,1.0,
DATASET,phone_router_librispeech_final_v1,2400,0.9983944444444444,0.006666666666666689,0.5157916856121989,0.985,0.0
AUDIO_TYPE,voice,2400,0.9983944444444444,0.006666666666666689,0.5157916856121989,0.985,0.0
