GROUP,VALUE,N,AUC,EER,THRESHOLD,TPR,FPR
ALL,ALL,4109,0.9919756807622184,0.027276313983806803,0.6924798488616943,0.9444215726636476,0.008928571428571428
VARIANT,clean,587,1.0,0.0,0.6924798488616943,1.0,0.008928571428571428
VARIANT,double_g726_g711,587,,,0.6924798488616943,0.8228279386712095,
VARIANT,fft_narrowband,587,,,0.6924798488616943,1.0,
VARIANT,g726_postnoise_25,587,,,0.6924798488616943,0.979557069846678,
VARIANT,lowpass_5k,587,0.9999338624338624,0.0008928571428571428,0.6924798488616943,1.0,0.007142857142857143
VARIANT,opus_audio_32k,587,1.0,0.0,0.6924798488616943,1.0,0.010714285714285714
VARIANT,opus_nb_clipped,587,,,0.6924798488616943,0.9676320272572402,
DATASET,echoes_fma_paired_v3,1050,0.990925925925926,0.01722222222222225,0.6924798488616943,0.965,0.013333333333333334
DATASET,factorial_eval_1200_v2,1050,0.9979306694682218,0.011293769325358442,0.6924798488616943,0.9691629955947136,0.0
DATASET,multigen_voice_v2,1050,0.9820111111111112,0.0647222222222222,0.6924798488616943,0.8716666666666667,0.006666666666666667
DATASET,suno_vocals_v1,91,1.0,0.0,0.6924798488616943,0.9807692307692307,0.0
DATASET,yue_cross_component_audit_v1,868,0.993279569892473,0.018481182795698943,0.6924798488616943,0.969758064516129,0.016129032258064516
AUDIO_TYPE,mixed,1631,0.9978872349167219,0.009742106760216196,0.6924798488616943,0.9748743718592965,0.0
AUDIO_TYPE,music,1295,0.9910588339014929,0.02393861917636456,0.6924798488616943,0.9654255319148937,0.022099447513812154
AUDIO_TYPE,voice,1183,0.9821764096440551,0.05999877078687198,0.6924798488616943,0.8768328445747801,0.005988023952095809
