ID,FILE_FAKE_PROB,VOICE_FAKE_PROB,MUSIC_FAKE_PROB,VOICE_PRESENT_PROB,MUSIC_PRESENT_PROB
sdxeq_0000__phonefact_resample8k,0.066821744912426,0.0286859046782137,0.0005112330388205014,0.5323446393,0.9110135436
sdxeq_0000__phonefact_g711_ulaw,0.7198329999294778,0.0018872386302289,0.0008120056842487413,0.241244778,0.9061893821
sdxeq_0000__phonefact_g726_24k,0.16122095978385498,0.0010966184278809,0.0010788369858445038,0.1500979513,0.8862662315
sdxeq_0000__phonefact_opus_nb_8k,0.4573220133804078,0.6454612141112432,0.15905180238651587,0.3116358519,0.6087170839
sdxeq_0001__phonefact_resample8k,0.18801314683690298,0.0014969507567591,0.0004885573647832401,0.23558788,0.8659823537
sdxeq_0001__phonefact_g711_ulaw,0.8681119735230057,0.0011116496442163,0.0004472418495417001,0.242637068,0.8605758548
sdxeq_0001__phonefact_g726_24k,0.582105758001293,0.0016100421394705,0.0008129699956958733,0.2765360475,0.8852334023
sdxeq_0001__phonefact_opus_nb_8k,0.6436991134992697,0.1170490172657779,0.3058515541672744,0.5885133743,0.9230715036
sdxeq_0002__phonefact_resample8k,0.21264773545616572,0.0005205071769553,0.10860794107325303,0.8903000355,0.8782942891
sdxeq_0002__phonefact_g711_ulaw,0.8522059115627021,0.0020308133813562,0.2781009877002318,0.8634935021,0.8760774732
sdxeq_0002__phonefact_g726_24k,0.8698565636435388,0.0023430363497091,0.5716873827042591,0.88853544,0.8892965317
sdxeq_0002__phonefact_opus_nb_8k,0.9988087709181213,0.8368195464547765,0.976328192584816,0.8874368668,0.8468379378
sdxeq_0003__phonefact_resample8k,0.5310371364452607,0.0004684854146328,0.4967646912617911,0.7684936523,0.8873010278
sdxeq_0003__phonefact_g711_ulaw,0.7842570089584645,0.0016549301331424,0.581722425916202,0.7383102775,0.8356904984
sdxeq_0003__phonefact_g726_24k,0.4094729780100486,0.0054527008883649,0.3429821537074984,0.7094259262,0.8072729111
sdxeq_0003__phonefact_opus_nb_8k,0.6454634864560617,0.9902012969257196,0.5152120699374021,0.6572563052,0.6670254469
sdxeq_0004__phonefact_resample8k,0.028190553746314892,0.0063664442320395,0.0006933006805567494,0.397341162,0.867120862
sdxeq_0004__phonefact_g711_ulaw,0.3568836713014609,0.0805167438395927,0.0016913944685488483,0.2718406618,0.907489121
sdxeq_0004__phonefact_g726_24k,0.3995429825106008,0.0252437772276301,0.02561173378689463,0.3976961374,0.8888418078
sdxeq_0004__phonefact_opus_nb_8k,0.9626222113838552,0.9439801500013258,0.840196815797786,0.371573478,0.9009535313
sdxeq_0005__phonefact_resample8k,0.27291776139426527,0.0007566862975271,0.0033312343034545395,0.6807053089,0.7717582583
sdxeq_0005__phonefact_g711_ulaw,0.39888983637703973,0.0013579965399872,0.01652923185630801,0.8126754165,0.7006671429
sdxeq_0005__phonefact_g726_24k,0.3360071727758177,0.0020242573072409,0.03683292428645,0.7785265446,0.7742677927
sdxeq_0005__phonefact_opus_nb_8k,0.9995864388552321,0.9732252013289552,0.9964527699912621,0.8254731894,0.061085023
sdxeq_0006__phonefact_resample8k,0.01859743407773613,0.0049372172428609,0.005249139080527955,0.523178339,0.8801502585
sdxeq_0006__phonefact_g711_ulaw,0.23952586940044485,0.004755388504648,0.0030463022396362547,0.7033064961,0.8618717194
