SPLIT,EVAL_CELL,N,FILE_FAKE_PROB_Q10,FILE_FAKE_PROB_MEDIAN,FILE_FAKE_PROB_Q90,VOICE_FAKE_PROB_Q10,VOICE_FAKE_PROB_MEDIAN,VOICE_FAKE_PROB_Q90,MUSIC_FAKE_PROB_Q10,MUSIC_FAKE_PROB_MEDIAN,MUSIC_FAKE_PROB_Q90,VOICE_PRESENT_PROB_Q10,VOICE_PRESENT_PROB_MEDIAN,VOICE_PRESENT_PROB_Q90,MUSIC_PRESENT_PROB_Q10,MUSIC_PRESENT_PROB_MEDIAN,MUSIC_PRESENT_PROB_Q90
all,concurrent__voice_fake__music_fake,25,0.127202389424,0.5530732365900001,0.9212301716860001,0.23257943768000006,0.8629059248,0.9729336594,0.10241478685800001,0.42023092816,0.5548088086540001,0.11524048890000002,0.6105589867,0.8051890731,0.70615124702,0.8705130816,0.9175346613400001
all,concurrent__voice_fake__music_real,25,0.023486336914000004,0.29911958086,0.8379185861200001,0.04537764872000002,0.8352238756,0.95165113206,0.00829380445488,0.112142596966,0.45254548191144,0.17548624576000005,0.5744946003,0.7777349114800001,0.8115761399,0.8808624148,0.91986595394
all,concurrent__voice_real__music_fake,25,0.12200182695600001,0.47799106581,0.753980339422,0.005848565280000004,0.6172723688,0.9080655843600001,0.11519519648200001,0.37344492185,0.6868452224780001,0.27459305526000005,0.6767566204,0.8378080487199999,0.5475404620000001,0.8727535009,0.92381705046
all,concurrent__voice_real__music_real,25,0.05578658134748004,0.41085745789,0.8811661895740001,0.00141828318,0.5901034078,0.8966633699000001,0.007611745801080002,0.17183161568,0.464031672967,0.35653352144,0.7195736766,0.83924564126,0.7538479566399999,0.8713593483,0.92408472304
all,music_only__music_fake,25,0.178143925492,0.55871628211,0.7633942059140001,0.32307091102,0.8526028145,0.9845290354,0.177122573892,0.484312816754,0.7419652830220002,0.030904254699999998,0.0525495857,0.16871832010000004,0.7696993708400001,0.9012128115,0.93990952966
all,music_only__music_real,25,0.097728865822,0.28302788537,0.518488138934,0.025439406840000005,0.6577124823,0.8973244505400001,0.016233643002000003,0.23087394817,0.47432772553528,0.02356092334,0.0417702608,0.13883359132000003,0.6087991714200001,0.8405728936,0.90644373894
all,partial_overlap__voice_fake__music_fake,25,0.35183479336199996,0.7572846746,0.95988257748,0.6587764757,0.8477433063,0.96449762542,0.27225567611,0.47397661468,0.822838903262,0.52565033434,0.7364904284,0.84407161474,0.78298356534,0.8856488466,0.92685595746
all,partial_overlap__voice_fake__music_real,25,0.5134996842280001,0.8523772672600001,0.92981031676,0.67522910334,0.8841022768,0.95715354114,0.1040982806624,0.35587048443,0.5911415621580002,0.63098305468,0.7880802751,0.8288999795800001,0.7608789921,0.8712516427,0.91674979922
all,partial_overlap__voice_real__music_fake,25,0.49030401907000004,0.7716938523,0.865232393504,0.4232474745,0.6991618489,0.92776863614,0.204607212388,0.4931319713,0.8446528244960001,0.56936433314,0.7469850183,0.8590859532,0.7819234252,0.8930764198,0.9265933871200001
all,partial_overlap__voice_real__music_real,25,0.15869172976,0.60258813343,0.870513874072,0.20151952162,0.7358324367,0.9259014486200001,0.095543613778,0.32474066464,0.7367323579339999,0.46220415232,0.7738624215,0.85841037034,0.8138306141,0.8771158457,0.91268571614
all,sequential__voice_fake__music_fake,25,0.72036095272,0.91410015141,0.981671913234,0.80154534012,0.9048801124,0.97963641026,0.38602174266800005,0.65703437958,0.7606621308940001,0.74582382444,0.8102165461,0.88022345308,0.5737859129800001,0.8696696162,0.92012598516
all,sequential__voice_fake__music_real,25,0.625123453746,0.8280184652100001,0.93456940938,0.6149854020200001,0.8358580435,0.93658141572,0.33416433736,0.46629005655,0.6849742521580001,0.74451011416,0.8122286201,0.8817800879600001,0.78613692522,0.8496869206,0.91902586222
all,sequential__voice_real__music_fake,25,0.37448436621000003,0.71081478733,0.865537812922,0.30255810658,0.6413949066,0.85315537984,0.36894237119,0.5760071175400001,0.7781311690120001,0.6827286720200001,0.8271025419,0.87401112316,0.695883441,0.8802365065,0.91503160002
all,sequential__voice_real__music_real,25,0.46276659613800003,0.6542096531570001,0.815934023184,0.3269238548,0.6948747903,0.82343270126,0.24464319878600002,0.4285917554,0.668731333034,0.74611947538,0.8334299326,0.86303174498,0.80312353374,0.8819506168,0.93399968148
all,voice_only__voice_fake,25,0.858342968544,0.98450622783,0.9996433867300001,0.8513672104,0.985549448,0.9996211537,0.41778373392,0.53825395171,0.7095764858560001,0.6962343454600001,0.7941350937,0.88132447004,0.029847275080000003,0.0384371094,0.049476876100000004
all,voice_only__voice_real,25,0.00111982214,0.06186498279,0.1968683717360001,0.00022085546,0.0027497331,0.1844686529800001,0.263174357266,0.47283792601,0.8130541339780001,0.63368778226,0.8318300247,0.88481827978,0.037395280600000004,0.0499385558,0.11813236774000002
holdout,concurrent__voice_fake__music_fake,25,0.127202389424,0.5530732365900001,0.9212301716860001,0.23257943768000006,0.8629059248,0.9729336594,0.10241478685800001,0.42023092816,0.5548088086540001,0.11524048890000002,0.6105589867,0.8051890731,0.70615124702,0.8705130816,0.9175346613400001
holdout,concurrent__voice_fake__music_real,25,0.023486336914000004,0.29911958086,0.8379185861200001,0.04537764872000002,0.8352238756,0.95165113206,0.00829380445488,0.112142596966,0.45254548191144,0.17548624576000005,0.5744946003,0.7777349114800001,0.8115761399,0.8808624148,0.91986595394
holdout,concurrent__voice_real__music_fake,25,0.12200182695600001,0.47799106581,0.753980339422,0.005848565280000004,0.6172723688,0.9080655843600001,0.11519519648200001,0.37344492185,0.6868452224780001,0.27459305526000005,0.6767566204,0.8378080487199999,0.5475404620000001,0.8727535009,0.92381705046
holdout,concurrent__voice_real__music_real,25,0.05578658134748004,0.41085745789,0.8811661895740001,0.00141828318,0.5901034078,0.8966633699000001,0.007611745801080002,0.17183161568,0.464031672967,0.35653352144,0.7195736766,0.83924564126,0.7538479566399999,0.8713593483,0.92408472304
holdout,music_only__music_fake,25,0.178143925492,0.55871628211,0.7633942059140001,0.32307091102,0.8526028145,0.9845290354,0.177122573892,0.484312816754,0.7419652830220002,0.030904254699999998,0.0525495857,0.16871832010000004,0.7696993708400001,0.9012128115,0.93990952966
holdout,music_only__music_real,25,0.097728865822,0.28302788537,0.518488138934,0.025439406840000005,0.6577124823,0.8973244505400001,0.016233643002000003,0.23087394817,0.47432772553528,0.02356092334,0.0417702608,0.13883359132000003,0.6087991714200001,0.8405728936,0.90644373894
holdout,partial_overlap__voice_fake__music_fake,25,0.35183479336199996,0.7572846746,0.95988257748,0.6587764757,0.8477433063,0.96449762542,0.27225567611,0.47397661468,0.822838903262,0.52565033434,0.7364904284,0.84407161474,0.78298356534,0.8856488466,0.92685595746
holdout,partial_overlap__voice_fake__music_real,25,0.5134996842280001,0.8523772672600001,0.92981031676,0.67522910334,0.8841022768,0.95715354114,0.1040982806624,0.35587048443,0.5911415621580002,0.63098305468,0.7880802751,0.8288999795800001,0.7608789921,0.8712516427,0.91674979922
holdout,partial_overlap__voice_real__music_fake,25,0.49030401907000004,0.7716938523,0.865232393504,0.4232474745,0.6991618489,0.92776863614,0.204607212388,0.4931319713,0.8446528244960001,0.56936433314,0.7469850183,0.8590859532,0.7819234252,0.8930764198,0.9265933871200001
holdout,partial_overlap__voice_real__music_real,25,0.15869172976,0.60258813343,0.870513874072,0.20151952162,0.7358324367,0.9259014486200001,0.095543613778,0.32474066464,0.7367323579339999,0.46220415232,0.7738624215,0.85841037034,0.8138306141,0.8771158457,0.91268571614
holdout,sequential__voice_fake__music_fake,25,0.72036095272,0.91410015141,0.981671913234,0.80154534012,0.9048801124,0.97963641026,0.38602174266800005,0.65703437958,0.7606621308940001,0.74582382444,0.8102165461,0.88022345308,0.5737859129800001,0.8696696162,0.92012598516
