GROUP,VALUE,BASE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
ALL,ALL,0.0,1200,1200,800,800,0.3082857142857143,0.1825,0.4,0.956603125,0.9840593750000001,0.6893571428571428,0.9703312500000001,0.7174545535714286
ALL,ALL,0.025,1200,1200,800,800,0.3017142857142857,0.18000000000000002,0.395,0.956603125,0.9840593750000001,0.6946428571428571,0.9703312500000001,0.7222116964285715
ALL,ALL,0.05,1200,1200,800,800,0.29414285714285715,0.17500000000000002,0.38249999999999995,0.956603125,0.9840593750000001,0.7031785714285714,0.9703312500000001,0.7298938392857144
ALL,ALL,0.075,1200,1200,800,800,0.2858571428571428,0.1725,0.37749999999999995,0.956603125,0.9840593750000001,0.7093214285714285,0.9703312500000001,0.7354224107142857
ALL,ALL,0.1,1200,1200,800,800,0.2782857142857143,0.16500000000000004,0.36750000000000005,0.956603125,0.9840593750000001,0.7176071428571429,0.9703312500000001,0.7428795535714287
ALL,ALL,0.15,1200,1200,800,800,0.27,0.15249999999999997,0.355,0.956603125,0.9840593750000001,0.728,0.9703312500000001,0.7522331250000001
ALL,ALL,0.2,1200,1200,800,800,0.26585714285714285,0.15249999999999997,0.33999999999999997,0.956603125,0.9840593750000001,0.7345714285714287,0.9703312500000001,0.7581474107142858
CHANNEL,g711_ulaw,0.0,300,300,200,200,0.24685714285714283,0.08999999999999998,0.33999999999999997,0.9617,0.9845000000000002,0.7565714285714287,0.9731000000000001,0.7782242857142858
CHANNEL,g711_ulaw,0.025,300,300,200,200,0.25657142857142856,0.08999999999999998,0.32999999999999996,0.9617,0.9845000000000002,0.7547142857142857,0.9731000000000001,0.7765528571428572
CHANNEL,g711_ulaw,0.05,300,300,200,200,0.24,0.09999999999999999,0.32999999999999996,0.9617,0.9845000000000002,0.7610000000000001,0.9731000000000001,0.7822100000000002
CHANNEL,g711_ulaw,0.075,300,300,200,200,0.23314285714285715,0.08999999999999998,0.31999999999999995,0.9617,0.9845000000000002,0.7694285714285716,0.9731000000000001,0.7897957142857145
CHANNEL,g711_ulaw,0.1,300,300,200,200,0.24,0.08999999999999998,0.31999999999999995,0.9617,0.9845000000000002,0.766,0.9731000000000001,0.78671
CHANNEL,g711_ulaw,0.15,300,300,200,200,0.23314285714285715,0.08999999999999998,0.31999999999999995,0.9617,0.9845000000000002,0.7694285714285716,0.9731000000000001,0.7897957142857145
CHANNEL,g711_ulaw,0.2,300,300,200,200,0.22342857142857142,0.08999999999999998,0.30000000000000004,0.9617,0.9845000000000002,0.7802857142857142,0.9731000000000001,0.7995671428571428
CHANNEL,g726_24k,0.0,300,300,200,200,0.23028571428571426,0.08999999999999998,0.35,0.9618,0.9813000000000001,0.761857142857143,0.97155,0.7828264285714287
CHANNEL,g726_24k,0.025,300,300,200,200,0.21657142857142858,0.07999999999999999,0.31999999999999995,0.9618,0.9813000000000001,0.7797142857142858,0.97155,0.7988978571428572
CHANNEL,g726_24k,0.05,300,300,200,200,0.20685714285714285,0.07999999999999999,0.31000000000000005,0.9618,0.9813000000000001,0.7875714285714286,0.97155,0.8059692857142857
CHANNEL,g726_24k,0.075,300,300,200,200,0.19999999999999998,0.07999999999999999,0.31999999999999995,0.9618,0.9813000000000001,0.788,0.97155,0.806355
CHANNEL,g726_24k,0.1,300,300,200,200,0.19999999999999998,0.06999999999999998,0.29000000000000004,0.9618,0.9813000000000001,0.799,0.97155,0.8162550000000001
