MODEL,DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
identity,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
identity,codec_mixed_dev_v4,600,600,600,600,0.2788888888888889,0.29666666666666663,0.2733333333333333,,,0.7192222222222222,,,0.7192222222222222
identity,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
identity,external_mixed_v1,400,400,400,400,0.21166666666666667,0.31000000000000005,0.125,,,0.7946666666666666,,,0.7946666666666666
identity,external_mixed_v1_telephone_v1,400,400,400,400,0.20833333333333331,0.31999999999999995,0.125,,,0.7943333333333333,,,0.7943333333333333
identity,factorial_eval_1200_v2,400,400,350,350,0.23236363636363638,0.2857142857142857,0.2114285714285714,0.9992571428571428,1.0,0.7632467532467533,0.9996285714285714,0.7868849350649351,0.7632467532467533
identity,mixfake_music_dev_v1,1600,1600,1600,1600,0.07499999999999998,0.10250000000000001,0.07625000000000001,,,0.919125,,,0.919125
identity,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09999999999999999,,,,,,,0.923809523809524
identity,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.15000000000000002,0.16000000000000003,,,0.812,,,0.812
identity,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.2833333333333333,0.14,0.31000000000000005,,,0.7373333333333333,,,0.7373333333333333
identity,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.050000000000000024,,,,,,0.9593749999999999
v1_robust_l2,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v1_robust_l2,codec_mixed_dev_v4,600,600,600,600,0.23222222222222225,0.20999999999999996,0.2666666666666667,,,0.7618888888888888,,,0.7618888888888888
v1_robust_l2,echoes_fma_paired_v3,111,111,0,111,0.09009740259740262,,0.09009740259740262,,,,,,0.9099025974025973
v1_robust_l2,external_mixed_v1,400,400,400,400,0.15000000000000002,0.20999999999999996,0.135,,,0.8425,,,0.8425
v1_robust_l2,external_mixed_v1_telephone_v1,400,400,400,400,0.14,0.21999999999999997,0.13,,,0.8470000000000001,,,0.8470000000000001
v1_robust_l2,factorial_eval_1200_v2,400,400,350,350,0.2018181818181818,0.27428571428571424,0.2114285714285714,0.9992571428571428,1.0,0.7808051948051948,0.9996285714285714,0.8026875324675325,0.7808051948051948
v1_robust_l2,mixfake_music_dev_v1,1600,1600,1600,1600,0.062083333333333324,0.08125000000000002,0.07999999999999999,,,0.9287083333333334,,,0.9287083333333334
v1_robust_l2,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
v1_robust_l2,source_disjoint_mixed_v1,200,200,200,200,0.18333333333333332,0.15000000000000002,0.12,,,0.8423333333333334,,,0.8423333333333334
v1_robust_l2,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.23666666666666664,0.14,0.26,,,0.7756666666666667,,,0.7756666666666667
v1_robust_l2,source_disjoint_music_v1,400,400,0,400,0.08499999999999999,,0.07499999999999998,,,,,,0.9187500000000001
v1_robust_l2__voice_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v1_robust_l2__voice_only,codec_mixed_dev_v4,600,600,600,600,0.2788888888888889,0.20999999999999996,0.2733333333333333,,,0.7365555555555555,,,0.7365555555555555
v1_robust_l2__voice_only,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
v1_robust_l2__voice_only,external_mixed_v1,400,400,400,400,0.21166666666666667,0.20999999999999996,0.125,,,0.8146666666666667,,,0.8146666666666667
v1_robust_l2__voice_only,external_mixed_v1_telephone_v1,400,400,400,400,0.20833333333333331,0.21999999999999997,0.125,,,0.8143333333333334,,,0.8143333333333334
v1_robust_l2__voice_only,factorial_eval_1200_v2,400,400,350,350,0.23236363636363638,0.27428571428571424,0.2114285714285714,0.9992571428571428,1.0,0.7655324675324675,0.9996285714285714,0.7889420779220779,0.7655324675324675
v1_robust_l2__voice_only,mixfake_music_dev_v1,1600,1600,1600,1600,0.07499999999999998,0.08125000000000002,0.07625000000000001,,,0.923375,,,0.923375
v1_robust_l2__voice_only,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
v1_robust_l2__voice_only,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.15000000000000002,0.16000000000000003,,,0.812,,,0.812
v1_robust_l2__voice_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.2833333333333333,0.14,0.31000000000000005,,,0.7373333333333333,,,0.7373333333333333
v1_robust_l2__voice_only,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.050000000000000024,,,,,,0.9593749999999999
v1_robust_l2__music_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
