MODEL,AXIS,GROUP,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
identity,CELL_V57,FF,925,925,925,925,,,,,,,,,
identity,CELL_V57,FR,925,925,925,925,,,,,,,,,
identity,CELL_V57,RF,925,925,925,925,,,,,,,,,
identity,CELL_V57,RR,925,925,925,925,,,,,,,,,
identity,CELL_V57,not_mixed,877,877,316,561,0.058167556707577305,0.05682597297842307,0.07130147432638534,0.9927852614003023,0.999909745255985,0.9381605847526111,0.9963475033281437,0.9439792766101645,0.9381605847526111
identity,LAYOUT_V57,concurrent,1900,1900,1900,1900,0.12210526315789472,0.1389473684210526,0.10105263157894738,,,0.8808421052631579,,,0.8808421052631579
identity,LAYOUT_V57,music_only,50,50,0,50,0.24,,0.24,,,,,,0.7599999999999999
identity,LAYOUT_V57,partial_overlap,300,300,300,300,0.2666666666666667,0.31999999999999995,0.30000000000000004,,,0.7126666666666666,,,0.7126666666666666
identity,LAYOUT_V57,sequential,900,900,900,900,0.16888888888888887,0.19999999999999998,0.14666666666666664,,,0.8315555555555556,,,0.8315555555555556
identity,LAYOUT_V57,simultaneous,600,600,600,600,0.18777777777777777,0.2766666666666666,0.16666666666666663,,,0.8007777777777778,,,0.8007777777777778
identity,LAYOUT_V57,source_disjoint,400,400,0,400,0.03500000000000002,,0.050000000000000024,,,,,,0.9593749999999999
identity,LAYOUT_V57,source_matched_instrumental,61,61,0,61,0.027272727272727282,,0.036363636363636376,,,,,,0.9693181818181817
identity,LAYOUT_V57,speech_only,266,266,266,0,0.04138127853881281,0.04138127853881281,,,,,,,0.9586187214611873
identity,LAYOUT_V57,voice_only,50,50,50,0,0.12,0.16000000000000003,,,,,,,0.8685714285714285
identity,LAYOUT_V57,voice_screened_instrumental,50,50,0,50,,,,,,,,,
identity,CHANNEL_V57,clean,120,120,120,120,0.1333333333333333,0.19999999999999998,0.09999999999999999,,,0.8633333333333334,,,0.8633333333333334
identity,CHANNEL_V57,clean_flac,66,66,58,58,0.14021739130434785,0.2068965517241379,0.17261904761904762,1.0,1.0,0.8367262797172842,1.0,0.8530536517455558,0.8367262797172842
identity,CHANNEL_V57,common_flac16k,511,511,0,511,0.05088082107843139,,0.05088082107843139,,,,,,0.9491191789215686
