MODEL,CELL,N,FILE_ERROR,FILE_THRESHOLD,VOICE_ERROR,VOICE_THRESHOLD,MUSIC_ERROR,MUSIC_THRESHOLD,WEIGHTED_CELL_ERROR,DELTA_FILE_ERROR,DELTA_VOICE_ERROR,DELTA_MUSIC_ERROR,DELTA_WEIGHTED_CELL_ERROR
identity,FF,925,0.06702702702702702,0.6488711836,0.19243243243243244,0.7320120066,0.15567567567567567,0.392764695,0.11870270270270271,0.0,0.0,0.0,0.0
identity,FR,925,0.21405405405405406,0.6488711836,0.1891891891891892,0.7320120066,0.14270270270270272,0.392764695,0.1876756756756757,0.0,0.0,0.0,0.0
identity,RF,925,0.32432432432432434,0.6488711836,0.2118918918918919,0.7320120066,0.15675675675675677,0.392764695,0.2515675675675676,0.0,0.0,0.0,0.0
identity,RR,925,0.1989189189189189,0.6488711836,0.1772972972972973,0.7320120066,0.12756756756756757,0.392764695,0.17318918918918919,0.0,0.0,0.0,0.0
v1_strict,FF,925,0.04972972972972973,0.86458343,0.15567567567567567,0.6101522,0.16324324324324324,0.7123298,0.10497297297297296,-0.017297297297297294,-0.03675675675675677,0.0075675675675675735,-0.013729729729729745
v1_strict,FR,925,0.2118918918918919,0.86458343,0.18162162162162163,0.6101522,0.14810810810810812,0.7123298,0.18670270270270273,-0.002162162162162168,-0.0075675675675675735,0.005405405405405406,-0.0009729729729729686
v1_strict,RF,925,0.24324324324324326,0.86458343,0.1827027027027027,0.6101522,0.1589189189189189,0.7123298,0.20583783783783782,-0.08108108108108109,-0.029189189189189196,0.00216216216216214,-0.04572972972972977
v1_strict,RR,925,0.13405405405405404,0.86458343,0.15243243243243243,0.6101522,0.13513513513513514,0.7123298,0.13805405405405405,-0.06486486486486487,-0.02486486486486486,0.0075675675675675735,-0.03513513513513514
v1_strict__voice_only,FF,925,0.06702702702702702,0.6488711836,0.15567567567567567,0.6101521859389509,0.15567567567567567,0.392764695,0.11135135135135134,0.0,-0.03675675675675677,0.0,-0.007351351351351371
v1_strict__voice_only,FR,925,0.21405405405405406,0.6488711836,0.18162162162162163,0.6101521859389509,0.14270270270270272,0.392764695,0.18616216216216216,0.0,-0.0075675675675675735,0.0,-0.0015135135135135314
v1_strict__voice_only,RF,925,0.32432432432432434,0.6488711836,0.1827027027027027,0.6101521859389509,0.15675675675675677,0.392764695,0.24572972972972973,0.0,-0.029189189189189196,0.0,-0.005837837837837867
v1_strict__voice_only,RR,925,0.1989189189189189,0.6488711836,0.15243243243243243,0.6101521859389509,0.12756756756756757,0.392764695,0.1682162162162162,0.0,-0.02486486486486486,0.0,-0.004972972972972972
v1_strict__music_only,FF,925,0.06702702702702702,0.6488711836,0.19243243243243244,0.7320120066,0.16324324324324324,0.7123298370526906,0.12097297297297298,0.0,0.0,0.0075675675675675735,0.0022702702702702693
v1_strict__music_only,FR,925,0.21405405405405406,0.6488711836,0.1891891891891892,0.7320120066,0.14810810810810812,0.7123298370526906,0.18929729729729733,0.0,0.0,0.005405405405405406,0.0016216216216216328
v1_strict__music_only,RF,925,0.32432432432432434,0.6488711836,0.2118918918918919,0.7320120066,0.1589189189189189,0.7123298370526906,0.2522162162162162,0.0,0.0,0.00216216216216214,0.0006486486486486087
v1_strict__music_only,RR,925,0.1989189189189189,0.6488711836,0.1772972972972973,0.7320120066,0.13513513513513514,0.7123298370526906,0.17545945945945945,0.0,0.0,0.0075675675675675735,0.0022702702702702693
v1_strict__file_only,FF,925,0.05081081081081081,0.8267925023003045,0.19243243243243244,0.7320120066,0.15567567567567567,0.392764695,0.1105945945945946,-0.01621621621621621,0.0,0.0,-0.008108108108108109
v1_strict__file_only,FR,925,0.20216216216216215,0.8267925023003045,0.1891891891891892,0.7320120066,0.14270270270270272,0.392764695,0.18172972972972973,-0.01189189189189191,0.0,0.0,-0.0059459459459459685
v1_strict__file_only,RF,925,0.2864864864864865,0.8267925023003045,0.2118918918918919,0.7320120066,0.15675675675675677,0.392764695,0.23264864864864865,-0.03783783783783784,0.0,0.0,-0.018918918918918948
v1_strict__file_only,RR,925,0.1535135135135135,0.8267925023003045,0.1772972972972973,0.7320120066,0.12756756756756757,0.392764695,0.1504864864864865,-0.045405405405405413,0.0,0.0,-0.022702702702702693
v2_strict,FF,925,0.05297297297297297,0.825719,0.14810810810810812,0.62098527,0.1535135135135135,0.65525323,0.10216216216216216,-0.01405405405405405,-0.044324324324324316,-0.002162162162162168,-0.01654054054054055
v2_strict,FR,925,0.19567567567567568,0.825719,0.16324324324324324,0.62098527,0.1654054054054054,0.65525323,0.1801081081081081,-0.018378378378378385,-0.02594594594594596,0.022702702702702693,-0.007567567567567601
v2_strict,RF,925,0.20216216216216215,0.825719,0.17513513513513512,0.62098527,0.16108108108108107,0.65525323,0.18443243243243243,-0.12216216216216219,-0.03675675675675677,0.004324324324324308,-0.06713513513513517
