MODEL,AXIS,GROUP,N,IDENTITY_FILE_EER,CANDIDATE_FILE_EER,DELTA_FILE_EER,IDENTITY_VOICE_EER,CANDIDATE_VOICE_EER,DELTA_VOICE_EER,IDENTITY_MUSIC_EER,CANDIDATE_MUSIC_EER,DELTA_MUSIC_EER,IDENTITY_ADS,CANDIDATE_ADS,DELTA_ADS,IDENTITY_CPS,CANDIDATE_CPS,DELTA_CPS,IDENTITY_NORMALIZED_AVAILABLE_ADS,CANDIDATE_NORMALIZED_AVAILABLE_ADS,DELTA_NORMALIZED_AVAILABLE_ADS
v1_strict__full,DOMAIN,codec_mixed_dev_v4,600,0.2333333333333333,0.2333333333333333,0.0,0.20666666666666667,0.2766666666666666,0.06999999999999995,0.2733333333333333,0.2533333333333333,-0.020000000000000018,0.76,0.752,-0.008000000000000007,,,,0.76,0.752,-0.008000000000000007
v1_strict__voice_only,DOMAIN,codec_mixed_dev_v4,600,0.2333333333333333,0.2333333333333333,0.0,0.20666666666666667,0.2766666666666666,0.06999999999999995,0.2733333333333333,0.2733333333333333,0.0,0.76,0.746,-0.014000000000000012,,,,0.76,0.746,-0.014000000000000012
v1_strict__music_only,DOMAIN,codec_mixed_dev_v4,600,0.2333333333333333,0.2333333333333333,0.0,0.20666666666666667,0.20666666666666667,0.0,0.2733333333333333,0.2533333333333333,-0.020000000000000018,0.76,0.766,0.006000000000000005,,,,0.76,0.766,0.006000000000000005
v1_strict__file_only,DOMAIN,codec_mixed_dev_v4,600,0.2333333333333333,0.2333333333333333,0.0,0.20666666666666667,0.20666666666666667,0.0,0.2733333333333333,0.2733333333333333,0.0,0.76,0.76,0.0,,,,0.76,0.76,0.0
v2_strict__full,DOMAIN,codec_mixed_dev_v4,600,0.2333333333333333,0.26,0.0266666666666667,0.20666666666666667,0.22333333333333336,0.01666666666666669,0.2733333333333333,0.2766666666666666,0.0033333333333332993,0.76,0.7423333333333333,-0.01766666666666672,,,,0.76,0.7423333333333333,-0.01766666666666672
v2_strict__voice_only,DOMAIN,codec_mixed_dev_v4,600,0.2333333333333333,0.2333333333333333,0.0,0.20666666666666667,0.22333333333333336,0.01666666666666669,0.2733333333333333,0.2733333333333333,0.0,0.76,0.7566666666666666,-0.0033333333333334103,,,,0.76,0.7566666666666666,-0.0033333333333334103
v2_strict__music_only,DOMAIN,codec_mixed_dev_v4,600,0.2333333333333333,0.2333333333333333,0.0,0.20666666666666667,0.20666666666666667,0.0,0.2733333333333333,0.2766666666666666,0.0033333333333332993,0.76,0.759,-0.0010000000000000009,,,,0.76,0.759,-0.0010000000000000009
v2_strict__file_only,DOMAIN,codec_mixed_dev_v4,600,0.2333333333333333,0.2666666666666667,0.03333333333333341,0.20666666666666667,0.20666666666666667,0.0,0.2733333333333333,0.2733333333333333,0.0,0.76,0.7433333333333333,-0.01666666666666672,,,,0.76,0.7433333333333333,-0.01666666666666672
v1_strict__full,CELL,FF,150,,,,,,,,,,,,,,,,,,
v1_strict__full,CELL,FR,150,,,,,,,,,,,,,,,,,,
v1_strict__full,CELL,RF,150,,,,,,,,,,,,,,,,,,
v1_strict__full,CELL,RR,150,,,,,,,,,,,,,,,,,,
v1_strict__voice_only,CELL,FF,150,,,,,,,,,,,,,,,,,,
v1_strict__voice_only,CELL,FR,150,,,,,,,,,,,,,,,,,,
v1_strict__voice_only,CELL,RF,150,,,,,,,,,,,,,,,,,,
v1_strict__voice_only,CELL,RR,150,,,,,,,,,,,,,,,,,,
v1_strict__music_only,CELL,FF,150,,,,,,,,,,,,,,,,,,
v1_strict__music_only,CELL,FR,150,,,,,,,,,,,,,,,,,,
v1_strict__music_only,CELL,RF,150,,,,,,,,,,,,,,,,,,
v1_strict__music_only,CELL,RR,150,,,,,,,,,,,,,,,,,,
v1_strict__file_only,CELL,FF,150,,,,,,,,,,,,,,,,,,
v1_strict__file_only,CELL,FR,150,,,,,,,,,,,,,,,,,,
v1_strict__file_only,CELL,RF,150,,,,,,,,,,,,,,,,,,
v1_strict__file_only,CELL,RR,150,,,,,,,,,,,,,,,,,,
v2_strict__full,CELL,FF,150,,,,,,,,,,,,,,,,,,
v2_strict__full,CELL,FR,150,,,,,,,,,,,,,,,,,,
v2_strict__full,CELL,RF,150,,,,,,,,,,,,,,,,,,
v2_strict__full,CELL,RR,150,,,,,,,,,,,,,,,,,,
v2_strict__voice_only,CELL,FF,150,,,,,,,,,,,,,,,,,,
v2_strict__voice_only,CELL,FR,150,,,,,,,,,,,,,,,,,,
v2_strict__voice_only,CELL,RF,150,,,,,,,,,,,,,,,,,,
v2_strict__voice_only,CELL,RR,150,,,,,,,,,,,,,,,,,,
v2_strict__music_only,CELL,FF,150,,,,,,,,,,,,,,,,,,
v2_strict__music_only,CELL,FR,150,,,,,,,,,,,,,,,,,,
v2_strict__music_only,CELL,RF,150,,,,,,,,,,,,,,,,,,
v2_strict__music_only,CELL,RR,150,,,,,,,,,,,,,,,,,,
v2_strict__file_only,CELL,FF,150,,,,,,,,,,,,,,,,,,
v2_strict__file_only,CELL,FR,150,,,,,,,,,,,,,,,,,,
v2_strict__file_only,CELL,RF,150,,,,,,,,,,,,,,,,,,
v2_strict__file_only,CELL,RR,150,,,,,,,,,,,,,,,,,,
v1_strict__full,LAYOUT,concurrent,200,0.28,0.30000000000000004,0.020000000000000018,0.22999999999999998,0.30000000000000004,0.07000000000000006,0.25,0.22999999999999998,-0.020000000000000018,0.739,0.721,-0.018000000000000016,,,,0.739,0.721,-0.018000000000000016
v1_strict__full,LAYOUT,partial_overlap,200,0.25666666666666665,0.28,0.023333333333333373,0.20999999999999996,0.24,0.030000000000000027,0.36,0.31999999999999995,-0.040000000000000036,0.7216666666666667,0.716,-0.005666666666666709,,,,0.7216666666666667,0.716,-0.005666666666666709
v1_strict__full,LAYOUT,sequential,200,0.1433333333333333,0.13666666666666666,-0.006666666666666654,0.18000000000000002,0.20999999999999996,0.029999999999999943,0.20999999999999996,0.19999999999999998,-0.009999999999999981,0.8293333333333334,0.8296666666666667,0.0003333333333332966,,,,0.8293333333333334,0.8296666666666667,0.0003333333333332966
v1_strict__voice_only,LAYOUT,concurrent,200,0.28,0.28,0.0,0.22999999999999998,0.30000000000000004,0.07000000000000006,0.25,0.25,0.0,0.739,0.725,-0.014000000000000012,,,,0.739,0.725,-0.014000000000000012
v1_strict__voice_only,LAYOUT,partial_overlap,200,0.25666666666666665,0.25666666666666665,0.0,0.20999999999999996,0.24,0.030000000000000027,0.36,0.36,0.0,0.7216666666666667,0.7156666666666667,-0.006000000000000005,,,,0.7216666666666667,0.7156666666666667,-0.006000000000000005
v1_strict__voice_only,LAYOUT,sequential,200,0.1433333333333333,0.1433333333333333,0.0,0.18000000000000002,0.20999999999999996,0.029999999999999943,0.20999999999999996,0.20999999999999996,0.0,0.8293333333333334,0.8233333333333334,-0.006000000000000005,,,,0.8293333333333334,0.8233333333333334,-0.006000000000000005
v1_strict__music_only,LAYOUT,concurrent,200,0.28,0.28,0.0,0.22999999999999998,0.22999999999999998,0.0,0.25,0.22999999999999998,-0.020000000000000018,0.739,0.745,0.006000000000000005,,,,0.739,0.745,0.006000000000000005
