MODEL,AXIS,GROUP,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
v50,CELL_V57,FF,150,150,150,150,,,,,,,,,
v50,CELL_V57,FR,150,150,150,150,,,,,,,,,
v50,CELL_V57,RF,150,150,150,150,,,,,,,,,
v50,CELL_V57,RR,150,150,150,150,,,,,,,,,
v50,LAYOUT_V57,concurrent,200,200,200,200,0.28,0.22999999999999998,0.25,,,0.739,,,0.739
v50,LAYOUT_V57,partial_overlap,200,200,200,200,0.25666666666666665,0.20999999999999996,0.36,,,0.7216666666666667,,,0.7216666666666667
v50,LAYOUT_V57,sequential,200,200,200,200,0.1433333333333333,0.18000000000000002,0.20999999999999996,,,0.8293333333333334,,,0.8293333333333334
v50,CHANNEL_V57,clean,120,120,120,120,0.09999999999999999,0.11666666666666668,0.09999999999999999,,,0.8966666666666667,,,0.8966666666666667
v50,CHANNEL_V57,g711_ulaw,120,120,120,120,0.19999999999999998,0.09999999999999999,0.25,,,0.805,,,0.805
v50,CHANNEL_V57,g722_wb,120,120,120,120,0.16666666666666663,0.09999999999999999,0.09999999999999999,,,0.8666666666666667,,,0.8666666666666667
v50,CHANNEL_V57,opus_nb_8k,120,120,120,120,0.33333333333333337,0.35,0.35,,,0.6583333333333333,,,0.6583333333333333
v50,CHANNEL_V57,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.31666666666666665,0.41666666666666663,,,0.6616666666666667,,,0.6616666666666667
v50,AUDIO_TYPE,mixed,600,600,600,600,0.2333333333333333,0.20666666666666667,0.2733333333333333,,,0.76,,,0.76
v50,VOICE_GENERATOR_V57,A07,20,20,20,20,,,0.5,,,,,,0.5
v50,VOICE_GENERATOR_V57,A08,25,25,25,25,,,0.4,,,,,,0.6
v50,VOICE_GENERATOR_V57,A09,20,20,20,20,,,0.4,,,,,,0.6
v50,VOICE_GENERATOR_V57,A10,25,25,25,25,,,0.4,,,,,,0.6
v50,VOICE_GENERATOR_V57,A11,25,25,25,25,,,0.48333333333333334,,,,,,0.5166666666666666
v50,VOICE_GENERATOR_V57,A12,20,20,20,20,,,0.0,,,,,,1.0
v50,VOICE_GENERATOR_V57,A13,25,25,25,25,,,0.11666666666666665,,,,,,0.8833333333333332
v50,VOICE_GENERATOR_V57,A14,25,25,25,25,,,0.31666666666666665,,,,,,0.6833333333333333
v50,VOICE_GENERATOR_V57,A15,25,25,25,25,,,0.0,,,,,,1.0
v50,VOICE_GENERATOR_V57,A16,20,20,20,20,,,0.19999999999999998,,,,,,0.8
v50,VOICE_GENERATOR_V57,A17,20,20,20,20,,,0.4,,,,,,0.6
v50,VOICE_GENERATOR_V57,A18,25,25,25,25,,,0.19999999999999998,,,,,,0.8
v50,VOICE_GENERATOR_V57,A19,25,25,25,25,,,0.19999999999999998,,,,,,0.8
v50,VOICE_GENERATOR_V57,bonafide,300,300,300,300,0.2666666666666667,,0.2333333333333333,,,,,,0.7458333333333333
v50,MUSIC_GENERATOR_V57,FMA,300,300,300,300,0.26,0.18666666666666665,,,,,,,0.7609523809523809
v50,MUSIC_GENERATOR_V57,MusicGen_medium,60,60,60,60,,0.2333333333333333,,,,,,,0.7666666666666667
v50,MUSIC_GENERATOR_V57,audioldm2,60,60,60,60,,0.2333333333333333,,,,,,,0.7666666666666667
v50,MUSIC_GENERATOR_V57,musicldm,60,60,60,60,,0.30000000000000004,,,,,,,0.6999999999999998
v50,MUSIC_GENERATOR_V57,mustango,60,60,60,60,,0.16666666666666663,,,,,,,0.8333333333333334
v50,MUSIC_GENERATOR_V57,stable_audio_open,60,60,60,60,,0.16666666666666663,,,,,,,0.8333333333333334
v1_strict__full,CELL_V57,FF,150,150,150,150,,,,,,,,,
v1_strict__full,CELL_V57,FR,150,150,150,150,,,,,,,,,
v1_strict__full,CELL_V57,RF,150,150,150,150,,,,,,,,,
v1_strict__full,CELL_V57,RR,150,150,150,150,,,,,,,,,
v1_strict__full,LAYOUT_V57,concurrent,200,200,200,200,0.30000000000000004,0.30000000000000004,0.22999999999999998,,,0.721,,,0.721
v1_strict__full,LAYOUT_V57,partial_overlap,200,200,200,200,0.28,0.24,0.31999999999999995,,,0.716,,,0.716
v1_strict__full,LAYOUT_V57,sequential,200,200,200,200,0.13666666666666666,0.20999999999999996,0.19999999999999998,,,0.8296666666666667,,,0.8296666666666667
v1_strict__full,CHANNEL_V57,clean,120,120,120,120,0.09999999999999999,0.1333333333333333,0.11666666666666668,,,0.8883333333333332,,,0.8883333333333332
v1_strict__full,CHANNEL_V57,g711_ulaw,120,120,120,120,0.19444444444444445,0.16666666666666663,0.19999999999999998,,,0.8094444444444444,,,0.8094444444444444
v1_strict__full,CHANNEL_V57,g722_wb,120,120,120,120,0.1333333333333333,0.16666666666666663,0.08333333333333334,,,0.875,,,0.875
v1_strict__full,CHANNEL_V57,opus_nb_8k,120,120,120,120,0.3388888888888889,0.41666666666666663,0.3666666666666667,,,0.6372222222222222,,,0.6372222222222222
v1_strict__full,CHANNEL_V57,transcode_g711_opus,120,120,120,120,0.3666666666666667,0.3833333333333333,0.4,,,0.62,,,0.62
v1_strict__full,AUDIO_TYPE,mixed,600,600,600,600,0.2333333333333333,0.2766666666666666,0.2533333333333333,,,0.752,,,0.752
v1_strict__full,VOICE_GENERATOR_V57,A07,20,20,20,20,,,0.30000000000000004,,,,,,0.7
v1_strict__full,VOICE_GENERATOR_V57,A08,25,25,25,25,,,0.2833333333333333,,,,,,0.7166666666666667
v1_strict__full,VOICE_GENERATOR_V57,A09,20,20,20,20,,,0.2333333333333333,,,,,,0.7666666666666667
v1_strict__full,VOICE_GENERATOR_V57,A10,25,25,25,25,,,0.4,,,,,,0.6
v1_strict__full,VOICE_GENERATOR_V57,A11,25,25,25,25,,,0.31666666666666665,,,,,,0.6833333333333333
v1_strict__full,VOICE_GENERATOR_V57,A12,20,20,20,20,,,0.0,,,,,,1.0
v1_strict__full,VOICE_GENERATOR_V57,A13,25,25,25,25,,,0.11666666666666665,,,,,,0.8833333333333332
v1_strict__full,VOICE_GENERATOR_V57,A14,25,25,25,25,,,0.31666666666666665,,,,,,0.6833333333333333
v1_strict__full,VOICE_GENERATOR_V57,A15,25,25,25,25,,,0.0,,,,,,1.0
v1_strict__full,VOICE_GENERATOR_V57,A16,20,20,20,20,,,0.19999999999999998,,,,,,0.8
v1_strict__full,VOICE_GENERATOR_V57,A17,20,20,20,20,,,0.4,,,,,,0.6
v1_strict__full,VOICE_GENERATOR_V57,A18,25,25,25,25,,,0.19999999999999998,,,,,,0.8
v1_strict__full,VOICE_GENERATOR_V57,A19,25,25,25,25,,,0.11666666666666665,,,,,,0.8833333333333332
v1_strict__full,VOICE_GENERATOR_V57,bonafide,300,300,300,300,0.26,,0.26,,,,,,0.7399999999999999
v1_strict__full,MUSIC_GENERATOR_V57,FMA,300,300,300,300,0.26,0.2466666666666667,,,,,,,0.7438095238095238
v1_strict__full,MUSIC_GENERATOR_V57,MusicGen_medium,60,60,60,60,,0.4,,,,,,,0.6
v1_strict__full,MUSIC_GENERATOR_V57,audioldm2,60,60,60,60,,0.1333333333333333,,,,,,,0.8666666666666667
v1_strict__full,MUSIC_GENERATOR_V57,musicldm,60,60,60,60,,0.2333333333333333,,,,,,,0.7666666666666667
v1_strict__full,MUSIC_GENERATOR_V57,mustango,60,60,60,60,,0.30000000000000004,,,,,,,0.6999999999999998
v1_strict__full,MUSIC_GENERATOR_V57,stable_audio_open,60,60,60,60,,0.2666666666666667,,,,,,,0.7333333333333333
v1_strict__voice_only,CELL_V57,FF,150,150,150,150,,,,,,,,,
v1_strict__voice_only,CELL_V57,FR,150,150,150,150,,,,,,,,,
v1_strict__voice_only,CELL_V57,RF,150,150,150,150,,,,,,,,,
v1_strict__voice_only,CELL_V57,RR,150,150,150,150,,,,,,,,,
v1_strict__voice_only,LAYOUT_V57,concurrent,200,200,200,200,0.28,0.30000000000000004,0.25,,,0.725,,,0.725
v1_strict__voice_only,LAYOUT_V57,partial_overlap,200,200,200,200,0.25666666666666665,0.24,0.36,,,0.7156666666666667,,,0.7156666666666667
v1_strict__voice_only,LAYOUT_V57,sequential,200,200,200,200,0.1433333333333333,0.20999999999999996,0.20999999999999996,,,0.8233333333333334,,,0.8233333333333334
v1_strict__voice_only,CHANNEL_V57,clean,120,120,120,120,0.09999999999999999,0.1333333333333333,0.09999999999999999,,,0.8933333333333333,,,0.8933333333333333
v1_strict__voice_only,CHANNEL_V57,g711_ulaw,120,120,120,120,0.19999999999999998,0.16666666666666663,0.25,,,0.7916666666666666,,,0.7916666666666666
v1_strict__voice_only,CHANNEL_V57,g722_wb,120,120,120,120,0.16666666666666663,0.16666666666666663,0.09999999999999999,,,0.8533333333333334,,,0.8533333333333334
v1_strict__voice_only,CHANNEL_V57,opus_nb_8k,120,120,120,120,0.33333333333333337,0.41666666666666663,0.35,,,0.645,,,0.645
v1_strict__voice_only,CHANNEL_V57,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.3833333333333333,0.41666666666666663,,,0.6483333333333333,,,0.6483333333333333
v1_strict__voice_only,AUDIO_TYPE,mixed,600,600,600,600,0.2333333333333333,0.2766666666666666,0.2733333333333333,,,0.746,,,0.746
v1_strict__voice_only,VOICE_GENERATOR_V57,A07,20,20,20,20,,,0.5,,,,,,0.5
v1_strict__voice_only,VOICE_GENERATOR_V57,A08,25,25,25,25,,,0.4,,,,,,0.6
v1_strict__voice_only,VOICE_GENERATOR_V57,A09,20,20,20,20,,,0.4,,,,,,0.6
v1_strict__voice_only,VOICE_GENERATOR_V57,A10,25,25,25,25,,,0.4,,,,,,0.6
v1_strict__voice_only,VOICE_GENERATOR_V57,A11,25,25,25,25,,,0.48333333333333334,,,,,,0.5166666666666666
v1_strict__voice_only,VOICE_GENERATOR_V57,A12,20,20,20,20,,,0.0,,,,,,1.0
v1_strict__voice_only,VOICE_GENERATOR_V57,A13,25,25,25,25,,,0.11666666666666665,,,,,,0.8833333333333332
v1_strict__voice_only,VOICE_GENERATOR_V57,A14,25,25,25,25,,,0.31666666666666665,,,,,,0.6833333333333333
v1_strict__voice_only,VOICE_GENERATOR_V57,A15,25,25,25,25,,,0.0,,,,,,1.0
v1_strict__voice_only,VOICE_GENERATOR_V57,A16,20,20,20,20,,,0.19999999999999998,,,,,,0.8
v1_strict__voice_only,VOICE_GENERATOR_V57,A17,20,20,20,20,,,0.4,,,,,,0.6
v1_strict__voice_only,VOICE_GENERATOR_V57,A18,25,25,25,25,,,0.19999999999999998,,,,,,0.8
v1_strict__voice_only,VOICE_GENERATOR_V57,A19,25,25,25,25,,,0.19999999999999998,,,,,,0.8
v1_strict__voice_only,VOICE_GENERATOR_V57,bonafide,300,300,300,300,0.2666666666666667,,0.2333333333333333,,,,,,0.7458333333333333
v1_strict__voice_only,MUSIC_GENERATOR_V57,FMA,300,300,300,300,0.26,0.2466666666666667,,,,,,,0.7438095238095238
v1_strict__voice_only,MUSIC_GENERATOR_V57,MusicGen_medium,60,60,60,60,,0.4,,,,,,,0.6
v1_strict__voice_only,MUSIC_GENERATOR_V57,audioldm2,60,60,60,60,,0.1333333333333333,,,,,,,0.8666666666666667
v1_strict__voice_only,MUSIC_GENERATOR_V57,musicldm,60,60,60,60,,0.2333333333333333,,,,,,,0.7666666666666667
v1_strict__voice_only,MUSIC_GENERATOR_V57,mustango,60,60,60,60,,0.30000000000000004,,,,,,,0.6999999999999998
v1_strict__voice_only,MUSIC_GENERATOR_V57,stable_audio_open,60,60,60,60,,0.2666666666666667,,,,,,,0.7333333333333333
v1_strict__music_only,CELL_V57,FF,150,150,150,150,,,,,,,,,
v1_strict__music_only,CELL_V57,FR,150,150,150,150,,,,,,,,,
v1_strict__music_only,CELL_V57,RF,150,150,150,150,,,,,,,,,
v1_strict__music_only,CELL_V57,RR,150,150,150,150,,,,,,,,,
v1_strict__music_only,LAYOUT_V57,concurrent,200,200,200,200,0.28,0.22999999999999998,0.22999999999999998,,,0.745,,,0.745
v1_strict__music_only,LAYOUT_V57,partial_overlap,200,200,200,200,0.25666666666666665,0.20999999999999996,0.31999999999999995,,,0.7336666666666667,,,0.7336666666666667
v1_strict__music_only,LAYOUT_V57,sequential,200,200,200,200,0.1433333333333333,0.18000000000000002,0.19999999999999998,,,0.8323333333333334,,,0.8323333333333334
v1_strict__music_only,CHANNEL_V57,clean,120,120,120,120,0.09999999999999999,0.11666666666666668,0.11666666666666668,,,0.8916666666666666,,,0.8916666666666666
v1_strict__music_only,CHANNEL_V57,g711_ulaw,120,120,120,120,0.19999999999999998,0.09999999999999999,0.19999999999999998,,,0.8200000000000001,,,0.8200000000000001
v1_strict__music_only,CHANNEL_V57,g722_wb,120,120,120,120,0.16666666666666663,0.09999999999999999,0.08333333333333334,,,0.8716666666666666,,,0.8716666666666666
v1_strict__music_only,CHANNEL_V57,opus_nb_8k,120,120,120,120,0.33333333333333337,0.35,0.3666666666666667,,,0.6533333333333333,,,0.6533333333333333
