DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
mixfake_music_dev_v1,1600,1600,1600,1600,0.0675,0.08999999999999998,0.09999999999999999,,,0.91825,,,0.91825
factorial_eval_1200_v2,400,400,350,350,0.21527272727272728,0.3085714285714286,0.19428571428571428,0.9992571428571428,1.0,0.7723636363636364,0.9996285714285714,0.7950901298701298,0.7723636363636364
external_mixed_v1,400,400,400,400,0.13833333333333336,0.21499999999999997,0.09999999999999999,,,0.8578333333333333,,,0.8578333333333333
source_disjoint_mixed_v1,200,200,200,200,0.16333333333333333,0.17000000000000004,0.10999999999999999,,,0.8513333333333334,,,0.8513333333333334
source_disjoint_mixed_equal_v1,200,200,200,200,0.12,0.10999999999999999,0.09999999999999999,,,0.888,,,0.888
source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.04000000000000002,,,,,,0.9631249999999999
asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
external_mixed_v1_telephone_v1,400,400,400,400,0.14833333333333332,0.245,0.11499999999999999,,,0.8423333333333334,,,0.8423333333333334
source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.25666666666666665,0.16000000000000003,0.25,,,0.7646666666666667,,,0.7646666666666667
telephone_mixed_dev_v1,600,600,600,600,0.18666666666666665,0.2333333333333333,0.15666666666666665,,,0.8130000000000001,,,0.8130000000000001
multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
echoes_fma_paired_v3,111,111,0,111,0.14415584415584418,,0.07207792207792209,,,,,,0.8828733766233766
codec_mixed_dev_v4,600,600,600,600,0.2211111111111111,0.21666666666666667,0.2666666666666667,,,0.7661111111111112,,,0.7661111111111112
