DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
mixfake_music_dev_v1,1600,1600,1600,1600,0.08250000000000002,0.08999999999999998,0.09999999999999999,,,0.9107500000000001,,,0.9107500000000001
factorial_eval_1200_v2,400,400,350,350,0.24945454545454543,0.3085714285714286,0.19428571428571428,0.9992571428571428,1.0,0.7552727272727273,0.9996285714285714,0.7797083116883118,0.7552727272727273
external_mixed_v1,400,400,400,400,0.18000000000000002,0.21499999999999997,0.09999999999999999,,,0.837,,,0.837
source_disjoint_mixed_v1,200,200,200,200,0.20333333333333334,0.17000000000000004,0.10999999999999999,,,0.8313333333333334,,,0.8313333333333334
source_disjoint_mixed_equal_v1,200,200,200,200,0.12,0.10999999999999999,0.09999999999999999,,,0.888,,,0.888
source_disjoint_music_v1,400,400,0,400,0.06499999999999997,,0.04000000000000002,,,,,,0.9443750000000001
asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
external_mixed_v1_telephone_v1,400,400,400,400,0.17000000000000004,0.245,0.11499999999999999,,,0.8315000000000001,,,0.8315000000000001
source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.26,0.16000000000000003,0.25,,,0.763,,,0.763
telephone_mixed_dev_v1,600,600,600,600,0.21222222222222226,0.2333333333333333,0.15666666666666665,,,0.8002222222222222,,,0.8002222222222222
multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
echoes_fma_paired_v3,111,111,0,111,0.14415584415584418,,0.07207792207792209,,,,,,0.8828733766233766
codec_mixed_dev_v4,600,600,600,600,0.21999999999999997,0.21666666666666667,0.2666666666666667,,,0.7666666666666666,,,0.7666666666666666
