DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,FAKE_OVER_HALF,MUSIC_OVER_HALF
multigen_music_presence_train_v1,474,474,0,474,0.16244658119658117,,0.13290598290598288,,,,,,284,251
phone_presence_factorial_train_v1,2400,2400,2000,2000,0.3229450937464744,0.35349247768626435,0.23899559823929573,0.73187625,0.9959600000000001,0.6961302781177212,0.8639181250000001,0.7129090628059491,1449,655
mixfake_music_dev_v1,1600,1600,1600,1600,0.22999999999999998,0.28874999999999995,0.16249999999999998,,,0.7785,,,1240,932
external_mixed_v1,400,400,400,400,0.25833333333333336,0.39,0.18500000000000003,,,0.7373333333333333,,,318,240
source_disjoint_mixed_v1,200,200,200,200,0.42333333333333334,0.45999999999999996,0.30000000000000004,,,0.6063333333333333,,,179,129
source_disjoint_mixed_equal_v1,200,200,200,200,0.36,0.43000000000000005,0.29000000000000004,,,0.647,,,189,144
source_disjoint_music_v1,400,400,0,400,0.21999999999999997,,0.18999999999999997,,,,,,270,219
factorial_eval_1200_v2_dev,400,400,350,350,0.32945454545454544,0.43999999999999995,0.28,0.8024,0.9981142857142856,0.6632727272727272,0.9002571428571429,0.6869711688311688,326,247
telephone_mixed_dev_v1,600,600,600,600,0.33999999999999997,0.3866666666666667,0.2833333333333333,,,0.6676666666666666,,,547,333
factorial_eval_1200_v2_holdout,400,400,350,350,0.3618181818181818,0.41714285714285715,0.2628571428571429,0.8025142857142856,0.9920571428571427,0.6568051948051947,0.8972857142857142,0.6808532467532467,320,240
phone_factorial_1200_v1,1200,1200,800,800,0.44999999999999996,0.42500000000000004,0.3275,0.8094687500000001,0.999603125,0.59175,0.9045359375,0.62302859375,827,260
yue_cross_component_audit_v1,124,124,108,124,0.1861413043478261,0.51875,0.16129032258064513,0.7702546296296295,,0.7547922510518933,,,118,83
