DATASET,STRATEGY,NONPHONE_WEIGHT,PHONE_WEIGHT,MEAN_EXPERT_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,ADS_DELTA_VS_ANCHOR
factorial,fixed_soft_moe,0.0,0.0,0.0,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,0.0
phone,fixed_soft_moe,0.0,0.0,0.0,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.10750000000000001,0.956603125,0.9840593750000001,0.8604642857142857,0.9703312500000001,0.8714509821428572,0.0
yue,fixed_soft_moe,0.0,0.0,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,fixed_soft_moe,0.025,0.025,0.025,400,400,350,350,0.26472727272727276,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7596363636363637,0.9958571428571428,0.7832584415584416,0.0017142857142857792
phone,fixed_soft_moe,0.025,0.025,0.025,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.09999999999999999,0.956603125,0.9840593750000001,0.8627142857142858,0.9703312500000001,0.8734759821428573,0.0022500000000000853
yue,fixed_soft_moe,0.025,0.025,0.025,124,124,108,124,0.14877717391304346,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8519689399251986,,,-0.004838709677419395
factorial,fixed_soft_moe,0.05,0.05,0.05,400,400,350,350,0.26472727272727276,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7596363636363637,0.9958571428571428,0.7832584415584416,0.0017142857142857792
phone,fixed_soft_moe,0.05,0.05,0.05,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.08999999999999998,0.956603125,0.9840593750000001,0.8657142857142858,0.9703312500000001,0.8761759821428573,0.005250000000000088
yue,fixed_soft_moe,0.05,0.05,0.05,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,fixed_soft_moe,0.075,0.075,0.07499999999999998,400,400,350,350,0.26472727272727276,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7613506493506494,0.9958571428571428,0.7848012987012988,0.0034285714285715585
phone,fixed_soft_moe,0.075,0.075,0.07499999999999998,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.08750000000000001,0.956603125,0.9840593750000001,0.8664642857142857,0.9703312500000001,0.8768509821428572,0.006000000000000005
yue,fixed_soft_moe,0.075,0.075,0.07499999999999997,124,124,108,124,0.14877717391304346,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8616463592800374,,,0.004838709677419395
factorial,fixed_soft_moe,0.1,0.1,0.1,400,400,350,350,0.26472727272727276,0.22285714285714286,0.19999999999999998,0.9928,0.9989142857142856,0.7630649350649351,0.9958571428571428,0.7863441558441558,0.005142857142857227
phone,fixed_soft_moe,0.1,0.1,0.1,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.08250000000000002,0.956603125,0.9840593750000001,0.8679642857142857,0.9703312500000001,0.8782009821428572,0.007500000000000062
yue,fixed_soft_moe,0.1,0.1,0.1,124,124,108,124,0.14877717391304346,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8616463592800374,,,0.004838709677419395
factorial,fixed_soft_moe,0.15,0.15,0.14999999999999997,400,400,350,350,0.26472727272727276,0.22285714285714286,0.1885714285714286,0.9928,0.9989142857142856,0.7664935064935066,0.9958571428571428,0.7894298701298702,0.008571428571428674
phone,fixed_soft_moe,0.15,0.15,0.14999999999999997,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07250000000000001,0.956603125,0.9840593750000001,0.8709642857142857,0.9703312500000001,0.8809009821428573,0.010500000000000065
yue,fixed_soft_moe,0.15,0.15,0.14999999999999994,124,124,108,124,0.14877717391304346,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8664850689574568,,,0.00967741935483879
factorial,fixed_soft_moe,0.2,0.2,0.2,400,400,350,350,0.26472727272727276,0.22285714285714286,0.18285714285714283,0.9928,0.9989142857142856,0.7682077922077922,0.9958571428571428,0.7909727272727273,0.010285714285714342
phone,fixed_soft_moe,0.2,0.2,0.2,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07499999999999998,0.956603125,0.9840593750000001,0.8702142857142858,0.9703312500000001,0.8802259821428573,0.009750000000000147
yue,fixed_soft_moe,0.2,0.2,0.2,124,124,108,124,0.14877717391304346,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8664850689574568,,,0.00967741935483879
factorial,fixed_soft_moe,0.25,0.25,0.25,400,400,350,350,0.26472727272727276,0.22285714285714286,0.1885714285714286,0.9928,0.9989142857142856,0.7664935064935066,0.9958571428571428,0.7894298701298702,0.008571428571428674
phone,fixed_soft_moe,0.25,0.25,0.25,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07999999999999999,0.956603125,0.9840593750000001,0.8687142857142858,0.9703312500000001,0.8788759821428572,0.00825000000000009
yue,fixed_soft_moe,0.25,0.25,0.25,124,124,108,124,0.14877717391304346,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8664850689574568,,,0.00967741935483879
factorial,fixed_soft_moe,0.3,0.3,0.29999999999999993,400,400,350,350,0.26472727272727276,0.22285714285714286,0.18285714285714283,0.9928,0.9989142857142856,0.7682077922077922,0.9958571428571428,0.7909727272727273,0.010285714285714342
phone,fixed_soft_moe,0.3,0.3,0.29999999999999993,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07750000000000001,0.956603125,0.9840593750000001,0.8694642857142858,0.9703312500000001,0.8795509821428573,0.009000000000000119
yue,fixed_soft_moe,0.3,0.3,0.2999999999999999,124,124,108,124,0.14877717391304346,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8664850689574568,,,0.00967741935483879
factorial,fixed_soft_moe,0.4,0.4,0.4,400,400,350,350,0.26472727272727276,0.22285714285714286,0.18285714285714283,0.9928,0.9989142857142856,0.7682077922077922,0.9958571428571428,0.7909727272727273,0.010285714285714342
phone,fixed_soft_moe,0.4,0.4,0.4,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07999999999999999,0.956603125,0.9840593750000001,0.8687142857142858,0.9703312500000001,0.8788759821428572,0.00825000000000009
yue,fixed_soft_moe,0.4,0.4,0.4,124,124,108,124,0.14877717391304346,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8616463592800374,,,0.004838709677419395
factorial,fixed_soft_moe,0.5,0.5,0.5,400,400,350,350,0.26472727272727276,0.22285714285714286,0.1714285714285714,0.9928,0.9989142857142856,0.7716363636363637,0.9958571428571428,0.7940584415584416,0.01371428571428579
phone,fixed_soft_moe,0.5,0.5,0.5,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07999999999999999,0.956603125,0.9840593750000001,0.8687142857142858,0.9703312500000001,0.8788759821428572,0.00825000000000009
yue,fixed_soft_moe,0.5,0.5,0.5,124,124,108,124,0.14877717391304346,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8664850689574568,,,0.00967741935483879
factorial,fixed_soft_moe,1.0,1.0,1.0,400,400,350,350,0.26472727272727276,0.22285714285714286,0.16000000000000003,0.9928,0.9989142857142856,0.7750649350649351,0.9958571428571428,0.7971441558441559,0.017142857142857237
phone,fixed_soft_moe,1.0,1.0,1.0,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.09250000000000001,0.956603125,0.9840593750000001,0.8649642857142857,0.9703312500000001,0.8755009821428572,0.0045000000000000595
yue,fixed_soft_moe,1.0,1.0,1.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.09677419354838711,0.9837962962962963,,0.8761624883122954,,,0.019354838709677358
factorial,phone_soft_router,0.0,0.0,0.0,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,0.0
phone,phone_soft_router,0.0,0.0,0.0,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.10750000000000001,0.956603125,0.9840593750000001,0.8604642857142857,0.9703312500000001,0.8714509821428572,0.0
yue,phone_soft_router,0.0,0.0,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_hard_router,0.0,0.0,0.0,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,0.0
phone,phone_hard_router,0.0,0.0,0.0,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.10750000000000001,0.956603125,0.9840593750000001,0.8604642857142857,0.9703312500000001,0.8714509821428572,0.0
yue,phone_hard_router,0.0,0.0,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,mixed_hard_router,0.0,0.0,0.0,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,0.0
phone,mixed_hard_router,0.0,0.0,0.0,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.10750000000000001,0.956603125,0.9840593750000001,0.8604642857142857,0.9703312500000001,0.8714509821428572,0.0
yue,mixed_hard_router,0.0,0.0,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_soft_router,0.0,0.025,0.00426790773324732,400,400,350,350,0.26472727272727276,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7562077922077922,0.9958571428571428,0.7801727272727272,-0.0017142857142856682
phone,phone_soft_router,0.0,0.025,0.02485983322436611,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.09999999999999999,0.956603125,0.9840593750000001,0.8627142857142858,0.9703312500000001,0.8734759821428573,0.0022500000000000853
yue,phone_soft_router,0.0,0.025,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_hard_router,0.0,0.025,0.0041875,400,400,350,350,0.26472727272727276,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7562077922077922,0.9958571428571428,0.7801727272727272,-0.0017142857142856682
phone,phone_hard_router,0.0,0.025,0.025,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.09999999999999999,0.956603125,0.9840593750000001,0.8627142857142858,0.9703312500000001,0.8734759821428573,0.0022500000000000853
yue,phone_hard_router,0.0,0.025,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,mixed_hard_router,0.0,0.025,0.011749999999999998,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,0.0
phone,mixed_hard_router,0.0,0.025,0.0024375000000000004,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.10750000000000001,0.956603125,0.9840593750000001,0.8604642857142857,0.9703312500000001,0.8714509821428572,0.0
yue,mixed_hard_router,0.0,0.025,0.013508064516129029,124,124,108,124,0.14877717391304346,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8519689399251986,,,-0.004838709677419395
factorial,phone_soft_router,0.0,0.05,0.00853581546649464,400,400,350,350,0.26472727272727276,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7562077922077922,0.9958571428571428,0.7801727272727272,-0.0017142857142856682
phone,phone_soft_router,0.0,0.05,0.04971966644873222,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.08750000000000001,0.956603125,0.9840593750000001,0.8664642857142857,0.9703312500000001,0.8768509821428572,0.006000000000000005
yue,phone_soft_router,0.0,0.05,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_hard_router,0.0,0.05,0.008375,400,400,350,350,0.26472727272727276,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7562077922077922,0.9958571428571428,0.7801727272727272,-0.0017142857142856682
phone,phone_hard_router,0.0,0.05,0.05,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.08999999999999998,0.956603125,0.9840593750000001,0.8657142857142858,0.9703312500000001,0.8761759821428573,0.005250000000000088
yue,phone_hard_router,0.0,0.05,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,mixed_hard_router,0.0,0.05,0.023499999999999997,400,400,350,350,0.26472727272727276,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7596363636363637,0.9958571428571428,0.7832584415584416,0.0017142857142857792
phone,mixed_hard_router,0.0,0.05,0.004875000000000001,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.10499999999999998,0.956603125,0.9840593750000001,0.8612142857142857,0.9703312500000001,0.8721259821428572,0.0007500000000000284
yue,mixed_hard_router,0.0,0.05,0.027016129032258057,124,124,108,124,0.14877717391304346,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8519689399251986,,,-0.004838709677419395
factorial,phone_soft_router,0.0,0.075,0.012803723199741959,400,400,350,350,0.26472727272727276,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7562077922077922,0.9958571428571428,0.7801727272727272,-0.0017142857142856682
phone,phone_soft_router,0.0,0.075,0.07457949967309832,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.08750000000000001,0.956603125,0.9840593750000001,0.8664642857142857,0.9703312500000001,0.8768509821428572,0.006000000000000005
yue,phone_soft_router,0.0,0.075,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_hard_router,0.0,0.075,0.012562499999999999,400,400,350,350,0.26472727272727276,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7562077922077922,0.9958571428571428,0.7801727272727272,-0.0017142857142856682
phone,phone_hard_router,0.0,0.075,0.07499999999999998,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.08750000000000001,0.956603125,0.9840593750000001,0.8664642857142857,0.9703312500000001,0.8768509821428572,0.006000000000000005
yue,phone_hard_router,0.0,0.075,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,mixed_hard_router,0.0,0.075,0.03525,400,400,350,350,0.26472727272727276,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7613506493506494,0.9958571428571428,0.7848012987012988,0.0034285714285715585
phone,mixed_hard_router,0.0,0.075,0.0073125,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.10250000000000001,0.956603125,0.9840593750000001,0.8619642857142857,0.9703312500000001,0.8728009821428573,0.0015000000000000568
yue,mixed_hard_router,0.0,0.075,0.0405241935483871,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_soft_router,0.0,0.1,0.01707163093298928,400,400,350,350,0.26472727272727276,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7562077922077922,0.9958571428571428,0.7801727272727272,-0.0017142857142856682
phone,phone_soft_router,0.0,0.1,0.09943933289746444,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.08250000000000002,0.956603125,0.9840593750000001,0.8679642857142857,0.9703312500000001,0.8782009821428572,0.007500000000000062
yue,phone_soft_router,0.0,0.1,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_hard_router,0.0,0.1,0.01675,400,400,350,350,0.26472727272727276,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7562077922077922,0.9958571428571428,0.7801727272727272,-0.0017142857142856682
phone,phone_hard_router,0.0,0.1,0.1,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.08250000000000002,0.956603125,0.9840593750000001,0.8679642857142857,0.9703312500000001,0.8782009821428572,0.007500000000000062
yue,phone_hard_router,0.0,0.1,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,mixed_hard_router,0.0,0.1,0.04699999999999999,400,400,350,350,0.26472727272727276,0.22285714285714286,0.19999999999999998,0.9928,0.9989142857142856,0.7630649350649351,0.9958571428571428,0.7863441558441558,0.005142857142857227
phone,mixed_hard_router,0.0,0.1,0.009750000000000002,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.09999999999999999,0.956603125,0.9840593750000001,0.8627142857142858,0.9703312500000001,0.8734759821428573,0.0022500000000000853
yue,mixed_hard_router,0.0,0.1,0.054032258064516114,124,124,108,124,0.14877717391304346,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8616463592800374,,,0.004838709677419395
factorial,phone_soft_router,0.0,0.15,0.025607446399483917,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,0.0
phone,phone_soft_router,0.0,0.15,0.14915899934619664,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07250000000000001,0.956603125,0.9840593750000001,0.8709642857142857,0.9703312500000001,0.8809009821428573,0.010500000000000065
yue,phone_soft_router,0.0,0.15,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_hard_router,0.0,0.15,0.025124999999999998,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,0.0
phone,phone_hard_router,0.0,0.15,0.14999999999999997,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07250000000000001,0.956603125,0.9840593750000001,0.8709642857142857,0.9703312500000001,0.8809009821428573,0.010500000000000065
yue,phone_hard_router,0.0,0.15,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,mixed_hard_router,0.0,0.15,0.0705,400,400,350,350,0.26472727272727276,0.22285714285714286,0.19999999999999998,0.9928,0.9989142857142856,0.7630649350649351,0.9958571428571428,0.7863441558441558,0.005142857142857227
phone,mixed_hard_router,0.0,0.15,0.014625,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.09499999999999999,0.956603125,0.9840593750000001,0.8642142857142858,0.9703312500000001,0.8748259821428573,0.003750000000000142
yue,mixed_hard_router,0.0,0.15,0.0810483870967742,124,124,108,124,0.14877717391304346,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8616463592800374,,,0.004838709677419395
factorial,phone_soft_router,0.0,0.2,0.03414326186597856,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,0.0
phone,phone_soft_router,0.0,0.2,0.19887866579492888,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07499999999999998,0.956603125,0.9840593750000001,0.8702142857142858,0.9703312500000001,0.8802259821428573,0.009750000000000147
yue,phone_soft_router,0.0,0.2,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_hard_router,0.0,0.2,0.0335,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,0.0
phone,phone_hard_router,0.0,0.2,0.2,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07499999999999998,0.956603125,0.9840593750000001,0.8702142857142858,0.9703312500000001,0.8802259821428573,0.009750000000000147
yue,phone_hard_router,0.0,0.2,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,mixed_hard_router,0.0,0.2,0.09399999999999999,400,400,350,350,0.26472727272727276,0.22285714285714286,0.19428571428571428,0.9928,0.9989142857142856,0.7647792207792208,0.9958571428571428,0.787887012987013,0.006857142857142895
phone,mixed_hard_router,0.0,0.2,0.019500000000000003,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.09250000000000001,0.956603125,0.9840593750000001,0.8649642857142857,0.9703312500000001,0.8755009821428572,0.0045000000000000595
yue,mixed_hard_router,0.0,0.2,0.10806451612903223,124,124,108,124,0.14877717391304346,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8616463592800374,,,0.004838709677419395
factorial,phone_soft_router,0.0,0.25,0.0426790773324732,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,0.0
phone,phone_soft_router,0.0,0.25,0.2485983322436611,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07999999999999999,0.956603125,0.9840593750000001,0.8687142857142858,0.9703312500000001,0.8788759821428572,0.00825000000000009
yue,phone_soft_router,0.0,0.25,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_hard_router,0.0,0.25,0.041875,400,400,350,350,0.26472727272727276,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7579220779220779,0.9958571428571428,0.7817155844155844,0.0
phone,phone_hard_router,0.0,0.25,0.25,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07999999999999999,0.956603125,0.9840593750000001,0.8687142857142858,0.9703312500000001,0.8788759821428572,0.00825000000000009
yue,phone_hard_router,0.0,0.25,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,mixed_hard_router,0.0,0.25,0.1175,400,400,350,350,0.26472727272727276,0.22285714285714286,0.19428571428571428,0.9928,0.9989142857142856,0.7647792207792208,0.9958571428571428,0.787887012987013,0.006857142857142895
phone,mixed_hard_router,0.0,0.25,0.024375,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.09499999999999999,0.956603125,0.9840593750000001,0.8642142857142858,0.9703312500000001,0.8748259821428573,0.003750000000000142
yue,mixed_hard_router,0.0,0.25,0.1350806451612903,124,124,108,124,0.14877717391304346,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8616463592800374,,,0.004838709677419395
factorial,phone_soft_router,0.0,0.3,0.051214892798967834,400,400,350,350,0.26472727272727276,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7596363636363637,0.9958571428571428,0.7832584415584416,0.0017142857142857792
phone,phone_soft_router,0.0,0.3,0.2983179986923933,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07750000000000001,0.956603125,0.9840593750000001,0.8694642857142858,0.9703312500000001,0.8795509821428573,0.009000000000000119
yue,phone_soft_router,0.0,0.3,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_hard_router,0.0,0.3,0.050249999999999996,400,400,350,350,0.26472727272727276,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7596363636363637,0.9958571428571428,0.7832584415584416,0.0017142857142857792
phone,phone_hard_router,0.0,0.3,0.29999999999999993,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07750000000000001,0.956603125,0.9840593750000001,0.8694642857142858,0.9703312500000001,0.8795509821428573,0.009000000000000119
yue,phone_hard_router,0.0,0.3,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,mixed_hard_router,0.0,0.3,0.141,400,400,350,350,0.26472727272727276,0.22285714285714286,0.19428571428571428,0.9928,0.9989142857142856,0.7647792207792208,0.9958571428571428,0.787887012987013,0.006857142857142895
phone,mixed_hard_router,0.0,0.3,0.02925,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.09499999999999999,0.956603125,0.9840593750000001,0.8642142857142858,0.9703312500000001,0.8748259821428573,0.003750000000000142
yue,mixed_hard_router,0.0,0.3,0.1620967741935484,124,124,108,124,0.14877717391304346,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8616463592800374,,,0.004838709677419395
factorial,phone_soft_router,0.0,0.4,0.06828652373195712,400,400,350,350,0.26472727272727276,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7613506493506494,0.9958571428571428,0.7848012987012988,0.0034285714285715585
phone,phone_soft_router,0.0,0.4,0.39775733158985777,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07999999999999999,0.956603125,0.9840593750000001,0.8687142857142858,0.9703312500000001,0.8788759821428572,0.00825000000000009
yue,phone_soft_router,0.0,0.4,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,phone_hard_router,0.0,0.4,0.067,400,400,350,350,0.26472727272727276,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7613506493506494,0.9958571428571428,0.7848012987012988,0.0034285714285715585
phone,phone_hard_router,0.0,0.4,0.4,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07999999999999999,0.956603125,0.9840593750000001,0.8687142857142858,0.9703312500000001,0.8788759821428572,0.00825000000000009
yue,phone_hard_router,0.0,0.4,0.0,124,124,108,124,0.14877717391304346,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.856807649602618,,,0.0
factorial,mixed_hard_router,0.0,0.4,0.18799999999999997,400,400,350,350,0.26472727272727276,0.22285714285714286,0.19428571428571428,0.9928,0.9989142857142856,0.7647792207792208,0.9958571428571428,0.787887012987013,0.006857142857142895
