STRATEGY,NONPHONE_WEIGHT,PHONE_WEIGHT,MEAN_ADS,WORST_ADS,MIN_DELTA,MEAN_DELTA,MAX_MUSIC_EER,ROBUST_SELECTION
mixed_hard_router,0.3,0.5,0.8355404775312735,0.7699220779220779,0.00967741935483879,0.010475806451612982,0.17714285714285716,1.6151399748081903
mixed_hard_router,0.2,0.5,0.8352190489598449,0.7682077922077922,0.00967741935483879,0.010154377880184398,0.18285714285714283,1.613104260522476
fixed_soft_moe,0.2,0.2,0.834969048959845,0.7682077922077922,0.00967741935483879,0.009904377880184426,0.18285714285714283,1.612854260522476
phone_soft_router,0.15,0.2,0.834969048959845,0.7682077922077922,0.00967741935483879,0.009904377880184426,0.18285714285714283,1.612854260522476
phone_hard_router,0.15,0.2,0.834969048959845,0.7682077922077922,0.00967741935483879,0.009904377880184426,0.18285714285714283,1.612854260522476
phone_soft_router,0.2,0.2,0.834969048959845,0.7682077922077922,0.00967741935483879,0.009904377880184426,0.18285714285714283,1.612854260522476
phone_hard_router,0.2,0.2,0.834969048959845,0.7682077922077922,0.00967741935483879,0.009904377880184426,0.18285714285714283,1.612854260522476
mixed_hard_router,0.2,0.2,0.834969048959845,0.7682077922077922,0.00967741935483879,0.009904377880184426,0.18285714285714283,1.612854260522476
mixed_hard_router,0.25,0.5,0.834969048959845,0.7682077922077922,0.00967741935483879,0.009904377880184426,0.18285714285714283,1.612854260522476
phone_soft_router,0.5,0.2,0.834969048959845,0.7682077922077922,0.00967741935483879,0.009904377880184426,0.18285714285714283,1.612854260522476
phone_hard_router,0.5,0.2,0.834969048959845,0.7682077922077922,0.00967741935483879,0.009904377880184426,0.18285714285714283,1.612854260522476
mixed_hard_router,0.4,0.5,0.8358619061027021,0.7716363636363637,0.009000000000000119,0.010797235023041566,0.1714285714285714,1.616498269739066
fixed_soft_moe,0.3,0.3,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
mixed_hard_router,0.15,0.2,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
mixed_hard_router,0.15,0.25,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
phone_soft_router,0.15,0.3,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
phone_hard_router,0.15,0.3,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
mixed_hard_router,0.2,0.25,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
phone_soft_router,0.2,0.3,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
phone_hard_router,0.2,0.3,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
phone_soft_router,0.3,0.3,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
phone_hard_router,0.3,0.3,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
mixed_hard_router,0.3,0.3,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
phone_soft_router,0.5,0.3,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
phone_hard_router,0.5,0.3,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
confidence_soft_router,0.05,0.3,0.834719048959845,0.7682077922077922,0.009000000000000119,0.009654377880184417,0.18285714285714283,1.6119268411676373
mixed_hard_router,0.3,0.15,0.8348976203884164,0.7664935064935066,0.008571428571428674,0.009832949308755853,0.1885714285714286,1.6099625554533517
fixed_soft_moe,0.15,0.15,0.8346476203884164,0.7664935064935066,0.008571428571428674,0.009582949308755842,0.1885714285714286,1.6097125554533516
phone_soft_router,0.15,0.15,0.8346476203884164,0.7664935064935066,0.008571428571428674,0.009582949308755842,0.1885714285714286,1.6097125554533516
phone_hard_router,0.15,0.15,0.8346476203884164,0.7664935064935066,0.008571428571428674,0.009582949308755842,0.1885714285714286,1.6097125554533516
mixed_hard_router,0.15,0.15,0.8346476203884164,0.7664935064935066,0.008571428571428674,0.009582949308755842,0.1885714285714286,1.6097125554533516
phone_soft_router,0.2,0.15,0.8346476203884164,0.7664935064935066,0.008571428571428674,0.009582949308755842,0.1885714285714286,1.6097125554533516
phone_hard_router,0.2,0.15,0.8346476203884164,0.7664935064935066,0.008571428571428674,0.009582949308755842,0.1885714285714286,1.6097125554533516
mixed_hard_router,0.2,0.15,0.8346476203884164,0.7664935064935066,0.008571428571428674,0.009582949308755842,0.1885714285714286,1.6097125554533516
phone_soft_router,0.25,0.15,0.8346476203884164,0.7664935064935066,0.008571428571428674,0.009582949308755842,0.1885714285714286,1.6097125554533516
phone_hard_router,0.25,0.15,0.8346476203884164,0.7664935064935066,0.008571428571428674,0.009582949308755842,0.1885714285714286,1.6097125554533516
phone_hard_router,0.5,0.15,0.8346476203884164,0.7664935064935066,0.008571428571428674,0.009582949308755842,0.1885714285714286,1.6097125554533516
mixed_hard_router,0.2,0.4,0.8343976203884164,0.7664935064935066,0.008571428571428674,0.00933294930875587,0.1885714285714286,1.6094625554533517
