SUBSET,MEAN_ADS,WORST_ADS,MEAN_MUSIC_EER,WORST_MUSIC_EER,MUSIC_SELECTION,MEMBERS
1+2+3,0.8330959595959596,0.780909090909091,0.11864795918367346,0.19428571428571428,0.8435331632653061,3
1+2,0.8250830928330929,0.7672207792207792,0.1256547619047619,0.19999999999999998,0.8371726190476191,2
1+3,0.8267222222222222,0.772,0.12498299319727892,0.20571428571428574,0.8346513605442176,2
0+1+2,0.832061056998557,0.7653246753246753,0.12448979591836735,0.2114285714285714,0.8320408163265306,3
1,0.8093689574314574,0.757922077922078,0.13613095238095238,0.19999999999999998,0.8319345238095238,1
0+1+2+3,0.8365909391534392,0.7691428571428571,0.11939625850340137,0.22285714285714286,0.8288732993197279,4
2,0.8264504870129871,0.766077922077922,0.13157312925170067,0.21333333333333337,0.827546768707483,1
0+2+3,0.8357216510341511,0.7626493506493506,0.12439625850340137,0.22285714285714286,0.8263732993197279,3
2+3,0.8300589526214527,0.7615064935064935,0.12761054421768708,0.22285714285714286,0.824766156462585,2
0+1+3,0.8320226370851372,0.7638441558441559,0.1227125850340136,0.22857142857142854,0.8243579931972789,3
0+1,0.8235689033189034,0.7472467532467533,0.13037414965986396,0.23428571428571432,0.8176700680272109,2
0+2,0.8335614177489178,0.7504935064935065,0.12952380952380954,0.24,0.8152380952380952,2
0+3,0.8284250541125542,0.7466753246753247,0.1303231292517007,0.25142857142857145,0.8091241496598639,2
3,0.8101915584415584,0.7346493506493507,0.14403061224489797,0.2457142857142857,0.8051275510204081,1
0,0.8151189273689274,0.7253246753246754,0.14811224489795918,0.27428571428571424,0.7888010204081632,1
