CHANNEL,TASK,PARENTS,POSITIVE_PARENTS,NEGATIVE_PARENTS,PAIRS,CLEAN_EER,CHANNEL_EER,CLEAN_PAIR_ERROR,CHANNEL_PAIR_ERROR,CORRECT_TO_INCORRECT,INCORRECT_TO_CORRECT,CLEAN_TIES,CHANNEL_TIES,RANK_STATE_FLIPS,MEAN_SCORE_DELTA,MEAN_SIGNED_DELTA,MEAN_PAIR_MARGIN_DELTA
g711_ulaw,FILE,48,36,12,432,0.08333333333333334,0.3194444444444444,0.04166666666666663,0.1504629629629629,52,5,0,0,57,-0.07220936566041668,-0.03344937289791666,0.0070808264861111254
g711_ulaw,VOICE,48,24,24,576,0.125,0.16666666666666663,0.03645833333333337,0.07291666666666663,40,19,0,0,59,0.022259734841666674,-0.018645808379166667,-0.037291616758333326
g711_ulaw,MUSIC,48,24,24,576,0.125,0.16666666666666663,0.03993055555555558,0.11111111111111116,50,9,0,0,59,-0.2539212844604167,-0.07394390386041666,-0.14788780772083332
g722_wb,FILE,48,36,12,432,0.08333333333333334,0.08333333333333334,0.04166666666666663,0.06018518518518523,14,6,0,0,20,-0.005913846814583342,-0.003327917922916665,-0.000989318708333324
g722_wb,VOICE,48,24,24,576,0.125,0.125,0.03645833333333337,0.03993055555555558,15,13,0,0,28,0.007638247029166673,-0.012187037583333329,-0.024374075166666644
g722_wb,MUSIC,48,24,24,576,0.125,0.125,0.03993055555555558,0.02777777777777779,3,10,0,0,13,-0.0064839072333333315,0.013101805975,0.026203611949999997
opus_nb_8k,FILE,48,36,12,432,0.08333333333333334,0.3194444444444444,0.04166666666666663,0.21990740740740744,84,7,0,0,91,-0.034408849339583346,-0.08349865115624999,-0.17678460396388887
opus_nb_8k,VOICE,48,24,24,576,0.125,0.41666666666666663,0.03645833333333337,0.37673611111111116,201,5,0,0,206,0.11159252916041666,-0.23638075262708333,-0.4727615052541666
opus_nb_8k,MUSIC,48,24,24,576,0.125,0.33333333333333337,0.03993055555555558,0.1875,96,11,0,0,107,-0.27803799634375,-0.12037104708958331,-0.24074209417916664
transcode_g711_opus,FILE,48,36,12,432,0.08333333333333334,0.25,0.04166666666666663,0.2777777777777778,112,10,0,0,122,-0.0695450262375,-0.09438311246249997,-0.15896159824999997
transcode_g711_opus,VOICE,48,24,24,576,0.125,0.375,0.03645833333333337,0.4097222222222222,220,5,0,0,225,0.09439600302708334,-0.23261517703124998,-0.4652303540625
transcode_g711_opus,MUSIC,48,24,24,576,0.125,0.20833333333333337,0.03993055555555558,0.1684027777777778,86,12,0,0,98,-0.2887158790041667,-0.13053591297500003,-0.26107182595
