MODEL,PARENT_ID,CHANNEL,TASK,LABEL,CLEAN_PROB,CHANNEL_PROB,SCORE_DELTA,SIGNED_DELTA
v47,cmbv6_0000,g711_ulaw,FILE,0,0.3014330412,0.8134523859,0.5120193447000001,-0.5120193447000001
v47,cmbv6_0001,g711_ulaw,FILE,0,0.3511255288,0.1570665174,-0.19405901139999998,0.19405901139999998
v47,cmbv6_0002,g711_ulaw,FILE,0,0.3147985005,0.3496527952,0.034854294699999955,-0.034854294699999955
v47,cmbv6_0003,g711_ulaw,FILE,0,0.665325379,0.8508772256,0.18555184660000001,-0.18555184660000001
v47,cmbv6_0004,g711_ulaw,FILE,1,0.7899230759,0.3882493656,-0.4016737103,-0.4016737103
v47,cmbv6_0005,g711_ulaw,FILE,1,0.8309543728,0.5966991914,-0.2342551813999999,-0.2342551813999999
v47,cmbv6_0006,g711_ulaw,FILE,1,0.6145867879,0.4226651872,-0.19192160069999997,-0.19192160069999997
v47,cmbv6_0007,g711_ulaw,FILE,1,0.4636410088,0.2642444724,-0.1993965364,-0.1993965364
v47,cmbv6_0008,g711_ulaw,FILE,1,0.9180675427,0.9176460199,-0.00042152279999996267,-0.00042152279999996267
v47,cmbv6_0009,g711_ulaw,FILE,1,0.9889387568,0.985113577,-0.003825179799999967,-0.003825179799999967
v47,cmbv6_0010,g711_ulaw,FILE,1,0.928774091,0.7835445808,-0.14522951019999997,-0.14522951019999997
v47,cmbv6_0011,g711_ulaw,FILE,1,0.9308626624,0.936775842,0.005913179599999929,0.005913179599999929
v47,cmbv6_0012,g711_ulaw,FILE,1,0.9892600061,0.9629996318,-0.026260374299999945,-0.026260374299999945
v47,cmbv6_0013,g711_ulaw,FILE,1,0.9805837544,0.8665923557,-0.11399139869999997,-0.11399139869999997
v47,cmbv6_0014,g711_ulaw,FILE,1,0.9809132192,0.6770802371,-0.3038329821,-0.3038329821
v47,cmbv6_0015,g711_ulaw,FILE,1,0.9555888755,0.6099000247,-0.3456888508,-0.3456888508
v47,cmbv6_0016,g711_ulaw,FILE,0,0.9012321002,0.8292772299,-0.07195487030000003,0.07195487030000003
v47,cmbv6_0017,g711_ulaw,FILE,0,0.8362714012,0.6459020328,-0.19036936839999996,0.19036936839999996
v47,cmbv6_0018,g711_ulaw,FILE,0,0.2137167786,0.166604703,-0.0471120756,0.0471120756
v47,cmbv6_0019,g711_ulaw,FILE,0,0.9003657298,0.8808697422,-0.01949598759999993,0.01949598759999993
v47,cmbv6_0020,g711_ulaw,FILE,1,0.8299997623,0.6972195189,-0.13278024340000005,-0.13278024340000005
v47,cmbv6_0021,g711_ulaw,FILE,1,0.8608030032,0.9341466334,0.07334363020000001,0.07334363020000001
v47,cmbv6_0022,g711_ulaw,FILE,1,0.2717268865,0.3613751944,0.0896483079,0.0896483079
v47,cmbv6_0023,g711_ulaw,FILE,1,0.5837765454,0.6874143066,0.10363776120000001,0.10363776120000001
v47,cmbv6_0024,g711_ulaw,FILE,1,0.4215112459,0.5465473735,0.12503612760000005,0.12503612760000005
v47,cmbv6_0025,g711_ulaw,FILE,1,0.774086076,0.6256717514,-0.14841432460000004,-0.14841432460000004
v47,cmbv6_0026,g711_ulaw,FILE,1,0.7275034055,0.9101976242,0.18269421870000002,0.18269421870000002
v47,cmbv6_0027,g711_ulaw,FILE,1,0.9723845305,0.9593072929,-0.013077237599999902,-0.013077237599999902
v47,cmbv6_0028,g711_ulaw,FILE,1,0.9818390382,0.9442564753,-0.03758256289999995,-0.03758256289999995
v47,cmbv6_0029,g711_ulaw,FILE,1,0.960939588,0.8824929512,-0.07844663679999997,-0.07844663679999997
v47,cmbv6_0030,g711_ulaw,FILE,1,0.9149272167,0.9568196728,0.04189245610000003,0.04189245610000003
v47,cmbv6_0031,g711_ulaw,FILE,1,0.9865609831,0.976381302,-0.010179681100000004,-0.010179681100000004
v47,cmbv6_0032,g711_ulaw,FILE,0,0.8019088093,0.7631740882,-0.03873472109999998,0.03873472109999998
v47,cmbv6_0033,g711_ulaw,FILE,0,0.8165691065,0.7643754061,-0.05219370040000004,0.05219370040000004
v47,cmbv6_0034,g711_ulaw,FILE,0,0.6231123959,0.6544461722,0.031333776300000005,-0.031333776300000005
v47,cmbv6_0035,g711_ulaw,FILE,0,0.0676903517,0.3881135831,0.3204232314,-0.3204232314
v47,cmbv6_0036,g711_ulaw,FILE,1,0.9314772911,0.8234185262,-0.10805876489999999,-0.10805876489999999
v47,cmbv6_0037,g711_ulaw,FILE,1,0.8310141796,0.8060237476,-0.024990432000000062,-0.024990432000000062
v47,cmbv6_0038,g711_ulaw,FILE,1,0.8499074314,0.4984488366,-0.3514585948,-0.3514585948
v47,cmbv6_0039,g711_ulaw,FILE,1,0.8845572128,0.8283115298,-0.05624568299999999,-0.05624568299999999
