MODEL,CHANNEL,TASK,PARENTS,POSITIVE_PARENTS,NEGATIVE_PARENTS,PAIRS,CLEAN_EER,CHANNEL_EER,CLEAN_PAIR_ERROR,CHANNEL_PAIR_ERROR,CORRECT_TO_INCORRECT,INCORRECT_TO_CORRECT,CLEAN_TIES,CHANNEL_TIES,RANK_STATE_FLIPS,MEAN_SCORE_DELTA,MEAN_SIGNED_DELTA,MEAN_PAIR_MARGIN_DELTA
v47,g711_ulaw,FILE,48,36,12,432,0.25,0.33333333333333337,0.1620370370370371,0.25231481481481477,53,14,0,0,67,-0.04075254551041665,-0.060346827131249996,-0.10658814500277777
v47,g711_ulaw,VOICE,48,24,24,576,0.08333333333333334,0.08333333333333334,0.01388888888888884,0.01736111111111116,10,8,0,0,18,0.00713568442083332,-0.0097655895875,-0.019531179175000007
v47,g711_ulaw,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.08333333333333337,0.14583333333333337,48,12,0,0,60,-0.15506173405833332,-0.05693583410833334,-0.11387166821666667
v47,g722_wb,FILE,48,36,12,432,0.25,0.2638888888888889,0.1620370370370371,0.1689814814814815,16,13,0,0,29,0.016376240468749997,0.008531236610416664,0.0009149770027777651
v47,g722_wb,VOICE,48,24,24,576,0.08333333333333334,0.041666666666666644,0.01388888888888884,0.00868055555555558,2,5,0,0,7,0.03020364569374999,-0.03419561838958333,-0.06839123677916666
v47,g722_wb,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.08333333333333337,0.09375,8,2,0,0,10,-0.004405527320833335,0.0005215468583333318,0.0010430937166666624
v47,opus_nb_8k,FILE,48,36,12,432,0.25,0.33333333333333337,0.1620370370370371,0.2245370370370371,66,39,0,0,105,0.08495583155416668,-0.023655546587500003,-0.1763558996388889
v47,opus_nb_8k,VOICE,48,24,24,576,0.08333333333333334,0.25,0.01388888888888884,0.21701388888888884,122,5,0,0,127,0.17723138713124997,-0.20654983739375,-0.41309967478750004
v47,opus_nb_8k,MUSIC,48,24,24,576,0.16666666666666663,0.375,0.08333333333333337,0.31076388888888884,145,14,0,0,159,-0.11009679951666666,-0.16836856206249998,-0.33673712412500006
v47,transcode_g711_opus,FILE,48,36,12,432,0.25,0.3194444444444444,0.1620370370370371,0.2060185185185185,66,47,0,0,113,0.09492535996666666,-0.026208316862500008,-0.1964559915888889
v47,transcode_g711_opus,VOICE,48,24,24,576,0.08333333333333334,0.29166666666666663,0.01388888888888884,0.24826388888888884,140,5,0,0,145,0.18879616297916665,-0.21054749646666668,-0.42109499293333336
v47,transcode_g711_opus,MUSIC,48,24,24,576,0.16666666666666663,0.33333333333333337,0.08333333333333337,0.27951388888888884,129,16,0,0,145,-0.09991892084583333,-0.16510882565833335,-0.3302176513166667
v48,g711_ulaw,FILE,48,36,12,432,0.16666666666666663,0.16666666666666663,0.06712962962962965,0.09490740740740744,20,8,0,0,28,-0.02359193723750001,-0.03645401177916668,-0.06575478176111112
v48,g711_ulaw,VOICE,48,24,24,576,0.0,0.0,0.0,0.0,0,0,0,0,0,-0.0016365591270833355,-0.026206175893750006,-0.052412351787500006
v48,g711_ulaw,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.08333333333333337,0.14583333333333337,48,12,0,0,60,-0.15506173405833332,-0.05693583410833334,-0.11387166821666667
v48,g722_wb,FILE,48,36,12,432,0.16666666666666663,0.16666666666666663,0.06712962962962965,0.07407407407407407,9,6,0,0,15,0.02026115068333333,-0.004900427633333336,-0.04008267459999999
v48,g722_wb,VOICE,48,24,24,576,0.0,0.0,0.0,0.0,0,0,0,0,0,0.018211907316666668,-0.020197318524999994,-0.040394637049999994
v48,g722_wb,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.08333333333333337,0.09375,8,2,0,0,10,-0.004405527320833335,0.0005215468583333318,0.0010430937166666624
v48,opus_nb_8k,FILE,48,36,12,432,0.16666666666666663,0.2361111111111111,0.06712962962962965,0.1342592592592593,45,16,0,0,61,0.04089836915833333,-0.05461602032499999,-0.20017387974444442
v48,opus_nb_8k,VOICE,48,24,24,576,0.0,0.125,0.0,0.06770833333333337,39,0,0,0,39,0.13002186871875,-0.19144760359375002,-0.3828952071875
v48,opus_nb_8k,MUSIC,48,24,24,576,0.16666666666666663,0.375,0.08333333333333337,0.31076388888888884,145,14,0,0,159,-0.11009679951666666,-0.16836856206249998,-0.33673712412500006
v48,transcode_g711_opus,FILE,48,36,12,432,0.16666666666666663,0.25,0.06712962962962965,0.1435185185185185,50,17,0,0,67,0.04558530047916667,-0.058853940279166676,-0.21772424138333335
v48,transcode_g711_opus,VOICE,48,24,24,576,0.0,0.20833333333333337,0.0,0.11805555555555558,68,0,0,0,68,0.1357073312208333,-0.19890411330000002,-0.3978082266
v48,transcode_g711_opus,MUSIC,48,24,24,576,0.16666666666666663,0.33333333333333337,0.08333333333333337,0.27951388888888884,129,16,0,0,145,-0.09991892084583333,-0.16510882565833335,-0.3302176513166667
