MODEL,CHANNEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
v47,clean,72,72,0.2222222222222222,72,0.2777777777777778,72,0.13888888888888887,,,0.7916666666666667,,False,
v47,g711_ulaw,72,72,0.2777777777777778,72,0.25,72,0.3055555555555556,,,0.7194444444444443,,False,
v47,g722_wb,72,72,0.26851851851851855,72,0.25,72,0.25,,,0.7407407407407407,,False,
v47,opus_nb_8k,72,72,0.33333333333333337,72,0.4722222222222222,72,0.2777777777777778,,,0.6555555555555556,,False,
v47,transcode_g711_opus,72,72,0.2777777777777778,72,0.38888888888888884,72,0.2777777777777778,,,0.7,,False,
v48,clean,72,72,0.2222222222222222,72,0.2777777777777778,72,0.13888888888888887,,,0.7916666666666667,,False,
v48,g711_ulaw,72,72,0.28703703703703703,72,0.25,72,0.3055555555555556,,,0.7148148148148148,,False,
v48,g722_wb,72,72,0.26851851851851855,72,0.25,72,0.25,,,0.7407407407407407,,False,
v48,opus_nb_8k,72,72,0.33333333333333337,72,0.5,72,0.2777777777777778,,,0.65,,False,
v48,transcode_g711_opus,72,72,0.2777777777777778,72,0.36111111111111116,72,0.2777777777777778,,,0.7055555555555555,,False,
