variant,axis,group,rows,real_rows,fake_rows,VOICE_EER,FPR_at_fixed_half,FNR_at_fixed_half
xlsr_spear,ALL,ALL,4016,1995,2021,0.11578686944972522,0.05463659147869674,0.2102919346857991
xlsr_spear,VOICE_CONTEXT,fake_music_RF_vs_FF,1850,925,925,0.12108108108108112,0.04864864864864865,0.20540540540540542
xlsr_spear,VOICE_CONTEXT,pure_voice,316,145,171,0.17100221818915112,0.1724137931034483,0.17543859649122806
xlsr_spear,VOICE_CONTEXT,real_music_RR_vs_FR,1850,925,925,0.10918918918918918,0.04216216216216216,0.22162162162162163
xlsr_spear,COMPONENT_CASE,FF,925,0,925,,,0.20540540540540542
xlsr_spear,COMPONENT_CASE,FR,925,0,925,,,0.22162162162162163
xlsr_spear,COMPONENT_CASE,RF,925,925,0,,0.04864864864864865,
xlsr_spear,COMPONENT_CASE,RR,925,925,0,,0.04216216216216216,
xlsr_spear,COMPONENT_CASE,fake_voice_only,171,0,171,,,0.17543859649122806
xlsr_spear,COMPONENT_CASE,real_voice_only,145,145,0,,0.1724137931034483,
xlsr_spear,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.06821705426356589,0.2777777777777778,0.0
xlsr_spear,DATASET,codec_mixed_dev_v4,600,300,300,0.14000000000000007,0.016666666666666666,0.34
xlsr_spear,DATASET,external_mixed_v1,400,200,200,0.12000000000000005,0.075,0.22
xlsr_spear,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.14000000000000007,0.04,0.205
xlsr_spear,DATASET,factorial_eval_1200_v2,350,175,175,0.24571428571428572,0.02857142857142857,0.5314285714285715
xlsr_spear,DATASET,mixfake_music_dev_v1,1600,800,800,0.03750000000000003,0.00375,0.13125
xlsr_spear,DATASET,multigen_voice_v2,90,30,60,0.06666666666666665,0.0,0.35
xlsr_spear,DATASET,source_disjoint_mixed_v1,200,100,100,0.14999999999999997,0.25,0.11
xlsr_spear,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.14000000000000007,0.23,0.08
xlsr_spear,CHANNEL_V57,clean,120,60,60,0.06666666666666665,0.0,0.25
xlsr_spear,CHANNEL_V57,clean_flac,58,29,29,0.2068965517241379,0.034482758620689655,0.3448275862068966
xlsr_spear,CHANNEL_V57,flac16k,600,300,300,0.14666666666666667,0.13333333333333333,0.18333333333333332
xlsr_spear,CHANNEL_V57,g711_ulaw,120,60,60,0.1166666666666667,0.0,0.3333333333333333
xlsr_spear,CHANNEL_V57,g722_wb,120,60,60,0.08333333333333331,0.0,0.26666666666666666
xlsr_spear,CHANNEL_V57,mp3_64k,58,29,29,0.37931034482758624,0.06896551724137931,0.6551724137931034
xlsr_spear,CHANNEL_V57,noisy_flac,58,29,29,0.24137931034482762,0.0,0.4827586206896552
xlsr_spear,CHANNEL_V57,ogg_48k,59,29,30,0.23735632183908045,0.034482758620689655,0.5333333333333333
xlsr_spear,CHANNEL_V57,opus_nb_8k,120,60,60,0.21666666666666673,0.05,0.4166666666666667
xlsr_spear,CHANNEL_V57,stereo_wav,59,30,29,0.20344827586206893,0.0,0.6206896551724138
xlsr_spear,CHANNEL_V57,telephone8k,600,300,300,0.13666666666666671,0.10333333333333333,0.16333333333333333
xlsr_spear,CHANNEL_V57,telephone_flac,58,29,29,0.24137931034482762,0.034482758620689655,0.5517241379310345
xlsr_spear,CHANNEL_V57,transcode_g711_opus,120,60,60,0.23333333333333334,0.03333333333333333,0.43333333333333335
xlsr_spear,CHANNEL_V57,unknown,90,30,60,0.06666666666666665,0.0,0.35
xlsr_spear,CHANNEL_V57,wav,176,90,86,0.06821705426356589,0.2777777777777778,0.0
xlsr_spear,CHANNEL_V57,wav16k,1600,800,800,0.03750000000000003,0.00375,0.13125
xlsr_spear,LAYOUT_V57,concurrent,1900,950,950,0.06526315789473686,0.00631578947368421,0.2073684210526316
xlsr_spear,LAYOUT_V57,partial_overlap,300,150,150,0.15999999999999998,0.02666666666666667,0.38
xlsr_spear,LAYOUT_V57,sequential,900,450,450,0.1266666666666667,0.10222222222222223,0.1511111111111111
xlsr_spear,LAYOUT_V57,simultaneous,600,300,300,0.16666666666666669,0.09333333333333334,0.24333333333333335
xlsr_spear,LAYOUT_V57,speech_only,266,120,146,0.176541095890411,0.20833333333333334,0.14383561643835616
xlsr_spear,LAYOUT_V57,voice_only,50,25,25,0.040000000000000036,0.0,0.36
xlsr_wavlm_control,ALL,ALL,4016,1995,2021,0.13321787893781956,0.11528822055137844,0.14844136566056407
xlsr_wavlm_control,VOICE_CONTEXT,fake_music_RF_vs_FF,1850,925,925,0.14378378378378381,0.14810810810810812,0.13405405405405404
xlsr_wavlm_control,VOICE_CONTEXT,pure_voice,316,145,171,0.18667069973785033,0.20689655172413793,0.12280701754385964
xlsr_wavlm_control,VOICE_CONTEXT,real_music_RR_vs_FR,1850,925,925,0.12000000000000005,0.0681081081081081,0.16756756756756758
xlsr_wavlm_control,COMPONENT_CASE,FF,925,0,925,,,0.13405405405405404
xlsr_wavlm_control,COMPONENT_CASE,FR,925,0,925,,,0.16756756756756758
xlsr_wavlm_control,COMPONENT_CASE,RF,925,925,0,,0.14810810810810812,
xlsr_wavlm_control,COMPONENT_CASE,RR,925,925,0,,0.0681081081081081,
xlsr_wavlm_control,COMPONENT_CASE,fake_voice_only,171,0,171,,,0.12280701754385964
