variant,axis,group,rows,real_rows,fake_rows,VOICE_EER,FPR_at_fixed_half,FNR_at_fixed_half
control,ALL,ALL,4016,1995,2021,0.1894919138519232,0.23057644110275688,0.1504205838693716
control,VOICE_CONTEXT,fake_music_RF_vs_FF,1850,925,925,0.20972972972972975,0.29081081081081084,0.14702702702702702
control,VOICE_CONTEXT,pure_voice,316,145,171,0.221455938697318,0.2482758620689655,0.15204678362573099
control,VOICE_CONTEXT,real_music_RR_vs_FR,1850,925,925,0.1589189189189189,0.16756756756756758,0.1535135135135135
control,COMPONENT_CASE,FF,925,0,925,,,0.14702702702702702
control,COMPONENT_CASE,FR,925,0,925,,,0.1535135135135135
control,COMPONENT_CASE,RF,925,925,0,,0.29081081081081084,
control,COMPONENT_CASE,RR,925,925,0,,0.16756756756756758,
control,COMPONENT_CASE,fake_voice_only,171,0,171,,,0.15204678362573099
control,COMPONENT_CASE,real_voice_only,145,145,0,,0.2482758620689655,
control,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.15335917312661496,0.3333333333333333,0.023255813953488372
control,DATASET,codec_mixed_dev_v4,600,300,300,0.24,0.20666666666666667,0.26666666666666666
control,DATASET,external_mixed_v1,400,200,200,0.195,0.33,0.115
control,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.19999999999999996,0.415,0.09
control,DATASET,factorial_eval_1200_v2,350,175,175,0.3314285714285714,0.26285714285714284,0.38857142857142857
control,DATASET,mixfake_music_dev_v1,1600,800,800,0.10125,0.1025,0.10125
control,DATASET,multigen_voice_v2,90,30,60,0.23333333333333334,0.16666666666666666,0.3
control,DATASET,source_disjoint_mixed_v1,200,100,100,0.19999999999999996,0.4,0.08
control,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.19999999999999996,0.46,0.06
control,CHANNEL_V57,clean,120,60,60,0.19999999999999996,0.15,0.26666666666666666
control,CHANNEL_V57,clean_flac,58,29,29,0.31034482758620685,0.20689655172413793,0.41379310344827586
control,CHANNEL_V57,flac16k,600,300,300,0.1966666666666667,0.35333333333333333,0.10333333333333333
control,CHANNEL_V57,g711_ulaw,120,60,60,0.21666666666666673,0.21666666666666667,0.2
control,CHANNEL_V57,g722_wb,120,60,60,0.19999999999999996,0.16666666666666666,0.23333333333333334
control,CHANNEL_V57,mp3_64k,58,29,29,0.41379310344827586,0.41379310344827586,0.4482758620689655
control,CHANNEL_V57,noisy_flac,58,29,29,0.24137931034482762,0.2413793103448276,0.3103448275862069
control,CHANNEL_V57,ogg_48k,59,29,30,0.339080459770115,0.27586206896551724,0.36666666666666664
control,CHANNEL_V57,opus_nb_8k,120,60,60,0.28333333333333327,0.25,0.35
control,CHANNEL_V57,stereo_wav,59,30,29,0.3390804597701149,0.2,0.41379310344827586
control,CHANNEL_V57,telephone8k,600,300,300,0.20333333333333337,0.43,0.08
control,CHANNEL_V57,telephone_flac,58,29,29,0.31034482758620685,0.2413793103448276,0.3793103448275862
control,CHANNEL_V57,transcode_g711_opus,120,60,60,0.26666666666666666,0.25,0.2833333333333333
control,CHANNEL_V57,unknown,90,30,60,0.23333333333333334,0.16666666666666666,0.3
control,CHANNEL_V57,wav,176,90,86,0.15335917312661496,0.3333333333333333,0.023255813953488372
control,CHANNEL_V57,wav16k,1600,800,800,0.10125,0.1025,0.10125
control,LAYOUT_V57,concurrent,1900,950,950,0.13157894736842102,0.12105263157894737,0.14
control,LAYOUT_V57,partial_overlap,300,150,150,0.28,0.26,0.3
control,LAYOUT_V57,sequential,900,450,450,0.2088888888888889,0.2866666666666667,0.16666666666666666
control,LAYOUT_V57,simultaneous,600,300,300,0.22999999999999998,0.47,0.08333333333333333
control,LAYOUT_V57,speech_only,266,120,146,0.22551369863013704,0.2916666666666667,0.136986301369863
control,LAYOUT_V57,voice_only,50,25,25,0.15999999999999998,0.04,0.24
lora,ALL,ALL,4016,1995,2021,0.19297811574954205,0.21804511278195488,0.15784265215239981
lora,VOICE_CONTEXT,fake_music_RF_vs_FF,1850,925,925,0.20648648648648654,0.2756756756756757,0.14810810810810812
lora,VOICE_CONTEXT,pure_voice,316,145,171,0.221455938697318,0.23448275862068965,0.18128654970760233
lora,VOICE_CONTEXT,real_music_RR_vs_FR,1850,925,925,0.16108108108108105,0.15783783783783784,0.16324324324324324
lora,COMPONENT_CASE,FF,925,0,925,,,0.14810810810810812
lora,COMPONENT_CASE,FR,925,0,925,,,0.16324324324324324
lora,COMPONENT_CASE,RF,925,925,0,,0.2756756756756757,
lora,COMPONENT_CASE,RR,925,925,0,,0.15783783783783784,
lora,COMPONENT_CASE,fake_voice_only,171,0,171,,,0.18128654970760233
lora,COMPONENT_CASE,real_voice_only,145,145,0,,0.23448275862068965,
lora,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.15335917312661496,0.32222222222222224,0.03488372093023256
lora,DATASET,codec_mixed_dev_v4,600,300,300,0.23666666666666664,0.18333333333333332,0.26
lora,DATASET,external_mixed_v1,400,200,200,0.195,0.325,0.115
lora,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.20500000000000002,0.4,0.095
lora,DATASET,factorial_eval_1200_v2,350,175,175,0.3314285714285714,0.26285714285714284,0.4114285714285714
lora,DATASET,mixfake_music_dev_v1,1600,800,800,0.10499999999999998,0.0925,0.10875
lora,DATASET,multigen_voice_v2,90,30,60,0.19999999999999996,0.13333333333333333,0.35
lora,DATASET,source_disjoint_mixed_v1,200,100,100,0.20999999999999996,0.38,0.09
lora,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.19999999999999996,0.44,0.07
lora,CHANNEL_V57,clean,120,60,60,0.19999999999999996,0.11666666666666667,0.23333333333333334
lora,CHANNEL_V57,clean_flac,58,29,29,0.31034482758620685,0.20689655172413793,0.41379310344827586
lora,CHANNEL_V57,flac16k,600,300,300,0.1966666666666667,0.3433333333333333,0.10666666666666667
lora,CHANNEL_V57,g711_ulaw,120,60,60,0.21666666666666673,0.21666666666666667,0.21666666666666667
lora,CHANNEL_V57,g722_wb,120,60,60,0.19999999999999996,0.15,0.21666666666666667
lora,CHANNEL_V57,mp3_64k,58,29,29,0.4482758620689655,0.41379310344827586,0.4482758620689655
lora,CHANNEL_V57,noisy_flac,58,29,29,0.2758620689655173,0.27586206896551724,0.3103448275862069
lora,CHANNEL_V57,ogg_48k,59,29,30,0.339080459770115,0.27586206896551724,0.4
lora,CHANNEL_V57,opus_nb_8k,120,60,60,0.28333333333333327,0.2,0.35
lora,CHANNEL_V57,stereo_wav,59,30,29,0.3390804597701149,0.2,0.4482758620689655
lora,CHANNEL_V57,telephone8k,600,300,300,0.1966666666666667,0.41333333333333333,0.08666666666666667
lora,CHANNEL_V57,telephone_flac,58,29,29,0.31034482758620685,0.20689655172413793,0.4482758620689655
lora,CHANNEL_V57,transcode_g711_opus,120,60,60,0.25,0.23333333333333334,0.2833333333333333
lora,CHANNEL_V57,unknown,90,30,60,0.19999999999999996,0.13333333333333333,0.35
lora,CHANNEL_V57,wav,176,90,86,0.15335917312661496,0.32222222222222224,0.03488372093023256
lora,CHANNEL_V57,wav16k,1600,800,800,0.10499999999999998,0.0925,0.10875
lora,LAYOUT_V57,concurrent,1900,950,950,0.1347368421052631,0.11157894736842106,0.14526315789473684
lora,LAYOUT_V57,partial_overlap,300,150,150,0.26666666666666666,0.24666666666666667,0.2866666666666667
lora,LAYOUT_V57,sequential,900,450,450,0.2088888888888889,0.26666666666666666,0.17777777777777778
