MEMBER,DATASET,N,VOICE_EER,MUSIC_EER,FILE_EER,ADS
0,multigen_music_presence_train_v1,474,,0.04220085470085468,0.03798076923076922,
0,phone_presence_factorial_train_v1,2400,0.1995184071363763,0.11349539815926371,0.13417530849892823,0.8589600448754815
0,mixfake_music_dev_v1,1600,0.05625000000000001,0.213125,0.12250000000000003,0.8635625
0,external_mixed_v1,400,0.17000000000000004,0.22499999999999998,0.15833333333333333,0.8193333333333332
0,source_disjoint_mixed_v1,200,0.18000000000000002,0.15000000000000002,0.15666666666666668,0.8406666666666667
0,source_disjoint_mixed_equal_v1,200,0.10999999999999999,0.09999999999999999,0.12,0.8880000000000001
0,source_disjoint_music_v1,400,,0.06999999999999998,0.04500000000000002,
0,factorial_eval_1200_v2_dev,400,0.2114285714285714,0.26857142857142857,0.21527272727272728,0.7695064935064935
0,telephone_mixed_dev_v1,600,0.15166666666666667,0.28,0.19333333333333336,0.789
0,factorial_eval_1200_v2_holdout,400,0.18285714285714283,0.25142857142857145,0.2018181818181818,0.7870909090909091
0,phone_factorial_1200_v1,1200,0.15749999999999997,0.13249999999999998,0.11828571428571427,0.8696071428571428
0,yue_cross_component_audit_v1,124,0.21250000000000002,0.19354838709677422,0.12771739130434784,0.8355767882187938
0,suno_vocals_v1,13,,,,
0,suno_vocals_codec_stress_v1,65,,,,
0,asvspoof_voice_wav_dev_v1,176,0.045478036175710584,,0.02273901808785532,
