DATASET,CONTRAST,TASK,VOICE_WEIGHT,FILE_WEIGHT,N,V47_EER,CANDIDATE_EER,EER_DELTA
factorial,voice_only,VOICE,0.075,0.01,50,0.04000000000000002,0.04000000000000002,0.0
factorial,music_only,MUSIC,0.075,0.01,50,0.19999999999999998,0.19999999999999998,0.0
factorial,concurrent|music_0,VOICE,0.075,0.01,50,0.36,0.36,0.0
factorial,concurrent|voice_0,MUSIC,0.075,0.01,50,0.19999999999999998,0.19999999999999998,0.0
factorial,concurrent|music_1,VOICE,0.075,0.01,50,0.24,0.24,0.0
factorial,concurrent|voice_1,MUSIC,0.075,0.01,50,0.12,0.12,0.0
factorial,concurrent|file_rr_vs_voice_fake+music_real,FILE,0.075,0.01,50,0.43999999999999995,0.43999999999999995,0.0
factorial,concurrent|file_rr_vs_voice_real+music_fake,FILE,0.075,0.01,50,0.36,0.36,0.0
factorial,concurrent|file_rr_vs_voice_fake+music_fake,FILE,0.075,0.01,50,0.24,0.24,0.0
factorial,partial_overlap|music_0,VOICE,0.075,0.01,50,0.31999999999999995,0.19999999999999998,-0.11999999999999997
factorial,partial_overlap|voice_0,MUSIC,0.075,0.01,50,0.16000000000000003,0.16000000000000003,0.0
factorial,partial_overlap|music_1,VOICE,0.075,0.01,50,0.28,0.24,-0.040000000000000036
factorial,partial_overlap|voice_1,MUSIC,0.075,0.01,50,0.28,0.28,0.0
factorial,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,0.075,0.01,50,0.28,0.28,0.0
factorial,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,0.075,0.01,50,0.24,0.24,0.0
factorial,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,0.075,0.01,50,0.28,0.28,0.0
factorial,sequential|music_0,VOICE,0.075,0.01,50,0.24,0.16000000000000003,-0.07999999999999996
factorial,sequential|voice_0,MUSIC,0.075,0.01,50,0.16000000000000003,0.16000000000000003,0.0
factorial,sequential|music_1,VOICE,0.075,0.01,50,0.12,0.12,0.0
factorial,sequential|voice_1,MUSIC,0.075,0.01,50,0.16000000000000003,0.16000000000000003,0.0
factorial,sequential|file_rr_vs_voice_fake+music_real,FILE,0.075,0.01,50,0.19999999999999998,0.19999999999999998,0.0
factorial,sequential|file_rr_vs_voice_real+music_fake,FILE,0.075,0.01,50,0.36,0.36,0.0
factorial,sequential|file_rr_vs_voice_fake+music_fake,FILE,0.075,0.01,50,0.07999999999999999,0.07999999999999999,0.0
phone,speech_only,VOICE,0.075,0.01,400,0.06499999999999997,0.05500000000000002,-0.009999999999999953
phone,speech_only_file,FILE,0.075,0.01,400,0.04500000000000002,0.04500000000000002,0.0
phone,music_only,MUSIC,0.075,0.01,400,0.15000000000000002,0.15000000000000002,0.0
phone,music_only_file,FILE,0.075,0.01,400,0.135,0.135,0.0
phone,simultaneous|music_0,VOICE,0.075,0.01,200,0.24,0.22999999999999998,-0.010000000000000009
phone,simultaneous|voice_0,MUSIC,0.075,0.01,200,0.18000000000000002,0.18000000000000002,0.0
phone,simultaneous|music_1,VOICE,0.075,0.01,200,0.19999999999999998,0.18999999999999997,-0.010000000000000009
phone,simultaneous|voice_1,MUSIC,0.075,0.01,200,0.19999999999999998,0.19999999999999998,0.0
phone,simultaneous|file_rr_vs_voice_fake+music_real,FILE,0.075,0.01,200,0.21999999999999997,0.21999999999999997,0.0
phone,simultaneous|file_rr_vs_voice_real+music_fake,FILE,0.075,0.01,200,0.29000000000000004,0.28,-0.010000000000000009
phone,simultaneous|file_rr_vs_voice_fake+music_fake,FILE,0.075,0.01,200,0.17000000000000004,0.17000000000000004,0.0
yue,music_only,MUSIC,0.075,0.01,16,0.0,0.0,0.0
yue,native_yue_vocal,MUSIC,0.075,0.01,12,0.0,0.0,0.0
yue,concurrent|music_0,VOICE,0.075,0.01,16,0.25,0.25,0.0
yue,concurrent|voice_0,MUSIC,0.075,0.01,16,0.25,0.25,0.0
yue,concurrent|music_1,VOICE,0.075,0.01,16,0.25,0.125,-0.125
yue,concurrent|voice_1,MUSIC,0.075,0.01,16,0.125,0.125,0.0
yue,concurrent|file_rr_vs_voice_fake+music_real,FILE,0.075,0.01,16,0.25,0.25,0.0
yue,concurrent|file_rr_vs_voice_real+music_fake,FILE,0.075,0.01,16,0.5,0.5,0.0
yue,concurrent|file_rr_vs_voice_fake+music_fake,FILE,0.075,0.01,16,0.125,0.125,0.0
yue,partial_overlap|music_0,VOICE,0.075,0.01,16,0.0,0.0,0.0
yue,partial_overlap|voice_0,MUSIC,0.075,0.01,16,0.0,0.0,0.0
yue,partial_overlap|music_1,VOICE,0.075,0.01,16,0.0,0.0,0.0
yue,partial_overlap|voice_1,MUSIC,0.075,0.01,16,0.125,0.125,0.0
yue,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,0.075,0.01,16,0.0,0.0,0.0
yue,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,0.075,0.01,16,0.125,0.125,0.0
yue,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,0.075,0.01,16,0.0,0.0,0.0
yue,sequential|music_0,VOICE,0.075,0.01,16,0.0,0.0,0.0
yue,sequential|voice_0,MUSIC,0.075,0.01,16,0.0,0.0,0.0
yue,sequential|music_1,VOICE,0.075,0.01,16,0.125,0.0,-0.125
yue,sequential|voice_1,MUSIC,0.075,0.01,16,0.0,0.0,0.0
yue,sequential|file_rr_vs_voice_fake+music_real,FILE,0.075,0.01,16,0.125,0.125,0.0
