DATASET,VOICE_WEIGHT,FILE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,ADS_DELTA,FILE_EER_DELTA,VOICE_EER_DELTA
factorial,0.0,0.0,400,400,350,350,0.23236363636363638,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7758181818181819,0.9958571428571428,0.7978220779220779,0.0,0.0,0.0
phone,0.0,0.0,1200,1200,800,800,0.1782857142857143,0.16749999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8263571428571429,0.9703312500000001,0.8407545535714287,0.0,0.0,0.0
yue,0.0,0.0,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.0,0.01,400,400,350,350,0.23236363636363638,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7758181818181819,0.9958571428571428,0.7978220779220779,0.0,0.0,0.0
phone,0.0,0.01,1200,1200,800,800,0.17585714285714285,0.16749999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8275714285714286,0.9703312500000001,0.8418474107142858,0.0012142857142857233,-0.0024285714285714466,0.0
yue,0.0,0.01,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.0,0.025,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416,0.0038181818181818317,-0.007636363636363663,0.0
phone,0.0,0.025,1200,1200,800,800,0.17171428571428568,0.16749999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8296428571428571,0.9703312500000001,0.8437116964285715,0.003285714285714225,-0.006571428571428617,0.0
yue,0.0,0.025,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.0,0.05,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416,0.0038181818181818317,-0.007636363636363663,0.0
phone,0.0,0.05,1200,1200,800,800,0.16828571428571432,0.16749999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8313571428571428,0.9703312500000001,0.8452545535714285,0.004999999999999893,-0.009999999999999981,0.0
yue,0.0,0.05,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.0,0.075,400,400,350,350,0.2229090909090909,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7805454545454545,0.9958571428571428,0.8020766233766233,0.004727272727272691,-0.009454545454545493,0.0
phone,0.0,0.075,1200,1200,800,800,0.16414285714285715,0.16749999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8334285714285714,0.9703312500000001,0.8471188392857143,0.007071428571428506,-0.014142857142857151,0.0
yue,0.0,0.075,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.0,0.1,400,400,350,350,0.20945454545454545,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7872727272727272,0.9958571428571428,0.8081311688311688,0.011454545454545384,-0.022909090909090934,0.0
phone,0.0,0.1,1200,1200,800,800,0.16171428571428575,0.16749999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8346428571428571,0.9703312500000001,0.8482116964285715,0.00828571428571423,-0.016571428571428543,0.0
yue,0.0,0.1,124,124,108,124,0.10122282608695654,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8757461138382421,,,0.010529891304347672,-0.02105978260869562,0.0
factorial,0.01,0.0,400,400,350,350,0.23236363636363638,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7758181818181819,0.9958571428571428,0.7978220779220779,0.0,0.0,0.0
phone,0.01,0.0,1200,1200,800,800,0.1782857142857143,0.16500000000000004,0.17000000000000004,0.956603125,0.9840593750000001,0.8268571428571428,0.9703312500000001,0.8412045535714286,0.0004999999999999449,0.0,-0.0024999999999999467
yue,0.01,0.0,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.01,0.01,400,400,350,350,0.23236363636363638,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7758181818181819,0.9958571428571428,0.7978220779220779,0.0,0.0,0.0
phone,0.01,0.01,1200,1200,800,800,0.17585714285714285,0.16500000000000004,0.17000000000000004,0.956603125,0.9840593750000001,0.8280714285714286,0.9703312500000001,0.8422974107142858,0.0017142857142856682,-0.0024285714285714466,-0.0024999999999999467
yue,0.01,0.01,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.01,0.025,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416,0.0038181818181818317,-0.007636363636363663,0.0
phone,0.01,0.025,1200,1200,800,800,0.17171428571428568,0.16500000000000004,0.17000000000000004,0.956603125,0.9840593750000001,0.8301428571428572,0.9703312500000001,0.8441616964285715,0.003785714285714281,-0.006571428571428617,-0.0024999999999999467
yue,0.01,0.025,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.01,0.05,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416,0.0038181818181818317,-0.007636363636363663,0.0
phone,0.01,0.05,1200,1200,800,800,0.16828571428571432,0.16500000000000004,0.17000000000000004,0.956603125,0.9840593750000001,0.8318571428571429,0.9703312500000001,0.8457045535714286,0.005499999999999949,-0.009999999999999981,-0.0024999999999999467
yue,0.01,0.05,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.01,0.075,400,400,350,350,0.2229090909090909,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7805454545454545,0.9958571428571428,0.8020766233766233,0.004727272727272691,-0.009454545454545493,0.0
