DATASET,CONTRAST,TASK,N,V47_EER,DEV_SELECTED_EER,DEV_SELECTED_DELTA,PRIOR_LOCKED_SELECTED_EER,PRIOR_LOCKED_SELECTED_DELTA
factorial,voice_only,VOICE,50,0.04,0.04,0.0,0.04,0.0
factorial,music_only,MUSIC,50,0.1999999999999999,0.1999999999999999,0.0,0.1999999999999999,0.0
factorial,concurrent|music_0,VOICE,50,0.36,0.36,0.0,0.36,0.0
factorial,concurrent|voice_0,MUSIC,50,0.1999999999999999,0.1999999999999999,0.0,0.1999999999999999,0.0
factorial,concurrent|music_1,VOICE,50,0.24,0.24,0.0,0.24,0.0
factorial,concurrent|voice_1,MUSIC,50,0.12,0.12,0.0,0.12,0.0
factorial,concurrent|file_rr_vs_voice_fake+music_real,FILE,50,0.4399999999999999,0.4399999999999999,0.0,0.4399999999999999,0.0
factorial,concurrent|file_rr_vs_voice_real+music_fake,FILE,50,0.36,0.36,0.0,0.36,0.0
factorial,concurrent|file_rr_vs_voice_fake+music_fake,FILE,50,0.24,0.24,0.0,0.24,0.0
factorial,partial_overlap|music_0,VOICE,50,0.3199999999999999,0.24,-0.0799999999999999,0.1999999999999999,-0.1199999999999999
factorial,partial_overlap|voice_0,MUSIC,50,0.16,0.16,0.0,0.16,0.0
factorial,partial_overlap|music_1,VOICE,50,0.28,0.24,-0.04,0.24,-0.04
factorial,partial_overlap|voice_1,MUSIC,50,0.28,0.28,0.0,0.28,0.0
factorial,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,50,0.28,0.28,0.0,0.28,0.0
factorial,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,50,0.24,0.24,0.0,0.24,0.0
factorial,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,50,0.28,0.28,0.0,0.28,0.0
factorial,sequential|music_0,VOICE,50,0.24,0.1999999999999999,-0.04,0.16,-0.0799999999999999
factorial,sequential|voice_0,MUSIC,50,0.16,0.16,0.0,0.16,0.0
factorial,sequential|music_1,VOICE,50,0.12,0.12,0.0,0.12,0.0
factorial,sequential|voice_1,MUSIC,50,0.16,0.16,0.0,0.16,0.0
factorial,sequential|file_rr_vs_voice_fake+music_real,FILE,50,0.1999999999999999,0.1999999999999999,0.0,0.1999999999999999,0.0
factorial,sequential|file_rr_vs_voice_real+music_fake,FILE,50,0.36,0.36,0.0,0.36,0.0
factorial,sequential|file_rr_vs_voice_fake+music_fake,FILE,50,0.0799999999999999,0.0799999999999999,0.0,0.0799999999999999,0.0
phone,speech_only,VOICE,400,0.0649999999999999,0.055,-0.0099999999999999,0.055,-0.0099999999999999
phone,speech_only_file,FILE,400,0.045,0.045,0.0,0.045,0.0
phone,music_only,MUSIC,400,0.15,0.15,0.0,0.15,0.0
phone,music_only_file,FILE,400,0.135,0.135,0.0,0.135,0.0
phone,simultaneous|music_0,VOICE,200,0.24,0.2299999999999999,-0.01,0.2299999999999999,-0.01
phone,simultaneous|voice_0,MUSIC,200,0.18,0.18,0.0,0.18,0.0
phone,simultaneous|music_1,VOICE,200,0.1999999999999999,0.1999999999999999,0.0,0.1899999999999999,-0.01
phone,simultaneous|voice_1,MUSIC,200,0.1999999999999999,0.1999999999999999,0.0,0.1999999999999999,0.0
phone,simultaneous|file_rr_vs_voice_fake+music_real,FILE,200,0.2199999999999999,0.2199999999999999,0.0,0.2199999999999999,0.0
phone,simultaneous|file_rr_vs_voice_real+music_fake,FILE,200,0.29,0.29,0.0,0.28,-0.01
phone,simultaneous|file_rr_vs_voice_fake+music_fake,FILE,200,0.17,0.17,0.0,0.17,0.0
yue,music_only,MUSIC,16,0.0,0.0,0.0,0.0,0.0
yue,native_yue_vocal,MUSIC,12,0.0,0.0,0.0,0.0,0.0
yue,concurrent|music_0,VOICE,16,0.25,0.25,0.0,0.25,0.0
yue,concurrent|voice_0,MUSIC,16,0.25,0.25,0.0,0.25,0.0
yue,concurrent|music_1,VOICE,16,0.25,0.25,0.0,0.125,-0.125
yue,concurrent|voice_1,MUSIC,16,0.125,0.125,0.0,0.125,0.0
yue,concurrent|file_rr_vs_voice_fake+music_real,FILE,16,0.25,0.25,0.0,0.25,0.0
yue,concurrent|file_rr_vs_voice_real+music_fake,FILE,16,0.5,0.5,0.0,0.5,0.0
yue,concurrent|file_rr_vs_voice_fake+music_fake,FILE,16,0.125,0.125,0.0,0.125,0.0
yue,partial_overlap|music_0,VOICE,16,0.0,0.0,0.0,0.0,0.0
yue,partial_overlap|voice_0,MUSIC,16,0.0,0.0,0.0,0.0,0.0
yue,partial_overlap|music_1,VOICE,16,0.0,0.0,0.0,0.0,0.0
yue,partial_overlap|voice_1,MUSIC,16,0.125,0.125,0.0,0.125,0.0
yue,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,16,0.0,0.0,0.0,0.0,0.0
yue,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,16,0.125,0.125,0.0,0.125,0.0
yue,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,16,0.0,0.0,0.0,0.0,0.0
yue,sequential|music_0,VOICE,16,0.0,0.0,0.0,0.0,0.0
yue,sequential|voice_0,MUSIC,16,0.0,0.0,0.0,0.0,0.0
yue,sequential|music_1,VOICE,16,0.125,0.0,-0.125,0.0,-0.125
yue,sequential|voice_1,MUSIC,16,0.0,0.0,0.0,0.0,0.0
